státi(se)	stá-ti-(se)
poroučeti(se)	po-rouč-e-ti-(se)
jaa	jaa
ba	ba
baba	bab-a
bába	báb-a
ježibaba	ježibab-a
kába	káb-a
syllaba	syllab-a
slabá	slab-á
nába	náb-a
šnába	šnáb-a
araba	arab-a
škrába	škráb-a
štába	štáb-a
žába	žáb-a
léčba	léč-b-a
radioléčba	radi-o-léč-b-a
skladba	s-klad-b-a
hradba	hrad-b-a
chodba	chod-b-a
hudba	hud-b-a
technohudba	techn-o-hud-b-a
chleba	chleb-a
dareba	dareb-a
třeba	třeb-a
potřeba	po-třeb-a
spotřeba	s-po-třeb-a
véba	véb-a
ceiba	ceib-a
líbá	líb-á
záliba	zá-lib-a
šajba	šajb-a
alba	alb-a
dalba	dalb-a
falba	falb-a
olejomalba	olej-o-mal-b-a
zvukomalba	zvuk-o-mal-b-a
sklomalba	skl-o-mal-b-a
akrylomalba	akryl-o-mal-b-a
krajinomalba	kraj-in-o-mal-b-a
stínomalba	stín-o-mal-b-a
zvěromalba	zvěr-o-mal-b-a
dřevomalba	dřev-o-mal-b-a
palba	pal-b-a
lukostřelba	luk-o-střel-b-a
dělostřelba	děl-o-střel-b-a
přilba	přilb-a
cyklopřilba	cykl-o-při-lb-a
holba	holb-a
kolba	kolb-a
rolba	rolb-a
štolba	štolb-a
volba	vol-b-a
předvolba	před-vol-b-a
eurovolba	euro-vol-b-a
mamba	mamb-a
samba	samb-a
limba	limb-a
bomba	bomb-a
sexbomba	sex-bomb-a
plomba	plomb-a
tromba	tromb-a
hanba	han-b-a
oba	ob-a
doba	dob-a
nádoba	nádob-a
obdoba	ob-dob-a
krátkodobá	krát-k-o-dob-á
podoba	po-dob-a
novodobá	nov-o-dob-á
obhajoba	ob-haj-ob-a
skoba	skob-a
hniloba	hni-l-ob-a
roba	rob-a
róba	rób-a
droba	drob-a
garderoba	garde-roba
choroba	chor-ob-a
proba	prob-a
výroba	vý-rob-a
prvovýroba	prv-o-vý-rob-a
zásoba	zá-sob-a
osoba	osob-a
drba	drb-a
borba	borb-a
čorba	čorb-a
korba	korb-a
torba	torb-a
tvorba	tvor-b-a
krvetvorba	krv-e-tvor-b-a
cenotvorba	cen-o-tvor-b-a
kotrba	kotrb-a
vrba	vrb-a
tělokresba	těl-o-kres-b-a
drobnokresba	drob-n-o-kres-b-a
perokresba	per-o-kres-b-a
dřevokresba	dřev-o-kres-b-a
platba	plat-b-a
satba	satb-a
huba	hub-a
tlučhuba	tluč-hub-a
kuba	kub-a
škubá	škub-á
paluba	palub-a
houba	houb-a
kouba	koub-a
trouba	troub-a
hrubá	hrub-á
zhruba	z-hrub-a
poruba	po-rub-a
vzduchoplavba	vzduch-o-plav-b-a
stavba	stav-b-a
dřevostavba	dřev-o-stav-b-a
novostavba	nov-o-stav-b-a
výstavba	vý-stav-b-a
chyba	chyb-a
dvojchyba	dv-oj-chyb-a
pochyba	po-chyb-a
nehýbá	ne-hýb-á
ryba	ryb-a
velryba	vel-ryb-a
sazba	saz-b-a
vazba	vazb-a
dřevořezba	dřev-o-řez-b-a
jizba	jizb-a
dlažba	dlaž-b-a
ražba	raž-b-a
chyboražba	chyb-o-raž-b-a
údržba	ú-drž-b-a
stavoúdržba	stav-o-ú-drž-b-a
tržba	trž-b-a
služba	služ-ba
protislužba	proti-služ-b-a
taxislužba	taxi-služ-b-a
bohoslužba	boh-o-služ-b-a
tužba	tuž-b-a
bréca	bréc-a
skica	skic-a
míca	míc-a
elektronica	elektr-o-nic-a
bystrica	bystric-a
analytica	ana-lyt-ic-a
simca	simc-a
branca	branca
coca	coca
marca	marc-a
porca	porca
nazca	nazc-a
bača	bač-a
čača	čač-a
čáča	čáč-a
dača	dač-a
káča	káč-a
číča	číč-a
píča	píč-a
mamča	mamč-a
soča	soč-a
prča	prč-a
paprča	paprč-a
kůča	kůč-a
dá	d-á
čada	čad-a
dada	dad-a
brigáda	brigád-a
hada	had-a
autogramiáda	auto-gram-iád-a
paralympiáda	para-lymp-iád-a
olympiáda	olymp-iád-a
bioolympiáda	bio-olymp-iád-a
triáda	triád-a
dekáda	dek-ád-a
lada	lad-a
láďa	láď-a
balada	balad-a
nálada	ná-lad-a
milada	milad-a
kláda	klád-a
přikládá	při-klád-á
pokládá	po-klád-á
předpokládá	před-po-klád-á
skládá	s-klád-á
ukládá	u-klád-á
mladá	mlad-á
čokoláda	čokolád-a
vláda	vlád-a
převládá	pře-vlád-á
ovládá	o-vlád-á
jedinovláda	jedin-o-vlád-a
cizovláda	ciz-o-vlád-a
lůzovláda	lůz-o-vlád-a
hromada	hromad-a
armáda	armád-a
kanada	kanad-a
kolonáda	kolonád-a
limonáda	limonád-a
nanonáda	nanon-ád-a
padá	pad-á
napadá	na-pad-á
zapadá	za-pad-á
přepadá	pře-pad-á
připadá	při-pad-á
spadá	s-pad-á
nespadá	ne-s-pad-á
špáda	špád-a
vypadá	vy-pad-á
rada	rad-a
ráda	rád-a
kamaráda	kamarád-a
paráda	parád-a
hitparáda	hit-parád-a
brada	brad-a
rozumbrada	roz-um-brad-a
nerada	ne-rad-a
grada	grad-a
zahrada	za-hrad-a
přehrada	pře-hrad-a
porada	po-rad-a
gymnaestráda	gymna-estrád-a
autostráda	aut-o-strád-a
zráda	zrád-a
velezrada	vele-z-rad-a
vlastizrada	vlast-i-z-rad-a
řada	řad-a
pořádá	po-řád-á
sada	sad-a
