lemma	parents
pětibába	pět bába
radiopotřeba	-radi- potřeba
autopotřeba	auto potřeba
vodomalba	voda malba
termonádoba	-therm- nádoba
sebeobhajoba	se obhajoba
autovýroba	auto výroba
minizásoba	-mini- zásoba
vlakotvorba	vlak tvorba
hlenotvorba	hlen tvorba
perokresba	pero kresba
europlatba	-euro- platba
dvousvatba	dva svatba
melhuba	mlít huba
odevřhuba	otevřít huba
meziplavba	mezi plavba
voroplavba	vor plavba
megastavba	-mega- stavba
ministavba	-mini- stavba
biostavba	-bio- stavba
rychlostavba	rychlý stavba
černostavba	černý stavba
velryba	velký ryba
bioryba	-bio- ryba
gastroslužba	-gastr- služba
fotoslužba	foto služba
autoslužba	auto služba
interbrigáda	-inter- brigáda
třívláda	tři vláda
židovláda	žid vláda
světovláda	svět vláda
luzovláda	lůza vláda
hrůzovláda	hrůza vláda
videohitparáda	video hitparáda
vlastizrada	vlast zrada
zeměvěda	země věda
vlastivěda	vlast věda
lživěda	lež věda
bohověda	bůh věda
slohověda	sloh věda
krásověda	krása věda
státověda	stát věda
účtověda	účet věda
enterohepatitida	-enter- hepatitida
cyklofanda	cyklo fanda
gamasonda	gama sonda
elektrosonda	-elektr- sonda
wattsekunda	watt sekunda
tříhrazda	tři hrazda
matkovražda	matka vražda
synovražda	syn vražda
tříhvězda	tři hvězda
dvojhvězda	dva hvězda
krasojízda	krásný jízda
malodráha	malý dráha
dvoudráha	dva dráha
stereováha	-stereo- váha
rovnováha	rovný váha
vlnoplocha	vlna plocha
samotíha	samo tíha
pětinoha	pět noha
třítrubka	tři trubka
čtyrsedačka	čtyři sedačka
padesátikačka	padesát kačka
autonabíječka	auto nabíječka
dvojtečka	dva tečka
čtyřtečka	čtyři tečka
autobotička	auto botička
autopohádka	auto pohádka
meziskládka	mezi skládka
domarodka	doma rodit
veleřeka	velký řeka
autoreplika	-aut- replika
telemechanika	-tel- mechanika
hydromechanika	-hydr- mechanika
aeromechanika	-aero- mechanika
archeobotanika	-arche- botanika
videotechnika	video technika
geotechnika	-geo- technika
energotechnika	energie technika
psychotechnika	-psych- technika
sociotechnika	-soci- technika
audiotechnika	-audi- technika
ekotechnika	-eko- technika
nanotechnika	-nano- technika
hydrotechnika	-hydr- technika
agrotechnika	-agro- technika
elektrotechnika	-elektr- technika
bioelektronika	-bio- elektronika
autoelektronika	auto elektronika
psychomatematika	psycho matematika
biosystematika	bio systematika
chemosystematika	chemo systematika
bioinformatika	bio informatika
biostatika	bio statika
hydroenergetika	hydro energetika
autokosmetika	auto kosmetika
imunogenetika	imuno genetika
antropogenetika	-anthrop- genetika
ekopolitika	-eko- politika
makropolitika	-makr- politika
sebekritika	se kritika
neoscholastika	-neo- scholastika
novoscholastika	nový scholastika
galvanoplastika	-galvan- plastika
videožurnalistika	video žurnalistika
fotožurnalistika	foto žurnalistika
ekoturistika	-eko- turistika
cykloturistika	-cyklo- turistika
agroturistika	-agro- turistika
autoturistika	auto turistika
sexturistika	sex turistika
biostatistika	bio statistika
mototuritistika	moto turistika
interlingvistika	-inter- lingvistika
radiodiagnostika	radio diagnostika
psychofyzika	-psych- fyzika
biofyzika	-bio- fyzika
cyklospojka	-cykl- spojka
motospojka	-moto- spojka
osmikolka	osm kolo
trojkolka	tři kolo
jednokolka	jeden kolo
dvounulka	dva nula
polopřímka	půl přímka
dvoubranka	dva branka
pětilinka	pět linka
biolinka	-bio- linka
šéfgarderobiérka	šéf garderobiérka
stočtverka	sto čtyřka
trojhláska	tři hláska
čtyřhláska	čtyři hláska
krátkovláska	krátký vlas
zelenovláska	zelený vlas
modrovláska	modrý vlas
dvoupáska	dva páska
podržtaška	podržet taška
trojdeska	tři deska
minitabletka	mini tabletka
třasořitka	třást řiť
sralbotka	srát botka
polosykavka	polo sykavka
pornonahrávka	porno nahrávka
medosavka	med sát
ministávka	mini stávka
radiodechovka	radio dechovka
