lemma	parents
trojminutovka	tři minuta
stominutovka	sto minuta
dvě kříž	dvanáct bytovka
devítibytovka	devět bytovka
dvojbytovka	dvě bytovka
rychlomluvka	rychlý mluvka
samomluvka	sám mluvit
dvounažka	dvě nažka
trojtažka	tři táhnout
dvoukoloběžka	dvě koloběžka
biosložka	-bio- složka
šestinožka	šest noha
rychlonožka	rychlý noha
zelenonožka	zelený noha
sametonožka	sametový noha
stonožka	sto noha
dvouhala	dvě hala
hydrocentrála	-hydr- centrála
diskokapela	disko kapela
dvoustřela	dvě střela
třínovela	tři novela
dvojvila	dvě vila
biokontrola	-bio- kontrola
autokontrola	-aut- kontrola
nanotesla	-nan- tesla
polofáma	půl fáma
megareklama	-mega- reklama
videoreklama	video reklama
fotoreklama	-fot- reklama
minidrama	-mini- drama
psychodrama	-psych drama
sociodrama	-soci- drama
monodrama	-mon- drama
bioklima	-bio- klima
mezoklima	-mes- klima
megafirma	-mega- firma
minifirma	-mini- firma
agrofirma	-agro- firma
sebereforma	se reforma
poloreforma	půl reforma
neoplazma	-neo- plazma
bioplazma	-bio- plazma
centroplazma	-centr- plazma
entoplazma	-ent- plazma
exoplazma	-exo- plazma
parozábrana	pára zábrana
pidistrana	píď strana
dvoustrana	dvě strana
minivana	-mini- vana
dvouvana	dvě vana
biokedlubna	-bio- kedlubna
biocena	-bio- cena
meziscéna	mezi scéna
popscéna	pop scéna
třísměna	tři směna
dvojžena	dvě žena
dvoukabina	dvě kabina
autovakcína	-aut- vakcína
megaampérhodina	-mega- ampérhodina
ampérhodina	ampér hodina
miliampérhodina	-mili- ampérhodina
mikroampérhodina	-mikr- ampérhodina
megawatthodina	-mega- watthodina
kilowatthodina	-kilo- watthodina
dvouhodina	dvě hodina
velkorodina	velký rodina
dvourodina	dvě rodina
biokrajina	-bio- krajina
biobylina	-bio- bylina
biozelenina	-bio- zelenina
subskupina	sub skupina
cyklopěšina	-cykl- pěšina
autoplošina	-aut- plošina
biokocovina	-bio- kocovina
polorovina	půl rovina
cykloprodejna	-cykl- prodejna
gramoprodejna	-gram- prodejna
fotoprodejna	foto prodejna
biojídelna	-bio- jídelna
rychlojídelna	rychlý jídelna
videovlna	video vlna
diskovlna	disko vlna
trojikona	tři ikona
autokolona	auto kolona
měditiskárna	měď tiskárna
ocelotiskárna	ocel tiskárna
kamenotiskárna	kámen tiskárna
elektroocelárna	-elektr- ocel
autocisterna	-aut- cisterna
diskotančírna	disko tančírna
megafauna	-mega- fauna
minitribuna	-mini- tribuna
stokoruna	sto koruna
megatuna	-mega- tuna
gigatuna	-giga- tuna
třítuna	tři tuna
bordelpapá	bordel papá
autolampa	-aut- lampa
minirampa	-mini- lampa
dvojstopa	dvě stopa
audiostopa	audio stopa
stopčára	stop čára
minikára	-mini- kára
biozebra	-bio- zebra
miniaféra	-mini- aféra
biosféra	-bio- sféra
homosféra	-hom- sféra
retroatmosféra	retro atmosféra
hydrosféra	-hydr- sféra
heterosféra	-heter- sféra
fotosféra	-fot- sféra
difúzosféra	difúze sféra
videopremiéra	video premiéra
smutnohra	smutný hra
biobrambora	-bio- bramora
megaspora	-mega- spora
bispora	-bio- spora
exospora	-exo- spora
videoaparatura	video aparatura
fotoliteratura	-fot- literatura
megastruktura	-mega- struktura
infrastruktura	-infra- struktura
ultrastruktura	-ultra- struktura
psychostruktura	-psych struktura
biostruktura	-bio- struktura
bioklobása	-bio- klobása
pantáta	pan táta
autočeta	-aut- četa
biobageta	-bio- bageta
protiraketa	proti raketa
minianketa	-mini- anketa
europaleta	-eur- paleta
exoplaneta	-exo- planeta
dvouplaneta	dvě planeta
mezivěta	mezi věta
autoplachta	-aut- plachta
radiotoxicita	radio toxicita
dvojbota	dvě bota
paleoteplota	-paleo- teplota
polosamota	půl samota
dvojjednota	dvě jednota
polosirota	půl sirota
autorota	-aut- rota
vzdorocharta	vzor charta
minikarta	-mini- karta
videokarta	video karta
rychlocesta	rychlý cesta
elektrospecialista	elektro specialista
ekosocialista	-eko- socialista
videopošta	video pošta
autopošta	-aut- pošta
prvoústa	první ústa
autovýbava	-aut- výbava
dvouhlava	dvě hlava
biokráva	-bio- kráva
polonáprava	půl náprava
dvounáprava	dvě náprava
cyklodoprava	cyklo doprava
autodoprava	-aut- doprava
sebeoprava	se oprava
autooprava	-aut- oprava
eurospráva	-eur- správa
státospráva	stát správa
audiosouprava	audio souprava
paleostrava	paleo strava
biostrava	-bio- strava
poloústava	půl ústava
dvouvýstava	dvě výstava
bioréva	-bio- réva
biolegislativa	-bio- legislativa
protiofenziva	proti ofenziva
polokurzíva	půl kurzíva
sebevýchova	se výchova
biokonzerva	-bio- konzerva
dvojkotva	dvě kotva
dvojvrstva	dvě vrstva
samomluva	sám mluva
profismlouva	profi smlouva
psychosyntéza	-psych syntéza
biosyntéza	-bio- syntéza
bioprotéza	-bio- protéza
fotopóza	-fot- póza
autoburza	-aut- burza
dvojkauza	dvě kauza
biochléb	-bio- chléb
trojhřib	tři hřib
dvoubob	dvě bob
biosnob	-bio- snob
trojhrob	tři hrob
dvojhrob	dvě hrob
dvouhrob	dvě hrob
bioklub	-bio- klub
diskoklub	disko klub
autoklub	-aut- klub
protizáhyb	proti záhyb
velkozakladač	velký zakladač
automíchač	-aut- míchač
třípokojáč	tři pokoj
třílůžkáč	tři lůžko
dvojlůžkáč	dvě lůžko
biopalác	-bio- palác
autosypač	-aut- sypač
megasráč	-mega- sráč
trojtác	tři tác
knihvazač	kniha vázat
uzlovazač	uzel vázat
dvoubodec	dvě bodec
diskojezdec	disko jezdec
elektronavíječ	-elektr- navíječ
zeměznalec	země znalec
protoneandertálec	proto neandrtálec
ekozemědělec	-eko- zemědělec
velkozemědělec	velký zemědělec
malozemědělec	malý zemědělec
motostřelec	-moto- střelec
cizozemec	cizí země
europoslanec	-eur- poslanec
elektropec	elektro pec
knihkupec	kniha kupec
velkokupec	velký kupec
dvojsloupec	dvě sloupec
elektrosvářeč	-elektr- svářeč
spoluherec	spolu herec
dvouřeč	dvě řeč
polostrunatec	půl strunatec
kovolitec	kov lít
časoplavec	čas plavba
polobezdomovec	půl bezdomovec
multisportovec	multi sportovec
skálolezec	skála lezec
horolezec	hora lezec
provazolezec	provaz lezec
biořetězec	-bio- řetěz
osminožec	osm noha
břichonožec	břicho noha
plynospotřebič	plyn spotřebič
supravodič	super vodič
chmelovodič	chmel vodič
kočkazajíc	kočka zajíc
dvojklíč	dvě klíč
sebetrýznič	se trýznič
dvouvařič	dvě vařič
půlměsíc	půl měsíc
biosendvič	-bio- sendvič
ekosendvič	-eko- sendvič
dvojmoc	dvě moc
dvouterč	dvě terč
jednoruč	jedna ruka
mezipřeklad	mezi překlad
bionápad	-bio- nápad
bioodpad	-bio- odpad
šutropád	šutr pád
listopad	list padat
seberozpad	se rozpad
pětiřad	pět řada
trojřad	tři řada
dvojřad	dvě řada
čtyrřad	čtyři řada
dvouřad	dvě řada
biosad	-bio- sad
biooběd	-bio- oběd
protijed	proti jed
darmojed	darmý jíst
časosled	čas sled
trojsed	tři sed
rudošeď	rudý šeď
polosed	půl sed
vzducholoď	vzduch loď
zlatoplod	zlato plod
mininárod	-mini- národ
velkozávod	velký závod
elektrozávod	elektro závod
autozávod	-aut- závod
dvouzávod	dvě závod
dvojobvod	dvě obvod
vojevod	voj vést
kejdovod	kejda vést
vodovod	voda vést
vzduchovod	vzduch vést
zvukovod	zvuk vést
rublovod	rubl vést
veslovod	veslo vést
člunovod	člun vést
plynovod	plyn vést
ropovod	ropa vést
větrovod	vítr vést
elektrovod	-elektr- vést
kouřovod	kouř vést
mízovod	míza vést
hromosvod	hrom vést
elektrorozvod	-elektr- rozvod
rychlosoud	rychlý soud
zadohruď	záda hruď
středohruď	střed hruď
dvouportrét	dvě portrét
bělokvět	bílý květ
krvokvět	krev květ
minisvět	-mini- svět
biosvět	-bio- svět
diskosvět	disko svět
polosvět	půl svět
jinosvět	jiný svět
pololežet	půl ležet
protigambit	proti gambit
pětinásobit	pět násobit
zdesetinásobit	deset násobit
zčtvernásobit	čtyři násobit
čtyřnásobit	čtyři násobit
svatořečit	svatý řeč
světlocit	světlo cit
jemnocit	jemný cit
barvocit	barva cit
protokvarcit	-prot- kvarcit
znovudoručit	znovu doručit
polysulfit	poly sulfit
znovuzahájit	znovu zahájit
předpředejít	před předejít
znovuzapojit	znovu zapojit
samobělit	sám bělit
znovuzvolit	znovu zvolit
spoluzavinit	spolu zavinit
sebeprznit	se prznit
sebepochopit	se pochopit
znovuvytvořit	znovu vytvořit
polouzavřít	půl uzavřít
znovuvyhlásit	znovu vyhlásit
infrasíť	-infra- síť
elektrosíť	-elektr- síť
intersíť	-inter- síť
znovuzasvětit	znovu zasvětit
sebečistit	se čistit
dvojštít	dvě štít
seberozpustit	se rozpustit
znovusestavit	znovu sestavit
znovuustavit	znovu ustavit
znovuoživit	znovu ožít
temnosvit	temný svit
čarosvit	čáry svit
znovuožít	znovu ožít
spolužít	spolu žít
sebeobsloužit	se obsloužit
znovupoužít	znovu použít
polootužit	půl otužit
ekofakt	-eko- fakt
dvojakt	dvš akt
dvojakt	dvě akt
půlakt	půl akt
minipakt	-mini- pakt
dvoutrakt	dvě trakt
multiprojekt	-multi- projekt
videoprojekt	video projekt
elektroprojekt	-elektr- projekt
monstrprojekt	monstrum projekt
interdialekt	-inter- dialekt
šéfarchitekt	šéf architekt
videoprodukt	video produkt
megavolt	-mega- volt
pikovolt	-pik- volt
nanovolt	-nan- volt
mikrovolt	-mikr- volt
deseticent	deset cent
eurocent	-eur- cent
velkoproducent	velký producent
spoluproducent	spolu producent
viceprezident	vice prezident
exprezident	ex prezident
bioagent	-bio- agent
exagent	ex agent
polointeligent	půl inteligent
multitalent	-multi- talent
miniparlament	-mini- parlament
europarlament	euro parlament
sebeexperiment	se experiment
biosortiment	-bio- sortiment
autorobot	-aut- robot
autopilot	-aut- pilot
protihrot	proti hrot
pornočtvrť	porno čtvrť
autoplášť	-aut- plášť
novoplast	nový plast
minitest	-mini- test
dvoulist	dvě list
cyklomost	cyklo most
maloplodnost	malý plodnost
velechvost	velký chvost
miliwatt	mili watt
biohuť	-bio- huť
autožluť	-aut- žluť
polozapadnout	půl zapadnout
polorozpadnout	půl rozpadnout
nízkotuhnout	nízký tuhnout
pětivrut	pět vrut
autotext	-aut- text
znovunabýt	znovu nabýt
znovudobýt	znovu dobýt
dvoubyt	dvě byt
přísámbohu	přísahat bůh
poloúsměv	půl úsměv
dvojvětev	dvě větev
sebeobdiv	se obdiv
malochov	malý chov
drobnochov	drobný chov
bioostrov	-bio- ostrov
poloostrov	půl ostrov
megashow	-mega- show
autoshow	-aut- show
bioindex	-bio- index
dlouholebý	dlouhý leb
trojdobý	tři doba
dlouhodobý	dlouhý doba
jednodobý	jeden doba
plochozobý	plochý zobák
dlouhozobý	dlouhý zobák
tříhrbý	tři hrb
trojhrbý	tři hrb
měkkohubý	měkký huba
širokohubý	široký huba
čtyřzubý	čtyři zub
žlutočervenohnědý	žlutý červený hnědý
málokdy	málo kdy
modroplodý	modrý plod
vysokoblahorodý	vysoký blahorodý
vinorodý	víno rodit
ultratvrdý	ultra tvrdý
trojproudý	tři proud
dvojproudý	dvě proud
čtyřproudý	čtyři proud
zelenorudý	zelený rudý
polonahý	půl nahý
dlouhodechý	dlouhý dech
prostoduchý	prostý duch
krátkouchý	krátký ucho
přímouchý	přímý ucho
červenouchý	červený ucho
černorouchý	černý roucho
žlutouchý	žlutý ucho
rezavouchý	rezavý ucho
polosuchý	půl suchý
osminohý	osm noha
pětinohý	pět noha
desetinohý	deset noha
šestinohý	šest noha
trojnohý	tři noha
dvojnohý	dvě noha
mnohonohý	mnoho noha
krátkonohý	krátký noha
čtvermonohý	čtyři noha
bosonohý	bosý noha
čtvernohý	čtyři noha
dvounohý	dvě noha
dvojrohý	dvě roh
šestipruhý	šest pruh
čtyřpruhý	čtyři pruh
dvoupruhý	dvě pruh
biojatky	-bio- jatka
ekohrátky	-eko- hrátky
ultramalý	ultra malý
věkostálý	věk stálý
polovychladlý	půl vychladnout
pětikřídlý	pět křídlo
dvojkřídlý	dvě křídlo
lehkokřídlý	lehký křídlo
jednokřídlý	jeden křídlo
zelenokřídlý	zelený křídlo
zlatokřídlý	zlatý křídlo
síťokřídlý	síť křídlo
dvoukřídlý	dvě křídlo
veleobsáhlý	velký obsáhlý
dalekosáhlý	daleký obsáhlý
širokosáhlý	široký obsáhlý
mezilehlý	mezi ležet
plnoštíhlý	plný štíhlý
pětiúhlý	pět úhel
šestiúhlý	šet úhel
trojúhlý	tři úhel
stříbřitěbílý	střibřitý bílý
černomodrobílý	černý modrý bílý
zlatomodrobílý	zlatý modrý bílý
tmavobílý	tmavý bílý
vlastimilý	vlast milý
bohumilý	Bůh milý
poloshnilý	půl shnilý
poloopilý	půl opilý
černolesklý	černý lesklý
poloteplý	půl teplý
polochcíplý	půl chcíplý
samorostlý	sám růst
všudybylý	všude být
polozmrzlý	půl zmrzlý
dvoudomý	dvě dům
dvojlomý	dvě lom
poloslaný	půl slaný
polozaměstnaný	půl zaměstnaný
prvotrestaný	první trestat
dvojčárkovaný	dvě čárka
jednočárkovaný	jeden čárka
čarovábný	čáry vábit
sebeléčebný	se léčit
ploutvohybný	ploutev hybný
prostosrdečný	prostý srdce
dvouvaječný	dvě vejce
