# legenda: znak +: schválený derivát, začátek znak # komentář, auto+výroba - kompozitum, ? podívat se znova, všechno ostatní - lemma předka		
aba	Aba	
Bábá	Bába	
pětibába	pět	pět+bába
šnába	šína	
baraba	Baraba	
škrába	škráb	
artaba	arba	
bioléčba	léčba	+
autoléčba	léčba	+
radiopotřeba	potřeba	radio+potřeba
autopotřeba	potřeba	auto+potřeba
ceiba	Ceiba	
koliba	Koliba	
alba	Alba	
vodomalba	domalba	voda+malba
štolba	Štolba	
biovolba	volba	+
eurovolba	volba	+
bomba	Bomba	
nádoba	doba	
bionádoba	-bio-	nádoba
termonádoba	nádoba	termo+nádoba
minipodoba	mina	
sebeobhajoba	sebeobhajovat	sebe+obhajoba
biloba	lob	
garderoba	garderóba	
garderóba	garderoba	+
proba	próba	
róba	roba	
útroba	utřít	
autovýroba	výroba	auto+výroba
minizásoba	-mini-	mini+zásoba
hnusoba	hnus	+
zděrba	díra	
borba	bořit	
čorba	Čorba	
vlakotvorba	vlak	vlak+tvorba
hlenotvorba	hlen	hlen+tvořit
turba	Turba	
vrba	Vrba	
perokresba	kresba	pero+kresba
europlatba	platba	euro+platba
satba	satí	
holosvatba	los	
dvousvatba	dvojsvatba	dva+svatba
úlitba	úl	
melhuba	huba	mlít+huba
odevřhuba	otevřhuba	otevřít+huba
aukuba	kuba	
ďouba	ďoubat	+
ďouba	ďoubat	+
trouba	troubit	+
trouba	troubit	+
šuba	šubka	
tuba	tubus	
meziplavba	plavba	mezi+plavba
voroplavba	plavba	vor+plavba
megastavba	stavba	mega+stavba
ministavba	stavba	mini+stavba
biostavba	stavba	bio+stavba
rychlostavba	rychlost	rychlý+stavba
černostavba	černost	černý+stavba
velryba	Velryba	velký+ryba
bioryba	ryba	bio+ryba
přídlažba	dlažba	+
jizba	jizva	
protislužba	služba	+
ekoslužba	služba	+
gastroslužba	služba	gastro+službba
fotoslužba	služba	foto+služba
autoslužba	služba	auto+služba
austriaca	Austria	
číča	čít	
škica	skica	+
ovarovica	ovarový	ovar
moresca	moreska	
kuča	Kuča	
kůča	kuča	+
agada	agovat	
interbrigáda	brigáda	inter+brigáda
vajíčkiáda	vajíčko	+
broučkiáda	brouček	+
pendrekiáda	pendrek	+
slánskiáda	slánský	Slánský
iliada	Iliada	+
autogramiáda	autogram	+
jeremiáda	Jeremi	
veteraniáda	veterán	+
paraolympiáda	olympiáda	+
wertheriáda	Werther	+
triáda	trioda	
najáda	Najada	
vajíčkáda	vajíčko	+
barikáda	bar	
balada	balit	
helada	Helada	+
biomarmeláda	marmeláda	+
ballada	ball	
Mladá	mladý	+
ruláda	rulovat	+
sebevláda	vláda	+
třívláda	trojvláda	tři+vláda
židovláda	židle	žid+vláda
světovláda	svět	svět+vláda
luzovláda	luza	lůza+vláda
hrůzovláda	hrůza	hrůza+vláda
hamada	Hamada	
miniarmáda	armáda	+
promenáda	menáda	
serenada	serenáda	
rafináda	rafinovat	+
limonáda	limon	# do češtiny už přijaté jako celek
baštonáda	bašta	+
bastonáda	Baston	
čarovnada	čarovnadný	+
špáda	Špáda	
videohitparáda	videohit	video+hitparáda
bionáhrada	-bio-	+
minizahrada	mini	+
záhrada	zahradit	+
rada	Rada	radit
rada	Rada	radit
štráda	estráda	
vlastizrada	vlast	vlast+zrada
upanišáda	upanišada	
