### Number of DeriNets roots with parents in SSJC (in this file): 511 ###

králodvorský_AC	králův_None; kralovat_None; Králův_None
spolučinný_AC	součinný_None; součinitel_None
spolučinitel_NC	spolučinný_None; součinitel_None
petropavlovský_AC	Petropavlovsk_None; Petra_None
bezkolejový_AC	bezkolejný_None
protikrálovský_AC	protikrál_None
několikamiliónový_AC	několikamilionový_None
polohlasitý_AC	polohlas_None
sebeobětavý_AC	sebeoběť_None
darmojed_NC	darmochleb_None
polychromatický_AC	polychromie_None
šestimiliónový_AC	šestimilionový_None
zaalpský_AC	Záalpí_None
nízkouhlíkatý_AC	nízkouhlíkový_None
veležádoucí_AC	žádoucí_None
velezdařilý_AC	zdařilý_None
tříkolový_AC	tříkolka_None
vícevrstevný_AC	vícevrstvý_None
mnohotvarý_AC	mnohotvárný_None
kosmopolitický_AC	kosmopolita_None
černočervenozlatý_AC	černočervenožlutý_None
trojmezní_AC	trojmezí_None
velkoproducent_NC	velkoprodukce_None
vnitrozemní_AC	vnitrozemí_None
stínoherní_AC	stínohra_None
osmdesátimilionový_AC	osmdesátimiliónový_None
českoslávský_AC	český_None
pětilampový_AC	pětilampovka_None
dvojtvárný_AC	dvojtvarý_None
velkorážný_AC	velkorážní_None
vodovážka_NC	vodováha_None
středoněmecký_AC	střední_None
šestitunový_AC	šestituna_None
velešťastný_AC	šťastný_None
železnobrodský_AC	Železný_None
vševědoucí_AC	vševěd_None
pětitisícový_AC	pět_None
trojhvězdí_NC	trojhvězda_None
linoryt_NC	linoleoryt_None
Bohumil_NC	Bohouš_None
sebemučivý_AC	sebemučení_None
dvojstěžňový_AC	dvojstěžník_None
dvousettunový_AC	dvěstětunový_None
veleprospěšný_AC	prospěšný_None
všeničivý_AC	všeničící_None
samooplodnění_NC	samooplození_None
organologie_NC	organoleptický_None
devítiletý_AC	devítiletka_None
velkobankéř_NC	velkobanka_None
dvouletý_AC	dvouletek_None
vysokouhlíkatý_AC	vysokouhlíkový_None
šerověk_NC	šerotmavý_None
dolnoslezský_AC	Dolní_None
rukověť_NC	rukojeť_None
čaroskvoucí_AC	čaroskvělý_None
veledílko_NC	veledílo_None
východoslovanský_AC	východní_None
arciže_DC	arci_None
veleslibný_AC	slibný_None
trojveršový_AC	trojverší_None
hruboskalský_AC	Hrubá_None
velkořezničina_NC	velkořezník_None
bělohorský_AC	Bílá_None
holovouský_AC	Holovousy_None
vodovážný_AC	vodováha_None
pětiveršový_AC	pětiverší_None
zlolejný_AC	zlolejčný_None
severoatlantský_AC	severoatlantický_None
středovlnný_AC	střední_None
protikoloniální_AC	protikolonialistický_None
veleplodný_AC	plodný_None
helioskopický_AC	helioskop_None
západoberlínský_AC	západní_None
českoslovanský_AC	českoslávský_None
veletržní_AC	veletrh_None
vševěda_NC	vševěd_None
podkarpatský_AC	Podkarpatsko_None
veledramatický_AC	dramatický_None
protilidský_AC	protiletecký_None
západoněmecký_AC	západní_None
desetihaléř_NC	desetihalíř_None
podřipský_AC	Podřipsko_None
sebeponižování_NC	sebeponížení_None
židomilný_AC	židomil_None
zalitavský_AC	Zalitavsko_None
polopravdivý_AC	polopravda_None
pojizerský_AC	Pojizeří_None
malopolský_AC	Malopolsko_None
samostříl_NC	samostřelný_None
veleskromný_AC	skromný_None
středostavovský_AC	střední_None
hejtman_NC	hetman_None
prachpitomý_AC	prapitomý_None
všepřítomný_AC	všudypřítomný_None
mnohobarvý_AC	mnohobarevný_None
nitrogenní_AC	nitrogenium_None
polokruh_NC	půlkruh_None
velkochovatel_NC	velkochov_None
neogenní_AC	neogén_None
předlitavský_AC	Předlitavsko_None
místodržící_AC	místodržitel_None
veletržiště_NC	veletrh_None
šestistoletý_AC	šestsetletý_None
jednokřídlový_AC	jednokřídlý_None
anachronistický_AC	anachronický_None
lživědec_NC	lživěda_None
spolutrpitel_NC	spolutrpící_None
podbrdský_AC	Podbrdsko_None
endokarditida_NC	endokard_None
velevážný_AC	vážný_None
zadohrudí_NC	zadohruď_None
severoevropský_AC	severní_None
vnitroodborový_AC	vnitroodborářský_None
dvojveslový_AC	dvojveslice_None
spolužákyně_NC	spolužák_None
všelidstvo_NC	všelidský_None
postoperativní_AC	postoperační_None
zabajkalský_AC	Zabajkalsko_None
polyethylen_NC	polyetylén_None
exotermický_AC	exotermní_None
zaatlantský_AC	zaatlantický_None
živototvorný_AC	živototvárný_None
velkokuchyň_NC	velkokuchyně_None
dvoumiliónový_AC	dvoumilionový_None
kontramatka_NC	kontramatice_None
želuplný_AC	žaluplný_None
západočeský_AC	západní_None
aerostatika_NC	aerostat_None
maloruský_AC	Malorus_None
dlouhonožka_NC	dlouhonohý_None
časopejsek_NC	časopis_None
svatojánský_AC	svatojanský_None
hornoitalský_AC	horní_None
fotoarchív_NC	fotoarchiv_None
vlastizrádce_NC	vlastizrada_None
osmitaktový_AC	osmitaktí_None
paleozoický_AC	paleozoikum_None
diagramatický_AC	diagram_None
čechman_NC	čerchman_None
šestiranový_AC	šestiranný_None
vlakotvorný_AC	vlakotvorba_None
posázavský_AC	Posázaví_None
velevděčný_AC	vděčný_None
velevýznamný_AC	významný_None
větroplachý_AC	větroplach_None
čtyřúhelný_AC	čtyřúhlý_None
polokoloniální_AC	polokolonie_None
xylografie_NC	xylograf_None
polotmavý_AC	polotma_None
zakavkazský_AC	Zakavkazí_None
tolikanásobný_AC	tolik_None
polystyrén_NC	polystyren_None
piezoelektrický_AC	piezoelektřina_None
velkorážový_AC	velkorážní_None
zadopatrový_AC	zadní_None
středohory_NC	středohoří_None
šestilistý_AC	šestilístek_None
trojlistý_AC	trojlístek_None
novopacký_AC	Nová_None
extrabuřt_NC	extravuřt_None
vysokokmenný_AC	vysokokmen_None
větroplavec_NC	větroplavba_None
severoatlantický_AC	severní_None
velepilný_AC	pilný_None
sebevědomý_AC	sebevědomí_None
bezčasový_AC	bezčasí_None
vlastimilý_AC	Vlastimil_None
velenamáhavý_AC	namáhavý_None
mezidobí_NC	mezera_None
nitrolebeční_AC	nitrolební_None
všemír_NC	vesmír_None
ektodermální_AC	ektoderm_None
monarchofašistický_AC	monarchofašista_None
vnitroatomický_AC	vnitroatomový_None
bělogvardějský_AC	bělogvardějec_None
transjordánský_AC	Transjordánie_None
veleumělý_AC	umělý_None
zatatranský_AC	Zatatransko_None
velkomlynář_NC	velkomlýn_None
piktografický_AC	piktograf_None
dolnorakouský_AC	Dolní_None
novotvoření_NC	novotvorba_None
veledobrý_AC	dobrý_None
slovanofil_NC	slavjanofil_None
velesnadný_AC	snadný_None
polokeřík_NC	polokeř_None
bezodtokový_AC	bezodtoký_None
velesmutný_AC	smutný_None
pětisetletý_AC	pětsetletý_None
středoslovenský_AC	střední_None
velezkušený_AC	zkušený_None
dřevořezba_NC	dřevořez_None
prométheovský_AC	Prométheus_None
hornolužický_AC	Horní_None
východomoravský_AC	východní_None
velesmělý_AC	smělý_None
vinorodý_AC	vínorodý_None
křesťanskosociální_AC	křesťanský_None
bezmyšlenkový_AC	bezmyšlenkovitý_None
protialkoholický_AC	protialkoholní_None
trojlodní_AC	trojlodí_None
supravodivý_AC	supravodič_None
velkostatkář_NC	velkostatek_None
čtyřlistý_AC	čtyřlístek_None
tříčlenný_AC	trojčlen_None
sebeničivý_AC	sebeničení_None
trojčíslo_NC	trojčíslí_None
severoafrický_AC	severní_None
trojstěžňový_AC	trojstěžník_None
tříkrokový_AC	trojkrok_None
pravdaže_DC	pravda_None
bezkyslíkový_AC	bezkyslíkatý_None
teplovzdušný_AC	teplý_None
velenutný_AC	nutný_None
hornorakouský_AC	Horní_None
celočíselný_AC	číslo_None
zemětřas_NC	zemětřes_None
všemoc_NC	mocný_None
polosvětlý_AC	polosvětlo_None
polyhistorie_NC	polyhistor_None
veleschopný_AC	schopný_None
velezajímavý_AC	zajímavý_None
pětiúhlý_AC	pětiúhelník_None
epidermis_NC	epiderm_None
saframentský_AC	safraholtský_None
spolurodák_NC	sourodák_None
svobodymilovný_AC	svobodomilovný_None
středolabský_AC	střední_None
padesátiletý_AC	padesátiletí_None
čtyřdvéřový_AC	čtyřdveřový_None
polobožský_AC	polobůh_None
východofranský_AC	východní_None
poloostrůvek_NC	poloostrov_None
hypotaktický_AC	hypotaxe_None
místokrálovský_AC	místokrál_None
polovlněný_AC	polovlna_None
epilogický_AC	epilog_None
světonázor_NC	světový_None
polohedvábný_AC	polohedvábí_None
časomíra_NC	časoměr_None
zakarpatský_AC	Zakarpatí_None
polotón_NC	půltón_None
zajordánský_AC	Zajordání_None
vysokomýtský_AC	Vysoké_None
spektroskopie_NC	spektroskop_None
zelenohorský_AC	Zelená_None
mravokárný_AC	mravokárce_None
všehojivý_AC	všehoj_None
velenadějný_AC	nadějný_None
diapozitiv_NC	diapositiv_None
monogramový_AC	monogram_None
úzkoprofilový_AC	úzký_None
menologium_NC	menolog_None
hornoslezský_AC	Horní_None
podunajský_AC	Podunají_None
východoberlínský_AC	východní_None
červenobělomodrý_AC	červenobílomodrý_None
všehomír_NC	vesmír_None
veleoblíbený_AC	oblíbený_None
velerozmanitý_AC	rozmanitý_None
nadsmyslový_AC	nadsmyslný_None
novoguinejský_AC	Nová_None
samostatný_AC	osamocený_None
plnozvučný_AC	plnozvuk_None
křesťanskodemokratický_AC	křesťanský_None
dvojspřežní_AC	dvojspřeží_None
čarozvučný_AC	čarozvuk_None
linoleoryt_NC	linoryt_None
staropacký_AC	Stará_None
dvojslovný_AC	dvojsloví_None
zlozvučný_AC	zlozvuk_None
velenepříznivý_AC	nepříznivý_None
kovolitec_NC	kovolijec_None
východoseverovýchod_NC	východní_None
sapropelit_NC	sapropel_None
antiseptikum_NC	antisepse_None
dvojstupňový_AC	dvojstupňovitý_None
cyklonální_AC	cyklóna_None
veleobsáhlý_AC	obsáhlý_None
stereotypér_NC	stereotyp_None
šestilampový_AC	šestilampovka_None
