šklebnost_None	výšklebný_None
principálek_None	principál_None
peremptorně_None	peremptorní_None
tavidlový_None	tavidlo_None
vyzdívání_None	vyzdívka_None
žandárský_None	žandarm_None
dojnost_None	dojný_None
spolubesednice_None	spolubesedník_None
šmelinářský_None	šmelinář_None
urážeti_None	rážeti_None
přivtělovati_None	vtělovati_None
přivtělovati_None	přivtěliti_None
uličníček_None	uličník_None
zavázanost_None	zavázaný_None
krvavě_None	krvavý_None
klasí_None	klásí_None
letecký_None	letec_None
vytrvalostní_None	vytrvalost_None
bobrovina_None	bobřina_None
vlomiti_None	lomiti_None
kverlík_None	kvedlík_None
rozjívenost_None	rozjívený_None
vyhládnouti_None	hládnouti_None
Uruguayec_None	Uruguay_None
odkotouleti_None	kotouleti_None
buršikóznost_None	buršikosní_None
věkovitě_None	věkovitý_None
drobnomalebný_None	drobnomalba_None
předmykati_None	mykati_None
zatřpytnouti_None	třpytnouti_None
naoktrojovati_None	oktrojovati_None
metrie_None	planimetr_None
metrie_None	aktinometr_None
metrie_None	barometr_None
metrie_None	batymetr_None
metrie_None	chronometr_None
metrie_None	ombrometr_None
ztrápenost_None	ztrápený_None
pasový_None	pás_None
pasový_None	pas_None
rezervní_None	reserva_None
rezervní_None	reservní_None
lázeňská_None	lázeňský_None
zhoupnouti_None	houpnouti_None
jarní_None	jaro_None
kverulantství_None	kverulant_None
poznání_None	poznati_None
zavrtávati_None	zavrtati_None
modloslužebnost_None	modloslužebný_None
dorýsovati_None	rýsovati_None
nastřelovati_None	nastřeliti_None
znechucený_None	znechutiti_None
metritida_None	metritis_None
branický_None	Braník_None
utanouti_None	tanouti_None
peruánský_None	Peru_None
úchylkářský_None	úchylkář_None
zesinalý_None	zsinalý_None
nezřízenost_None	nezřízený_None
sukový_None	suk_None
babníček_None	babník_None
došíti_None	šíti_None
domový_None	dům_None
zbrojívati_None	zbrojiti_None
zplésti_None	plésti_None
vytrumfovati_None	trumfovati_None
mátonoha_None	matonoha_None
omšenost_None	omšelý_None
záškodníček_None	záškodník_None
obráceně_None	obrácený_None
preparátorský_None	preparátor_None
kusovost_None	kusový_None
capartek_None	capart_None
vykřesnouti_None	vykřísnouti_None
makedonský_None	Makedonie_None
nepomíjitelný_None	nepomíjivý_None
zázračnický_None	zázračník_None
brožurkový_None	brožura_None
popěti_None	pěti_None
divergentně_None	divergence_None
malomyslně_None	malomyslný_None
navrčeti_None	vrčeti_None
zamhlívat_None	zamhlít_None
nestoudnicky_None	nestoudnický_None
rozmontovati_None	montovati_None
překypělost_None	překypělý_None
gaufrovati_None	gofrovati_None
