### Number of DeriNets roots with parents in Wiktionary (in this file): 11722 ###

vrah_N	vraždit_V; vraždychtivost_N; zavraždit_V; sebevražda_NC; vyvraždit_V; povraždit_V; vražda_N; vražný_A; vrahoun_N; vraždychtivý_AC; vražedný_A; sebevrah_N; vražedkyně_N
let_N	letecký_A; letkyně_N; letka_N; letadlo_N; létající_A; letoun_N; letec_N; letět_V; letenka_N; létat_V
pracoviště_N	pracovna_N; pracovitý_A; pracovat_V; pracný_A; práce_N; pracant_N; spolupráce_N; pracovní_A; pracovník_N
sex_N	sexualizace_N; sexualizovat_V; sexus_N; sexualita_N; sexuologie_NC; sexuoložka_N; sexuolog_N; sexuálně_D; sexy_A
sexuální_A	sexualizace_N; sexualizovat_V; sexus_N; homosexuální_A; sexuologie_NC; sex_N; sexuoložka_N; sexuolog_N; sexy_A
pomoc_N	pomocník_N; pomocnice_N; svépomoc_NC; moct_V; pomáhat_V; pomocný_A; moc_N; pomůcka_N; pomoct_V
zpěv_N	pěvkyně_N; zpěváček_N; pět_V; pěvec_N; zpěvák_N; dozpívat_V; zpívat_V; zpěvačka_N; zpěvník_N
Amerika_N	americký_A; Američanka_N; Afroameričan_N; americium_N; Jihoameričan_N; Američan_N; amerikanizmus_N; Severoameričan_N; Středoameričan_N
pracovitý_A	pracoviště_N; pracovna_N; pracovat_V; spolupráce_N; práce_N; pracant_N; pracný_A; pracovní_A; pracovník_N
pracovní_A	pracoviště_N; pracující_N; pracovat_V; spolupráce_N; práce_N; pracant_N; pracný_A; pracovník_N
škoda_N	poškozovat_V; škůdce_N; škodlivý_A; škodit_V; uškodit_V; poškození_N; škodolibý_A; poškodit_V
Čech_N	Čechy_N; český_A; Čechy_None; Česko_N; Česko_None; česky_D; češství_N; Češka_N
pracant_N	pracoviště_N; pracovna_N; pracovitý_A; pracný_A; práce_N; spolupráce_N; pracovní_A; pracovník_N
křtitelnice_N	křesťan_N; křest_N; křesťanka_N; křesťanství_N; křtiny_N; křtít_V; křtitel_N; křesťanský_A
hlas_N	souhlasit_V; hláska_N; hlasování_N; odhlasovat_V; hlasitý_A; hlasitě_D; nesouhlas_N; nahlas_D
hra_N	hravě_D; hřiště_N; prohra_N; hračka_N; herec_N; olympiáda_N; hrát_V; herečka_N
Američan_N	americký_A; Čechoameričan_N; Afroameričan_N; Amerika_None; Amerika_N; Jihoameričan_N; Severoameričan_N; Středoameričan_N
vražedný_A	vraždit_V; zavraždit_V; sebevražda_NC; vyvraždit_V; povraždit_V; vražda_N; vrah_N; sebevrah_N
běh_N	zběh_N; běžet_V; sběh_N; běžný_A; běhat_V; běžkyně_N; běžec_N; rozběh_N
křest_N	křesťan_N; překřtít_V; křesťanka_N; křesťanství_N; křtitelnice_N; křtít_V; křtiny_N; křesťanský_A
knihař_N	knihovník_N; knihovní_A; knižní_A; knihovnice_N; kniha_N; knihovna_N; knihkupectví_N; knihkupec_NC
cukrovat_V	cukrářství_N; cukrovka_N; cukřenka_N; cukrátko_N; cukrárna_N; cukrový_A; cukrovar_N; cukr_N
terapie_N	chemoterapie_NC; felinoterapie_NC; urinoterapie_NC; radioterapie_NC; galvanoterapie_NC; terapeut_N; bioterapie_NC; psychoterapie_NC
tisk_N	tisknout_V; útisk_N; tiskárna_N; stisk_N; nátisk_N; potisk_N; otisk_N; dotisk_N
soud_N	sudba_N; dít_V; soudce_N; soudcovský_A; soudit_V; osud_N; vysoudit_V; soudkyně_N
nedělní_A	sobotní_A; páteční_A; dělat_V; čtvrteční_A; neděle_N; úterní_A; středeční_A; pondělní_A
smrt_N	smrtelný_A; umírat_V; mrtvý_A; smrtelnost_N; mořit_V; nesmrtelný_A; umřít_V; mřít_V
aktivní_A	aktivista_N; akt_N; aktivum_N; aktivovat_V; aktivismus_N; aktivistka_N; akční_A
hnát_N	žnout_V; uhánět_V; ohon_N; honit_V; rozhánět_V; uhnat_V; rozehnat_V
dar_N	dát_V; daný_A; dárce_N; zdarma_D; dárkyně_N; dařit_V; darovat_V
cukřenka_N	cukrářství_N; cukrovka_N; cukrátko_N; cukrárna_N; cukrový_A; cukrovar_N; cukr_N
úterní_A	sobotní_A; páteční_A; úterek_N; úterý_N; čtvrteční_A; středeční_A; pondělní_A
mládenec_N	mládež_N; mladický_A; mladík_N; mladý_A; mládě_N; mládí_N; mládežnický_A
křtít_V	křesťan_N; křest_N; křesťanka_N; křtitelnice_N; křesťanství_N; křtiny_N; křesťanský_A
východ_N	vycházet_V; vyjít_V; přechod_N; chodit_V; vycházející_A; chod_N; vychodit_V
pondělní_A	sobotní_A; páteční_A; pondělí_N; čtvrteční_A; pondělek_N; úterní_A; středeční_A
anglista_N	Angličanka_N; anglistika_N; anglický_A; Angličan_N; Anglie_N; anglicky_D; angličtina_N
honit_V	žnout_V; ohon_N; dohnat_V; hon_N; hnát_N; uhnat_V; dohánět_V
vlast_N	vlastní_A; vlastenkyně_N; vlastenka_N; vlastenectví_N; vlastenec_N; vlastenecký_A; vlastník_N
lyžovat_V	lyže_N; lyžařka_N; lyžařský_A; lyžárna_N; lyžařství_N; lyžák_N; lyžař_N
mluva_N	pomluva_N; mluvnice_N; mluvit_V; mluvka_N; mluvčí_N; mluvicí_A; mluvící_A
sníh_N	sněžit_V; sněžení_N; sněhulák_N; sněžnice_N; zásněžka_N; zasněžený_A; sněženka_N
český_A	Čechoameričan_N; Čechy_N; Čechy_None; Česko_N; Česko_None; Čech_N; Češka_N
cukrovar_N	cukrářství_N; cukrovka_N; cukřenka_N; cukrátko_N; cukrárna_N; cukrový_A; cukr_N
smysl_N	smyslný_A; nesmyslný_A; mysl_N; smysluplný_AC; vymyslet_V; nesmysl_N; smyslet_V
středeční_A	sobotní_A; střední_A; páteční_A; středa_N; čtvrteční_A; úterní_A; pondělní_A
jízda_N	jet_V; jezdec_N; jízdné_N; jezdit_V; příjezd_N; jezdkyně_N; jít_V
práce_N	pracoviště_N; pracovitý_A; pracující_N; pracovat_V; spolupráce_N; pracant_N; pracovník_N
rostlý_A	vzrostlý_A; dorostlý_A; obrostlý_A; porostlý_A; prorostlý_A; zarostlý_A; růstový_A
