+	pseudoochránkyně_^(*4ce) N	0.999999999946611	NEW: pseudoochránce N	OLD: ochránkyně_^(*4ce) N
	zahrádečnost_,n_^(*3ý) N	0.999999999944810	NEW: zahrádecký A	OLD: zahrádečný_,n A
+	antiprůvodkyně_^(*4ce) N	0.999999999944003	NEW: antiprůvodce N	OLD: průvodkyně-1_^(*6ce-1) N
+	pseudotvůrkyně_^(*4ce) N	0.999999999944003	NEW: pseudotvůrce N	OLD: tvůrkyně_^(*4ce) N
+	superobránkyně_^(*4ce) N	0.999999999944003	NEW: superobránce N	OLD: obránkyně_^(*4ce) N
+	supervýrobkyně_^(*4ce) N	0.999999999944003	NEW: supervýrobce N	OLD: výrobkyně_^(*4ce) N
+	zamlácený-1_,e_^(několikrát_udeřit)_(*6tit-1) A	0.999999999942496	NEW: zamlátit-1_:W_,e_^(několikrát_udeřit) V	OLD:  
	svědečnost_^(*3ý) N	0.999999999942114	NEW: svědecký A	OLD: svědečný A
	chraptící_^(*3ět) A	0.999999999941875	NEW: chraptit_:T V	OLD: chraptět_:T V
	chroptící_^(*3ět) A	0.999999999941875	NEW: chroptit_:T V	OLD: chroptět_:T V
+	prapůvodkyně_^(*4ce) N	0.999999999941268	NEW: prapůvodce N	OLD: původkyně_^(*4ce) N
+	přechůdkyně_^(*4ce) N	0.999999999939851	NEW: přechůdce N	OLD: přechodka N
+	cykloprůvodkyně N	0.999999999939082	NEW: cykloprůvodce N	OLD:  
	počátečnost_^(*3ý) N	0.999999999937026	NEW: počátecký A	OLD: počátečný A
+	cásnutý_,h_,n_^(praštěný,_přihlouplý) A	0.999999999932383	NEW: cásnout_,h_^(trhnout,_tahat,_uhodit) V	OLD:  
	Uherkyně_;E N	0.999999999916709	NEW: Uherce_;G N	OLD:  
	Petřinův_;S_^(*2a) A	0.999724579213519	NEW: Petřin-1_;Y_^(*5ra-1) A	OLD: Petřina_;S N
	Medinův_;S_^(*2a) A	0.999717934713698	NEW: Medin_;Y_^(*2a) A	OLD: Medina_;G N
+	Mykerinův_;S A	0.999700379186765	NEW: Mykerin_;S A	OLD:  
+	Bertinová_;S N	0.999680131163135	NEW: Bertin_;Y_^(*2a) A	OLD:  
+	Pavlinová_;S N	0.999680131163135	NEW: Pavlin_;Y_^(*2a) A	OLD:  
+	Leoninův_;S A	0.999658137840808	NEW: Leonin_;Y_^(*2a) A	OLD:  
	Lařinův_;S_^(*2a) A	0.999649891010641	NEW: Lařin_;Y A	OLD: Lařina_;S N
+	předvychovaná A	0.999642459957429	NEW: předvychovaný A	OLD:  
+	přehadrovaná A	0.999633835064118	NEW: přehadrovaný A	OLD:  
+	přepinkávaná A	0.999633835064118	NEW: přepinkávaný A	OLD:  
+	Medinová_;S N	0.999593394505785	NEW: Medin_;Y_^(*2a) A	OLD:  
+	Mykerinová_;S N	0.999568091040691	NEW: Mykerin_;S A	OLD:  
	Petřinová_;S N	0.999557672949205	NEW: Petřin-1_;Y_^(*5ra-1) A	OLD: Petřina_;S N
+	Fedotkinová_;S N	0.999530147540948	NEW: Fedotkin_;S A	OLD:  
+	Domninová_;S N	0.999507208550530	NEW: Domnin_;S A	OLD:  
+	Lizinová_;S N	0.999495322651780	NEW: Lizin A	OLD:  
+	Royalová_;S N	0.999495322651780	NEW: Royal_,t A	OLD:  
	piniový A	0.999475694831672	NEW: pini_;L_,t A	OLD: pinie N
	sacharinový A	0.999455358601628	NEW: sacharina_;L_,t A	OLD: sacharin N
+	limettový A	0.999428770375632	NEW: limetta_;L_,t A	OLD:  
+	fajnový A	0.999415883143811	NEW: fajn-1 A	OLD:  
+	onlineový A	0.999379539826599	NEW: online-1_,t A	OLD:  
	neférový A	0.999364576575707	NEW: nefér-1 A	OLD: férový A
+	plonkový_,l A	0.999292097717017	NEW: plonk-1_^(být_bez_pěnez) A	OLD:  
+	švorcový_,h A	0.999292097717017	NEW: švorc_,h A	OLD:  
+	nedostatečná_^(známka_ve_škole:_5) N	0.999167331803050	NEW: nedostatečný A	OLD:  
+	vdavekchtivá N	0.999167331803050	NEW: vdavekchtivý A	OLD:  
