# smazat z derinetu, 1. sloupeček = rodič , 2. sloupeček = dítě
lámat–V	lom–N
okupovat–V	okupace–N
šrot–N	šrotovné–N
Vladek–N	Vlaďka–N
Armén–N	arménský–A
don–N	donský–A
osel–N	oselský–A
sibiř–N	sibiřský–A
teoretik–N	teoretický–A
polární–A	polarizovat–V
spekulovat–V	spekulace–N
kalvín–N	kalvínský–A
klad–N	kladný–A
věřit–V	víra–N
nájem–N	nájemný–A
Karib–N	karibský–A
říkat–V	řeč–N
sídlo–N	sídliště–N
pružit–V	pružný–A
Bělohlav–N	Bělohlávek–N
počíst–V	počítat–V
tibet–N	tibetský–A
Litevsko–N	Litevec–N
chod–N	chodský–A
klad–N	kladský–A
Lichtenštejn–N	lichtenštejnský–A
jedle–D	jedlička–N
Jiří–N	jirský–A
mluvit–V	odmlouvat–V
mučit–V	muka–N
Anděl–N	Anděla–N
lhát–V	lež–N
smát–V	směšný–A
Prajz–N	Prajzsko–N
chroupavý–A	chrupavka–N
Štěp–N	Štěpka–N
činit–V	čin–N
chrápat–V	chrapot–N
provázet–V	průvod–N
revmatik–N	revmatismus–N
stát–N	stání–N
tíž–N	těžiště–N
Uršulin–A	uršulinský–A
albínský–A	albinismus–N
alegorizovat–V	alegorizace–N
buržoazní–A	buržoazie–N
doložit–V	doklad–N
domnít–V	domnělý–A
elektrika–N	elektrárna–N
facka–N	fackovné–N
Florent–N	florentský–A
fotrovský–A	fotrovatět–V
hanit–V	hanba–N
humanistika–N	humanistický–A
instrumentalizovat–V	instrumentace–N
islámský–A	islamizovat–V
Kantabrie–N	kantaberský–A
kápnout–V	kapat–V
katalyzovat–V	katalyzátor–N
konfederovat–V	konfederace–N
Kopta–N	koptský–A
Kristus–N	křesťan–N
Ligur–N	ligurský–A
lobbismus–N	lobbista–N
loutka–N	loutkařit–V
Macháč–N	Macháček–N
mizera–N	mizerný–A
sázka–N	nadsázka–N
nahnědnout–V	nahnědlý–A
nanuk–N	nanukáč–N
oktrojovaný–A	oktrojírka–N
svoboda–N	osvobodit–V
pantofle–N	pantoflíček–N
pomlčet–V	pomlčka–N
profanovat–V	profanace–N
promenovat–V	promenoár–N
prozaik–N	prozaický–A
protéct–V	průtok–N
Rakousy–N	Rakušan–N
Skopek–N	skopský–A
škrtat–V	škrt–N
slinit–V	slintat–V
smyknout–V	smyčka–N
stopnout–V	stopovat–V
systematika–N	systematický–A
tahat–V	tah–N
Trójan–N	trojánský–A
tropie–N	tropický–A
typika–N	typický–A
vnitro–N	uvnitř–D
vážit–V	vážný–A
vertikál–N	vertikální–A
vlnit–V	vlnitý–A
vonět–V	voňavý–A
vrhat–V	vrh–N
vychytrat–V	vychytralý–A
vyfukovat–V	výfuk–N
vývoj–N	vývojka–N
zatáhat–V	zatáhnout–V
zeptat–V	zpytovat–V
Indie–N	Ind–N
neandrtálec–N	neandertálec–N
šup–N	šupka–N
agnostik–N	agnosticismus–N
branka–N	brankařský–A
věřit–V	důvěřovat–V
evangelík–N	evangelický–A
filozof–N	filozofovat–V
germanizovat–V	germanizace–N
Horno–N	horenský–A
hůra–N	horní–A
hybridizovat–V	hybridizace–N
Indie–N	indián–N
jízda–N	jízdné–N
jsoucí–A	jsoucno–N
Kannan–N	kananejský–A
Karel–N	Karlíček–N
komponovat–V	komponenta–N
Lhota–N	lhotecký–A
marod–N	marodovat–V
Mikuláš–N	mikulášenský–A
Mýto–N	mýtský–A
chutnat–V	nechutenství–N
neofašista–N	neofašistický–A
ostat–V	ostatky–N
pořádat–V	pořádek–N
putovat–V	poutník–N
Přemysl–N	Přemyslovna–N
příčit–V	příčka–N
sexus–N	sexy–A
Sinhal–N	sinhálský–A
šlechtična–N	šlechtička–N
mířit–V	směřovat–V
špic–N	špiclík–N
splavit–V	splávek–N
špulit–V	špulička–N
stáčet–V	stáčečka–N
vápno–N	vápenec–N
vepř–N	vepřové–N
vorat–V	voračka–N
vrátit–V	vrátník–N
výčepní–N	výčepnický–A
keťas–N	vykeťasovat–V
keťas–N	zakeťasovat–V
prst–N	záprstní–A
živnostník–N	živnostenský–A
družka–N	družička–N
Durynk–N	Durynsko–N
hradit–V	hráz–N
kvarta–N	kvartet–N
lázeň–N	lázeňský–N
řád–N	úřad–N
vulgarizovat–V	vulgarizace–N
lovit–V	lov–N
maličký–A	maličko–N
