novy par: afakie --> afakický	 pravidlo: N-e --> A-cký
novy par: agonie --> agonický	 pravidlo: N-e --> A-cký
novy par: agrobiologie --> agrobiologický	 pravidlo: N-e --> A-cký
novy par: agroekologie --> agroekologický	 pravidlo: N-e --> A-cký
novy par: agrochemie --> agrochemický	 pravidlo: N-e --> A-cký
novy par: agronomie --> agronomický	 pravidlo: N-e --> A-cký
novy par: akademie --> akademický	 pravidlo: N-e --> A-cký
novy par: akromegalie --> akromegalický	 pravidlo: N-e --> A-cký
novy par: alegorie --> alegorický	 pravidlo: N-e --> A-cký
novy par: alergie --> alergický	 pravidlo: N-e --> A-cký
novy par: alergologie --> alergologický	 pravidlo: N-e --> A-cký
novy par: alchymie --> alchymický	 pravidlo: N-e --> A-cký
novy par: analogie --> analogický	 pravidlo: N-e --> A-cký
novy par: anarchie --> anarchický	 pravidlo: N-e --> A-cký
novy par: anatomie --> anatomický	 pravidlo: N-e --> A-cký
novy par: anesteziologie --> anesteziologický	 pravidlo: N-e --> A-cký
novy par: angiografie --> angiografický	 pravidlo: N-e --> A-cký
novy par: angiologie --> angiologický	 pravidlo: N-e --> A-cký
novy par: antonymie --> antonymický	 pravidlo: N-e --> A-cký
novy par: antropologie --> antropologický	 pravidlo: N-e --> A-cký
novy par: antropometrie --> antropometrický	 pravidlo: N-e --> A-cký
novy par: apatie --> apatický	 pravidlo: N-e --> A-cký
novy par: archeologie --> archeologický	 pravidlo: N-e --> A-cký
novy par: artroskopie --> artroskopický	 pravidlo: N-e --> A-cký
novy par: arytmie --> arytmický	 pravidlo: N-e --> A-cký
novy par: astrologie --> astrologický	 pravidlo: N-e --> A-cký
novy par: astrometrie --> astrometrický	 pravidlo: N-e --> A-cký
novy par: astronomie --> astronomický	 pravidlo: N-e --> A-cký
novy par: asymetrie --> asymetrický	 pravidlo: N-e --> A-cký
novy par: atonie --> atonický	 pravidlo: N-e --> A-cký
novy par: atopie --> atopický	 pravidlo: N-e --> A-cký
novy par: atrofie --> atrofický	 pravidlo: N-e --> A-cký
novy par: audiometrie --> audiometrický	 pravidlo: N-e --> A-cký
novy par: autobiografie --> autobiografický	 pravidlo: N-e --> A-cký
novy par: autotypie --> autotypický	 pravidlo: N-e --> A-cký
novy par: bakteriologie --> bakteriologický	 pravidlo: N-e --> A-cký
novy par: balneologie --> balneologický	 pravidlo: N-e --> A-cký
novy par: bibliografie --> bibliografický	 pravidlo: N-e --> A-cký
novy par: biogeografie --> biogeografický	 pravidlo: N-e --> A-cký
novy par: biografie --> biografický	 pravidlo: N-e --> A-cký
novy par: biochemie --> biochemický	 pravidlo: N-e --> A-cký
novy par: bioklimatologie --> bioklimatologický	 pravidlo: N-e --> A-cký
novy par: biologie --> biologický	 pravidlo: N-e --> A-cký
novy par: biometeorologie --> biometeorologický	 pravidlo: N-e --> A-cký
novy par: biometrie --> biometrický	 pravidlo: N-e --> A-cký
novy par: bionomie --> bionomický	 pravidlo: N-e --> A-cký
novy par: biotechnologie --> biotechnologický	 pravidlo: N-e --> A-cký
novy par: blasfemie --> blasfemický	 pravidlo: N-e --> A-cký
novy par: bronchoskopie --> bronchoskopický	 pravidlo: N-e --> A-cký
novy par: bulimie --> bulimický	 pravidlo: N-e --> A-cký
novy par: cytologie --> cytologický	 pravidlo: N-e --> A-cký
novy par: daktyloskopie --> daktyloskopický	 pravidlo: N-e --> A-cký
novy par: defektoskopie --> defektoskopický	 pravidlo: N-e --> A-cký
novy par: demagogie --> demagogický	 pravidlo: N-e --> A-cký
novy par: demografie --> demografický	 pravidlo: N-e --> A-cký
novy par: démonie --> démonický	 pravidlo: N-e --> A-cký
novy par: dendrologie --> dendrologický	 pravidlo: N-e --> A-cký
novy par: deontologie --> deontologický	 pravidlo: N-e --> A-cký
novy par: dermatologie --> dermatologický	 pravidlo: N-e --> A-cký
novy par: diabetologie --> diabetologický	 pravidlo: N-e --> A-cký
novy par: diakonie --> diakonický	 pravidlo: N-e --> A-cký
novy par: dietologie --> dietologický	 pravidlo: N-e --> A-cký
novy par: dichotomie --> dichotomický	 pravidlo: N-e --> A-cký
novy par: dioptrie --> dioptrický	 pravidlo: N-e --> A-cký
novy par: disharmonie --> disharmonický	 pravidlo: N-e --> A-cký
novy par: dozimetrie --> dozimetrický	 pravidlo: N-e --> A-cký
novy par: dramaturgie --> dramaturgický	 pravidlo: N-e --> A-cký
novy par: dynastie --> dynastický	 pravidlo: N-e --> A-cký
novy par: egyptologie --> egyptologický	 pravidlo: N-e --> A-cký
novy par: echokardiografie --> echokardiografický	 pravidlo: N-e --> A-cký
novy par: ekologie --> ekologický	 pravidlo: N-e --> A-cký
novy par: ekonometrie --> ekonometrický	 pravidlo: N-e --> A-cký
novy par: ekonomie --> ekonomický	 pravidlo: N-e --> A-cký
novy par: ekotoxikologie --> ekotoxikologický	 pravidlo: N-e --> A-cký
novy par: ektopie --> ektopický	 pravidlo: N-e --> A-cký
novy par: elegie --> elegický	 pravidlo: N-e --> A-cký
novy par: elektroencefalografie --> elektroencefalografický	 pravidlo: N-e --> A-cký
novy par: elektrofyziologie --> elektrofyziologický	 pravidlo: N-e --> A-cký
novy par: elektrografie --> elektrografický	 pravidlo: N-e --> A-cký
novy par: elektrochemie --> elektrochemický	 pravidlo: N-e --> A-cký
novy par: elektrokardiografie --> elektrokardiografický	 pravidlo: N-e --> A-cký
novy par: embolie --> embolický	 pravidlo: N-e --> A-cký
novy par: embryologie --> embryologický	 pravidlo: N-e --> A-cký
novy par: empatie --> empatický	 pravidlo: N-e --> A-cký
novy par: empirie --> empirický	 pravidlo: N-e --> A-cký
novy par: encyklopedie --> encyklopedický	 pravidlo: N-e --> A-cký
novy par: endemie --> endemický	 pravidlo: N-e --> A-cký
novy par: endokrinologie --> endokrinologický	 pravidlo: N-e --> A-cký
novy par: endoskopie --> endoskopický	 pravidlo: N-e --> A-cký
novy par: energie --> energický	 pravidlo: N-e --> A-cký
novy par: entomologie --> entomologický	 pravidlo: N-e --> A-cký
novy par: entropie --> entropický	 pravidlo: N-e --> A-cký
novy par: epidemie --> epidemický	 pravidlo: N-e --> A-cký
novy par: epidemiologie --> epidemiologický	 pravidlo: N-e --> A-cký
novy par: epistemologie --> epistemologický	 pravidlo: N-e --> A-cký
novy par: epizootie --> epizootický	 pravidlo: N-e --> A-cký
novy par: epizootologie --> epizootologický	 pravidlo: N-e --> A-cký
novy par: ergonomie --> ergonomický	 pravidlo: N-e --> A-cký
novy par: eschatologie --> eschatologický	 pravidlo: N-e --> A-cký
novy par: etiologie --> etiologický	 pravidlo: N-e --> A-cký
novy par: etnografie --> etnografický	 pravidlo: N-e --> A-cký
novy par: etnologie --> etnologický	 pravidlo: N-e --> A-cký
novy par: etologie --> etologický	 pravidlo: N-e --> A-cký
novy par: etymologie --> etymologický	 pravidlo: N-e --> A-cký
novy par: euforie --> euforický	 pravidlo: N-e --> A-cký
novy par: eucharistie --> eucharistický	 pravidlo: N-e --> A-cký
novy par: fantasmagorie --> fantasmagorický	 pravidlo: N-e --> A-cký
novy par: farmakologie --> farmakologický	 pravidlo: N-e --> A-cký
novy par: fenologie --> fenologický	 pravidlo: N-e --> A-cký
novy par: fenomenologie --> fenomenologický	 pravidlo: N-e --> A-cký
novy par: filantropie --> filantropický	 pravidlo: N-e --> A-cký
novy par: filharmonie --> filharmonický	 pravidlo: N-e --> A-cký
novy par: filologie --> filologický	 pravidlo: N-e --> A-cký
novy par: filozofie --> filozofický	 pravidlo: N-e --> A-cký
novy par: flexografie --> flexografický	 pravidlo: N-e --> A-cký
novy par: fobie --> fobický	 pravidlo: N-e --> A-cký
novy par: foniatrie --> foniatrický	 pravidlo: N-e --> A-cký
novy par: fonologie --> fonologický	 pravidlo: N-e --> A-cký
novy par: fotografie --> fotografický	 pravidlo: N-e --> A-cký
novy par: fotogrammetrie --> fotogrammetrický	 pravidlo: N-e --> A-cký
novy par: fotochemie --> fotochemický	 pravidlo: N-e --> A-cký
novy par: fotometrie --> fotometrický	 pravidlo: N-e --> A-cký
novy par: frazeologie --> frazeologický	 pravidlo: N-e --> A-cký
novy par: frenologie --> frenologický	 pravidlo: N-e --> A-cký
novy par: futurologie --> futurologický	 pravidlo: N-e --> A-cký
novy par: fytocenologie --> fytocenologický	 pravidlo: N-e --> A-cký
novy par: fytopatologie --> fytopatologický	 pravidlo: N-e --> A-cký
novy par: fyziognomie --> fyziognomický	 pravidlo: N-e --> A-cký
novy par: fyziologie --> fyziologický	 pravidlo: N-e --> A-cký
novy par: fyziologie --> fyziologický	 pravidlo: N-e --> A-cký
novy par: gastroenterologie --> gastroenterologický	 pravidlo: N-e --> A-cký
novy par: gastronomie --> gastronomický	 pravidlo: N-e --> A-cký
novy par: gastrostomie --> gastrostomický	 pravidlo: N-e --> A-cký
novy par: genealogie --> genealogický	 pravidlo: N-e --> A-cký
novy par: geografie --> geografický	 pravidlo: N-e --> A-cký
novy par: geochemie --> geochemický	 pravidlo: N-e --> A-cký
novy par: geologie --> geologický	 pravidlo: N-e --> A-cký
novy par: geometrie --> geometrický	 pravidlo: N-e --> A-cký
novy par: geomorfologie --> geomorfologický	 pravidlo: N-e --> A-cký
novy par: geriatrie --> geriatrický	 pravidlo: N-e --> A-cký
novy par: gerontologie --> gerontologický	 pravidlo: N-e --> A-cký
novy par: granulometrie --> granulometrický	 pravidlo: N-e --> A-cký
novy par: gravimetrie --> gravimetrický	 pravidlo: N-e --> A-cký
novy par: gynekologie --> gynekologický	 pravidlo: N-e --> A-cký
novy par: harmonie --> harmonický	 pravidlo: N-e --> A-cký
novy par: hegemonie --> hegemonický	 pravidlo: N-e --> A-cký
novy par: hematologie --> hematologický	 pravidlo: N-e --> A-cký
novy par: hemoragie --> hemoragický	 pravidlo: N-e --> A-cký
novy par: hepatologie --> hepatologický	 pravidlo: N-e --> A-cký
novy par: herpetologie --> herpetologický	 pravidlo: N-e --> A-cký
novy par: hierarchie --> hierarchický	 pravidlo: N-e --> A-cký
novy par: histologie --> histologický	 pravidlo: N-e --> A-cký
novy par: historie --> historický	 pravidlo: N-e --> A-cký
novy par: historiografie --> historiografický	 pravidlo: N-e --> A-cký
novy par: holografie --> holografický	 pravidlo: N-e --> A-cký
novy par: homeopatie --> homeopatický	 pravidlo: N-e --> A-cký
novy par: homologie --> homologický	 pravidlo: N-e --> A-cký
novy par: hydrobiologie --> hydrobiologický	 pravidlo: N-e --> A-cký
novy par: hydrogeologie --> hydrogeologický	 pravidlo: N-e --> A-cký
novy par: hydrografie --> hydrografický	 pravidlo: N-e --> A-cký
novy par: hydrologie --> hydrologický	 pravidlo: N-e --> A-cký
novy par: hydrometeorologie --> hydrometeorologický	 pravidlo: N-e --> A-cký
novy par: hydropedologie --> hydropedologický	 pravidlo: N-e --> A-cký
novy par: hydroponie --> hydroponický	 pravidlo: N-e --> A-cký
novy par: hypertonie --> hypertonický	 pravidlo: N-e --> A-cký
novy par: hypertrofie --> hypertrofický	 pravidlo: N-e --> A-cký
novy par: hypochondrie --> hypochondrický	 pravidlo: N-e --> A-cký
novy par: hypotonie --> hypotonický	 pravidlo: N-e --> A-cký
novy par: hypotrofie --> hypotrofický	 pravidlo: N-e --> A-cký
novy par: hypoxie --> hypoxický	 pravidlo: N-e --> A-cký
novy par: hysterie --> hysterický	 pravidlo: N-e --> A-cký
novy par: chemie --> chemický	 pravidlo: N-e --> A-cký
novy par: chirurgie --> chirurgický	 pravidlo: N-e --> A-cký
novy par: choreografie --> choreografický	 pravidlo: N-e --> A-cký
novy par: chromatografie --> chromatografický	 pravidlo: N-e --> A-cký
novy par: chronologie --> chronologický	 pravidlo: N-e --> A-cký
novy par: ideografie --> ideografický	 pravidlo: N-e --> A-cký
novy par: ideologie --> ideologický	 pravidlo: N-e --> A-cký
novy par: ikonografie --> ikonografický	 pravidlo: N-e --> A-cký
