scenario: Load file=fulltest.tsv CS::ExtractCandidatesForUnexploitedRules
novy par: candid --> candida	 pravidlo: A- --> A-a
novy par: senegal --> senegala	 pravidlo: A- --> A-a
novy par: pitoreskní --> pitoreskních	 pravidlo: A- --> A-ch
novy par: benzen --> benzenový	 pravidlo: A- --> A-ový
novy par: fajn --> fajnový	 pravidlo: A- --> A-ový
novy par: hot --> hotový	 pravidlo: A- --> A-ový
novy par: nefér --> neférový	 pravidlo: A- --> A-ový
novy par: pini --> piniový	 pravidlo: A- --> A-ový
novy par: plonk --> plonkový	 pravidlo: A- --> A-ový
novy par: rybin --> rybinový	 pravidlo: A- --> A-ový
novy par: švorc --> švorcový	 pravidlo: A- --> A-ový
novy par: celestin --> celestinský	 pravidlo: A- --> A-ský
novy par: mali --> maliský	 pravidlo: A- --> A-ský
novy par: senegal --> senegalský	 pravidlo: A- --> A-ský
novy par: online --> onlinový	 pravidlo: A-e --> A-ový
novy par: single --> singlový	 pravidlo: A-e --> A-ový
novy par: vnější --> vnějšní	 pravidlo: A-í --> A-ní
novy par: kuka --> kuní	 pravidlo: A-ka --> A-ní
novy par: činit --> činitel	 pravidlo: A- --> N-el
novy par: hot --> hotel	 pravidlo: A- --> N-el
novy par: odvolat --> odvolatel	 pravidlo: A- --> N-el
novy par: pop --> popel	 pravidlo: A- --> N-el
novy par: Sentin --> Sentinel	 pravidlo: A- --> N-el
novy par: zúčtovat --> zúčtovatel	 pravidlo: A- --> N-el
novy par: akční --> akčních	 pravidlo: A- --> N-ch
novy par: bezpečnostní --> bezpečnostních	 pravidlo: A- --> N-ch
novy par: celosvětový --> celosvětových	 pravidlo: A- --> N-ch
novy par: členský --> členských	 pravidlo: A- --> N-ch
novy par: další --> dalších	 pravidlo: A- --> N-ch
novy par: diplomatický --> diplomatických	 pravidlo: A- --> N-ch
novy par: dobrovolný --> dobrovolných	 pravidlo: A- --> N-ch
novy par: dodatečný --> dodatečných	 pravidlo: A- --> N-ch
novy par: domácí --> domácích	 pravidlo: A- --> N-ch
novy par: dospělý --> dospělých	 pravidlo: A- --> N-ch
novy par: duchovní --> duchovních	 pravidlo: A- --> N-ch
novy par: důkazní --> důkazních	 pravidlo: A- --> N-ch
novy par: dutý --> dutých	 pravidlo: A- --> N-ch
novy par: evropský --> evropských	 pravidlo: A- --> N-ch
novy par: finanční --> finančních	 pravidlo: A- --> N-ch
novy par: hladovějící --> hladovějících	 pravidlo: A- --> N-ch
novy par: hlavní --> hlavních	 pravidlo: A- --> N-ch
novy par: hospodářský --> hospodářských	 pravidlo: A- --> N-ch
novy par: chráněný --> chráněných	 pravidlo: A- --> N-ch
novy par: chudý --> chudých	 pravidlo: A- --> N-ch
novy par: inovační --> inovačních	 pravidlo: A- --> N-ch
novy par: institucionální --> institucionálních	 pravidlo: A- --> N-ch
novy par: izolační --> izolačních	 pravidlo: A- --> N-ch
novy par: jiný --> jiných	 pravidlo: A- --> N-ch
novy par: kandidátský --> kandidátských	 pravidlo: A- --> N-ch
novy par: kodaňský --> kodaňských	 pravidlo: A- --> N-ch
novy par: kontrolní --> kontrolních	 pravidlo: A- --> N-ch
novy par: konvenční --> konvenčních	 pravidlo: A- --> N-ch
novy par: konzultační --> konzultačních	 pravidlo: A- --> N-ch
novy par: kriminální --> kriminálních	 pravidlo: A- --> N-ch
novy par: legislativní --> legislativních	 pravidlo: A- --> N-ch
novy par: lehký --> lehkých	 pravidlo: A- --> N-ch
novy par: lesní --> lesních	 pravidlo: A- --> N-ch
novy par: lidský --> lidských	 pravidlo: A- --> N-ch
novy par: malý --> malých	 pravidlo: A- --> N-ch
novy par: menšinový --> menšinových	 pravidlo: A- --> N-ch
novy par: mezinárodní --> mezinárodních	 pravidlo: A- --> N-ch
novy par: mimoevropský --> mimoevropských	 pravidlo: A- --> N-ch
novy par: místní --> místních	 pravidlo: A- --> N-ch
novy par: mladý --> mladých	 pravidlo: A- --> N-ch
novy par: mořský --> mořských	 pravidlo: A- --> N-ch
novy par: nakažený --> nakažených	 pravidlo: A- --> N-ch
novy par: národní --> národních	 pravidlo: A- --> N-ch
novy par: nebezpečný --> nebezpečných	 pravidlo: A- --> N-ch
novy par: nespravedlivý --> nespravedlivých	 pravidlo: A- --> N-ch
novy par: neúspěšný --> neúspěšných	 pravidlo: A- --> N-ch
novy par: nový --> nových	 pravidlo: A- --> N-ch
novy par: obecný --> obecných	 pravidlo: A- --> N-ch
novy par: obchodní --> obchodních	 pravidlo: A- --> N-ch
novy par: odvětvový --> odvětvových	 pravidlo: A- --> N-ch
novy par: odvolací --> odvolacích	 pravidlo: A- --> N-ch
novy par: ochranný --> ochranných	 pravidlo: A- --> N-ch
novy par: operační --> operačních	 pravidlo: A- --> N-ch
novy par: ostatní --> ostatních	 pravidlo: A- --> N-ch
novy par: ozbrojený --> ozbrojených	 pravidlo: A- --> N-ch
novy par: policejní --> policejních	 pravidlo: A- --> N-ch
novy par: politický --> politických	 pravidlo: A- --> N-ch
novy par: poslední --> posledních	 pravidlo: A- --> N-ch
novy par: postižený --> postižených	 pravidlo: A- --> N-ch
novy par: pověřovací --> pověřovacích	 pravidlo: A- --> N-ch
novy par: pozměňovací --> pozměňovacích	 pravidlo: A- --> N-ch
novy par: pracovní --> pracovních	 pravidlo: A- --> N-ch
novy par: preventivní --> preventivních	 pravidlo: A- --> N-ch
novy par: procházející --> procházejících	 pravidlo: A- --> N-ch
novy par: průběžný --> průběžných	 pravidlo: A- --> N-ch
novy par: předběžný --> předběžných	 pravidlo: A- --> N-ch
novy par: předchozí --> předchozích	 pravidlo: A- --> N-ch
novy par: předložený --> předložených	 pravidlo: A- --> N-ch
novy par: přechodný --> přechodných	 pravidlo: A- --> N-ch
novy par: přenášející --> přenášejících	 pravidlo: A- --> N-ch
novy par: přírodní --> přírodních	 pravidlo: A- --> N-ch
novy par: příslušný --> příslušných	 pravidlo: A- --> N-ch
novy par: přístupový --> přístupových	 pravidlo: A- --> N-ch
novy par: regionální --> regionálních	 pravidlo: A- --> N-ch
novy par: rozvinutý --> rozvinutých	 pravidlo: A- --> N-ch
novy par: rozvojový --> rozvojových	 pravidlo: A- --> N-ch
novy par: různý --> různých	 pravidlo: A- --> N-ch
novy par: rybolovný --> rybolovných	 pravidlo: A- --> N-ch
novy par: řídicí --> řídicích	 pravidlo: A- --> N-ch
novy par: sexuální --> sexuálních	 pravidlo: A- --> N-ch
novy par: skleněný --> skleněných	 pravidlo: A- --> N-ch
novy par: slabý --> slabých	 pravidlo: A- --> N-ch
novy par: sladkovodní --> sladkovodních	 pravidlo: A- --> N-ch
novy par: sociální --> sociálních	 pravidlo: A- --> N-ch
novy par: souhrnný --> souhrnných	 pravidlo: A- --> N-ch
novy par: soukromý --> soukromých	 pravidlo: A- --> N-ch
novy par: speciální --> speciálních	 pravidlo: A- --> N-ch
novy par: specifický --> specifických	 pravidlo: A- --> N-ch
novy par: spojený --> spojených	 pravidlo: A- --> N-ch
novy par: společný --> společných	 pravidlo: A- --> N-ch
novy par: spravedlivý --> spravedlivých	 pravidlo: A- --> N-ch
novy par: stanovený --> stanovených	 pravidlo: A- --> N-ch
novy par: stavební --> stavebních	 pravidlo: A- --> N-ch
novy par: stolní --> stolních	 pravidlo: A- --> N-ch
novy par: strukturální --> strukturálních	 pravidlo: A- --> N-ch
novy par: tajný --> tajných	 pravidlo: A- --> N-ch
novy par: teroristický --> teroristických	 pravidlo: A- --> N-ch
novy par: trestný --> trestných	 pravidlo: A- --> N-ch
novy par: trpící --> trpících	 pravidlo: A- --> N-ch
novy par: trvalý --> trvalých	 pravidlo: A- --> N-ch
novy par: určený --> určených	 pravidlo: A- --> N-ch
novy par: ústavní --> ústavních	 pravidlo: A- --> N-ch
novy par: uvedený --> uvedených	 pravidlo: A- --> N-ch
novy par: válečný --> válečných	 pravidlo: A- --> N-ch
novy par: velký --> velkých	 pravidlo: A- --> N-ch
novy par: vnější --> vnějších	 pravidlo: A- --> N-ch
novy par: vnitřní --> vnitřních	 pravidlo: A- --> N-ch
novy par: vojenský --> vojenských	 pravidlo: A- --> N-ch
novy par: volený --> volených	 pravidlo: A- --> N-ch
novy par: vrchní --> vrchních	 pravidlo: A- --> N-ch
novy par: vrcholný --> vrcholných	 pravidlo: A- --> N-ch
novy par: všeobecný --> všeobecných	 pravidlo: A- --> N-ch
novy par: výroční --> výročních	 pravidlo: A- --> N-ch
novy par: vyspělý --> vyspělých	 pravidlo: A- --> N-ch
novy par: vyšetřovací --> vyšetřovacích	 pravidlo: A- --> N-ch
novy par: vyvážený --> vyvážených	 pravidlo: A- --> N-ch
novy par: významný --> významných	 pravidlo: A- --> N-ch
novy par: vyžadující --> vyžadujících	 pravidlo: A- --> N-ch
novy par: zadlužený --> zadlužených	 pravidlo: A- --> N-ch
novy par: základní --> základních	 pravidlo: A- --> N-ch
novy par: závažný --> závažných	 pravidlo: A- --> N-ch
novy par: závěrečný --> závěrečných	 pravidlo: A- --> N-ch
novy par: zemědělský --> zemědělských	 pravidlo: A- --> N-ch
novy par: zkoumaný --> zkoumaných	 pravidlo: A- --> N-ch
novy par: znevýhodněný --> znevýhodněných	 pravidlo: A- --> N-ch
novy par: způsobilý --> způsobilých	 pravidlo: A- --> N-ch
novy par: zvláštní --> zvláštních	 pravidlo: A- --> N-ch
novy par: žijící --> žijících	 pravidlo: A- --> N-ch
novy par: adresní --> adresový	 pravidlo: A-ní --> A-ový
novy par: bezodpadní --> bezodpadový	 pravidlo: A-ní --> A-ový
novy par: brilantní --> brilantový	 pravidlo: A-ní --> A-ový
novy par: dřevní --> dřevový	 pravidlo: A-ní --> A-ový
novy par: důkazní --> důkazový	 pravidlo: A-ní --> A-ový
novy par: dveřní --> dveřový	 pravidlo: A-ní --> A-ový
novy par: faksimilní --> faksimilový	 pravidlo: A-ní --> A-ový
novy par: finální --> finálový	 pravidlo: A-ní --> A-ový
novy par: fúzní --> fúzový	 pravidlo: A-ní --> A-ový
novy par: hnízdní --> hnízdový	 pravidlo: A-ní --> A-ový
novy par: hodnotní --> hodnotový	 pravidlo: A-ní --> A-ový
novy par: kolenní --> kolenový	 pravidlo: A-ní --> A-ový
novy par: květní --> květový	 pravidlo: A-ní --> A-ový
novy par: malorážní --> malorážový	 pravidlo: A-ní --> A-ový
novy par: nájezdní --> nájezdový	 pravidlo: A-ní --> A-ový
novy par: nákladní --> nákladový	 pravidlo: A-ní --> A-ový
novy par: nálevní --> nálevový	 pravidlo: A-ní --> A-ový
novy par: nápravní --> nápravový	 pravidlo: A-ní --> A-ový
novy par: návratní --> návratový	 pravidlo: A-ní --> A-ový
novy par: nosní --> nosový	 pravidlo: A-ní --> A-ový
novy par: nožní --> nožový	 pravidlo: A-ní --> A-ový
novy par: odběrní --> odběrový	 pravidlo: A-ní --> A-ový
novy par: odkladní --> odkladový	 pravidlo: A-ní --> A-ový
novy par: odvodní --> odvodový	 pravidlo: A-ní --> A-ový
novy par: polychromní --> polychromový	 pravidlo: A-ní --> A-ový
novy par: popisní --> popisový	 pravidlo: A-ní --> A-ový
novy par: protialkoholní --> protialkoholový	 pravidlo: A-ní --> A-ový
novy par: průchodní --> průchodový	 pravidlo: A-ní --> A-ový
novy par: průjezdní --> průjezdový	 pravidlo: A-ní --> A-ový
novy par: průkazní --> průkazový	 pravidlo: A-ní --> A-ový
novy par: předletní --> předletový	 pravidlo: A-ní --> A-ový
novy par: přehradní --> přehradový	 pravidlo: A-ní --> A-ový
novy par: přestupní --> přestupový	 pravidlo: A-ní --> A-ový
novy par: převozní --> převozový	 pravidlo: A-ní --> A-ový
novy par: příkazní --> příkazový	 pravidlo: A-ní --> A-ový
novy par: přívodní --> přívodový	 pravidlo: A-ní --> A-ový
novy par: ramenní --> ramenový	 pravidlo: A-ní --> A-ový
novy par: robotní --> robotový	 pravidlo: A-ní --> A-ový
novy par: rolní --> rolový	 pravidlo: A-ní --> A-ový
novy par: rozvodní --> rozvodový	 pravidlo: A-ní --> A-ový
novy par: skladní --> skladový	 pravidlo: A-ní --> A-ový
novy par: stádní --> stádový	 pravidlo: A-ní --> A-ový
novy par: stolní --> stolový	 pravidlo: A-ní --> A-ový
novy par: střevní --> střevový	 pravidlo: A-ní --> A-ový
novy par: střižní --> střižový	 pravidlo: A-ní --> A-ový
novy par: škodní --> škodový	 pravidlo: A-ní --> A-ový
novy par: transgenní --> transgenový	 pravidlo: A-ní --> A-ový
novy par: varhanní --> varhanový	 pravidlo: A-ní --> A-ový
novy par: velkorážní --> velkorážový	 pravidlo: A-ní --> A-ový
novy par: větrní --> větrový	 pravidlo: A-ní --> A-ový
novy par: vodní --> vodový	 pravidlo: A-ní --> A-ový
novy par: volní --> volový	 pravidlo: A-ní --> A-ový
novy par: vozní --> vozový	 pravidlo: A-ní --> A-ový
novy par: východní --> východový	 pravidlo: A-ní --> A-ový
novy par: výstupní --> výstupový	 pravidlo: A-ní --> A-ový
novy par: zápisní --> zápisový	 pravidlo: A-ní --> A-ový
novy par: zástupní --> zástupový	 pravidlo: A-ní --> A-ový
novy par: zbožní --> zbožový	 pravidlo: A-ní --> A-ový
novy par: zubní --> zubový	 pravidlo: A-ní --> A-ový
novy par: hot --> holý	 pravidlo: A-t --> A-lý
novy par: válet --> válečka	 pravidlo: A-t --> N-čka
novy par: bázlivý --> bázlivec	 pravidlo: A-ý --> N-ec
novy par: bláhový --> bláhovec	 pravidlo: A-ý --> N-ec
novy par: blbý --> blbec	 pravidlo: A-ý --> N-ec
novy par: bloudivý --> bloudivec	 pravidlo: A-ý --> N-ec
novy par: blouznivý --> blouznivec	 pravidlo: A-ý --> N-ec
novy par: bohatý --> bohatec	 pravidlo: A-ý --> N-ec
novy par: bouchaný --> bouchanec	 pravidlo: A-ý --> N-ec
novy par: bouřlivý --> bouřlivec	 pravidlo: A-ý --> N-ec
novy par: braný --> branec	 pravidlo: A-ý --> N-ec
novy par: býložravý --> býložravec	 pravidlo: A-ý --> N-ec
novy par: cínový --> cínovec	 pravidlo: A-ý --> N-ec
novy par: ctižádostivý --> ctižádostivec	 pravidlo: A-ý --> N-ec
novy par: cvičený --> cvičenec	 pravidlo: A-ý --> N-ec
novy par: čekaný --> čekanec	 pravidlo: A-ý --> N-ec
novy par: čepový --> čepovec	 pravidlo: A-ý --> N-ec
novy par: červený --> červenec	 pravidlo: A-ý --> N-ec
novy par: česaný --> česanec	 pravidlo: A-ý --> N-ec
novy par: čistý --> čistec	 pravidlo: A-ý --> N-ec
novy par: dělený --> dělenec	 pravidlo: A-ý --> N-ec
novy par: delfínový --> delfínovec	 pravidlo: A-ý --> N-ec
novy par: dírkový --> dírkovec	 pravidlo: A-ý --> N-ec
novy par: dlabaný --> dlabanec	 pravidlo: A-ý --> N-ec
novy par: domorodý --> domorodec	 pravidlo: A-ý --> N-ec
novy par: domýšlivý --> domýšlivec	 pravidlo: A-ý --> N-ec
novy par: dosazený --> dosazenec	 pravidlo: A-ý --> N-ec
novy par: dospělý --> dospělec	 pravidlo: A-ý --> N-ec
novy par: dotěravý --> dotěravec	 pravidlo: A-ý --> N-ec
novy par: dovolený --> dovolenec	 pravidlo: A-ý --> N-ec
novy par: dravý --> dravec	 pravidlo: A-ý --> N-ec
novy par: důvěřivý --> důvěřivec	 pravidlo: A-ý --> N-ec
novy par: dvojzubý --> dvojzubec	 pravidlo: A-ý --> N-ec
novy par: hašteřivý --> hašteřivec	 pravidlo: A-ý --> N-ec
novy par: hladový --> hladovec	 pravidlo: A-ý --> N-ec
novy par: hlodavý --> hlodavec	 pravidlo: A-ý --> N-ec
novy par: hloubavý --> hloubavec	 pravidlo: A-ý --> N-ec
novy par: hmyzožravý --> hmyzožravec	 pravidlo: A-ý --> N-ec
novy par: holohlavý --> holohlavec	 pravidlo: A-ý --> N-ec
novy par: horlivý --> horlivec	 pravidlo: A-ý --> N-ec
novy par: hrabivý --> hrabivec	 pravidlo: A-ý --> N-ec
novy par: hrachový --> hrachovec	 pravidlo: A-ý --> N-ec
@	novy par: hraný --> hranec	 pravidlo: A-ý --> N-ec
novy par: hrubý --> hrubec	 pravidlo: A-ý --> N-ec
novy par: hruškový --> hruškovec	 pravidlo: A-ý --> N-ec
novy par: chamtivý --> chamtivec	 pravidlo: A-ý --> N-ec
novy par: chlupatý --> chlupatec	 pravidlo: A-ý --> N-ec
novy par: chovaný --> chovanec	 pravidlo: A-ý --> N-ec
novy par: chráněný --> chráněnec	 pravidlo: A-ý --> N-ec
novy par: chromý --> chromec	 pravidlo: A-ý --> N-ec
novy par: jalový --> jalovec	 pravidlo: A-ý --> N-ec
novy par: jasnozřivý --> jasnozřivec	 pravidlo: A-ý --> N-ec
novy par: jediný --> jedinec	 pravidlo: A-ý --> N-ec
novy par: jednotlivý --> jednotlivec	 pravidlo: A-ý --> N-ec
novy par: jedovatý --> jedovatec	 pravidlo: A-ý --> N-ec
novy par: jílový --> jílovec	 pravidlo: A-ý --> N-ec
novy par: jízlivý --> jízlivec	 pravidlo: A-ý --> N-ec
novy par: kojený --> kojenec	 pravidlo: A-ý --> N-ec
novy par: kolísavý --> kolísavec	 pravidlo: A-ý --> N-ec
novy par: kopaný --> kopanec	 pravidlo: A-ý --> N-ec
novy par: kopinatý --> kopinatec	 pravidlo: A-ý --> N-ec
novy par: kopytnatý --> kopytnatec	 pravidlo: A-ý --> N-ec
novy par: korálový --> korálovec	 pravidlo: A-ý --> N-ec
novy par: korový --> korovec	 pravidlo: A-ý --> N-ec
novy par: kosmatý --> kosmatec	 pravidlo: A-ý --> N-ec
novy par: kostlivý --> kostlivec	 pravidlo: A-ý --> N-ec
novy par: kousaný --> kousanec	 pravidlo: A-ý --> N-ec
novy par: kousavý --> kousavec	 pravidlo: A-ý --> N-ec
novy par: krkavý --> krkavec	 pravidlo: A-ý --> N-ec
novy par: kroužkový --> kroužkovec	 pravidlo: A-ý --> N-ec
novy par: krvavý --> krvavec	 pravidlo: A-ý --> N-ec
novy par: krvežíznivý --> krvežíznivec	 pravidlo: A-ý --> N-ec
novy par: křížený --> kříženec	 pravidlo: A-ý --> N-ec
novy par: kulhavý --> kulhavec	 pravidlo: A-ý --> N-ec
novy par: kůrový --> kůrovec	 pravidlo: A-ý --> N-ec
novy par: lakomý --> lakomec	 pravidlo: A-ý --> N-ec
novy par: laskavý --> laskavec	 pravidlo: A-ý --> N-ec
novy par: ledový --> ledovec	 pravidlo: A-ý --> N-ec
novy par: lehkooděný --> lehkooděnec	 pravidlo: A-ý --> N-ec
novy par: lenivý --> lenivec	 pravidlo: A-ý --> N-ec
novy par: létavý --> létavec	 pravidlo: A-ý --> N-ec
novy par: lidový --> lidovec	 pravidlo: A-ý --> N-ec
novy par: liknavý --> liknavec	 pravidlo: A-ý --> N-ec
novy par: litý --> litec	 pravidlo: A-ý --> N-ec
novy par: loudavý --> loudavec	 pravidlo: A-ý --> N-ec
novy par: lýkový --> lýkovec	 pravidlo: A-ý --> N-ec
novy par: lysý --> lysec	 pravidlo: A-ý --> N-ec
novy par: magnetový --> magnetovec	 pravidlo: A-ý --> N-ec
novy par: marnivý --> marnivec	 pravidlo: A-ý --> N-ec
novy par: masožravý --> masožravec	 pravidlo: A-ý --> N-ec
novy par: mazaný --> mazanec	 pravidlo: A-ý --> N-ec
novy par: měděný --> měděnec	 pravidlo: A-ý --> N-ec
novy par: mechový --> mechovec	 pravidlo: A-ý --> N-ec
novy par: měchový --> měchovec	 pravidlo: A-ý --> N-ec
novy par: měňavý --> měňavec	 pravidlo: A-ý --> N-ec
novy par: milený --> milenec	 pravidlo: A-ý --> N-ec
novy par: milý --> milec	 pravidlo: A-ý --> N-ec
novy par: míšený --> míšenec	 pravidlo: A-ý --> N-ec
novy par: mocichtivý --> mocichtivec	 pravidlo: A-ý --> N-ec
novy par: modřený --> modřenec	 pravidlo: A-ý --> N-ec
novy par: mozolnatý --> mozolnatec	 pravidlo: A-ý --> N-ec
novy par: mrchožravý --> mrchožravec	 pravidlo: A-ý --> N-ec
