# Format:
# Real-parent	Word	Wrong-parent

V-ívávat	A-ívávací	V-it
V-ívávat	A-ívávací	V-ět
V-ívávat	A-ívávací	V-ít
V-ívávat	A-ívávací	V-et
V-ívávat	N-ívávání	V-it
V-ívávat	N-ívávání	V-ět
V-ívávat	N-ívávání	V-ít
V-ívávat	N-ívávání	V-et
V-ívávat	A-ívávající	V-it
V-ívávat	A-ívávající	V-ět
V-ívávat	A-ívávající	V-ít
V-ívávat	A-ívávající	V-et
V-ívávat	A-ívávaný	V-it
V-ívávat	A-ívávaný	V-ět
V-ívávat	A-ívávaný	V-ít
V-ívávat	A-ívávaný	V-et
V-ívávat	A-ívávatelný	V-it
V-ívávat	A-ívávatelný	V-ět
V-ívávat	A-ívávatelný	V-ít
V-ívávat	A-ívávatelný	V-et
V-ávat	N-ávání	V-at
V-ávat	N-ávání	V-át
V-ávat	N-ávání	V-ít
V-ávávat	N-ávávání	V-át
V-ávat	A-ávající	V-at
V-ávat	A-ávající	V-át
V-ávávat	A-ávávající	V-at
V-ávat	A-ávací	V-at
V-ávat	A-ávací	V-át
V-ávat	A-ávací	V-t
V-ávávat	A-ávávací	V-at
V-ávávat	A-ávávací	V-át
V-ávat	A-ávaný	V-at
V-ávat	A-ávaný	V-át
V-ávat	A-ávatelný	V-at
V-ávat	A-ávatelný	V-át
V-ávat	A-ávatelný	V-out
V-ívat	N-ívání	V-et
V-ívat	N-ívání	V-it
V-ívat	N-ívání	V-ět
V-ívat	N-ívání	V-ít
V-ívat	N-ívání	V-át
V-ívat	A-ívající	V-ět
V-ívat	A-ívající	V-it
V-ívat	A-ívající	V-et
V-ívat	A-ívající	V-ít
V-ívat	A-ívající	V-át
V-ívat	A-ívací	V-ět
V-ívat	A-ívací	V-it
V-ívat	A-ívací	V-et
V-ívat	A-ívací	V-ít
V-ívat	A-ívací	V-át
V-ívat	A-ívaný	V-it
V-ívat	A-ívaný	V-et
V-ívat	A-ívaný	V-ět
V-ívat	A-ívaný	V-ít
V-ívat	A-ívaný	V-át
V-ívat	A-ívatelný	V-it
V-ívat	A-ívatelný	V-ět
V-ívat	A-ívatelný	V-et
V-ívat	A-ívatelný	V-ít
V-ívat	A-ívatelný	V-át

N-ka	A-čin	N-
N-ka	A-čin	N-a
N-ice	A-ičin	N-ík
