# Format of the file:
# Lemma	Tag-prefix
# Tag prefix can be empty.

# Required by lemma suffices
Adalgisina	N
achilleův	A
Basedow	NNM
Bohumila	N
Creutzfeld	NNM
dobolet	Vf--------A----
doozobat	Vf--------A----
dopromazat	Vf--------A----
dostýskat	Vf--------A----
dovykonat	Vf--------A----
dovyzvedat	Vf--------A----
Euklides	NNM
Favre	NNM
Fókylides	NNM
Friedreich	NNM
Gerstmmen	NNM
Golč	NNM
Gyges	NNM
Iordanescův	A
Jahna	N
kozačina	N
Marier	NN
nastýskat	Vf--------A----
naokrádat	Vf--------A----
navyzvedat	Vf--------A----
Nedaš	NNM
odnít	Vf--------A----
Osler	NNM
Parid	NNM
Pavlínin	A
Perdikko	NN
pocukávát	Vf--------A----
podýchat	Vf--------A----
poločistit	Vf--------A----
pomosaznit	Vf--------A----
poroztát	Vf--------A----
Poseidón	NNM
povyzvedat	Vf--------A----
pozůstat	Vf--------A----
prostýskat	Vf--------A----
přebobtnat	Vf--------A----
předhřát	Vf--------A----
přibobtnat	Vf--------A----
přitavit	Vf--------A----
přivyzvedat	Vf--------A----
Pyrrhus	NNM
Rendu	NN
rozhřát	Vf--------A----
samozahřát	Vf--------A----
sebepojmout	Vf--------A----
skarabeus	NNM
Solveižin	A
Sträussler	NNM
Strümpell	NNM
šlechtičin	A
uklopotit	Vf--------A----
vybobtnat	Vf--------A----
Wiche	NNM
zabobtnat	Vf--------A----
zaošít	Vf--------A----
zapředvídat	Vf--------A----
zastkvět	Vf--------A----
zavyzvedat	Vf--------A----
Zener	NNM
zesklít	Vf--------A----
zmatovatět	Vf--------A----

# Added from DeriNet 0.9
bezesporu	D
Boening	NNM
Dušník	NNM
houšť	D
Jožův	A
Kaďera	NNM
Kalužův	A
Meissne	NNM
Nenutil	NNM
pomale	D
shopnout	Vf--------A----
skvít	Vf--------A----
stejnak	D
tkvít	Vf--------A----
uskrovněný	A
Varmužův	A
vazův	A
zaskvít	Vf--------A----
