novy par: Aahlen --> Aahlenová	 pravidlo: N- --> N-ová
novy par: Aachen --> Aachenová	 pravidlo: N- --> N-ová
novy par: Aaron --> Aaronová	 pravidlo: N- --> N-ová
novy par: Aarons --> Aaronsová	 pravidlo: N- --> N-ová
novy par: Abadie --> Abadieová	 pravidlo: N- --> N-ová
@ novy par: Abad --> Abadon	 pravidlo: N- --> N-on
novy par: Abadžiev --> Abadžievová	 pravidlo: N- --> N-ová
@ novy par: Aba --> Abach	 pravidlo: N- --> N-ch
@ novy par: Abaj --> Abajo	 pravidlo: N- --> N-o
@ novy par: Abaja --> Abajo	 pravidlo: N-a --> N-o
novy par: Abakanowicz --> Abakanowiczová	 pravidlo: N- --> N-ová
novy par: Abarca --> Abarcaová	 pravidlo: N- --> N-ová
novy par: Abascal --> Abascalová	 pravidlo: N- --> N-ová
novy par: Abas --> Abasová	 pravidlo: N- --> N-ová
novy par: Abašin --> Abašinová	 pravidlo: N- --> N-ová
novy par: Abate --> Abateová	 pravidlo: N- --> N-ová
@ novy par: Aba --> Abay	 pravidlo: N- --> N-y
@ novy par: Abba --> Abbach	 pravidlo: N- --> N-ch
@ novy par: Abbe --> Abbey	 pravidlo: N- --> N-y
novy par: Abbid --> Abbidová	 pravidlo: N- --> N-ová
novy par: Abbio --> Abbiová	 pravidlo: N- --> N-vá
@ novy par: Abba --> Abbo	 pravidlo: N-a --> N-o
@ novy par: Abba --> Abbo	 pravidlo: N-a --> N-o
novy par: Abbrent --> Abbrentová	 pravidlo: N- --> N-ová
novy par: Abbúd --> Abbúdová	 pravidlo: N- --> N-ová
novy par: Abdelnour --> Abdelnourová	 pravidlo: N- --> N-ová
novy par: Abdelrahman --> Abdelrahmanová	 pravidlo: N- --> N-ová
@ novy par: Abda --> Abder	 pravidlo: N-a --> N-er
novy par: Abdesslem --> Abdesslemová	 pravidlo: N- --> N-ová
novy par: Abdinur --> Abdinurová	 pravidlo: N- --> N-ová
novy par: Abdi --> Abdiová	 pravidlo: N- --> N-ová
@ novy par: Abd --> Abdon	 pravidlo: N- --> N-on
@ novy par: Abdulla --> Abdullah	 pravidlo: N- --> N-h
novy par: Abedin --> Abedinová	 pravidlo: N- --> N-ová
@ novy par: Abelard --> Abelardo	 pravidlo: N- --> N-o
@ novy par: Abellia --> Abellio	 pravidlo: N-a --> N-o
@ novy par: Abels --> Abelson	 pravidlo: N- --> N-on
novy par: aberdeen --> aberdeenský	 pravidlo: N- --> A-ský
novy par: Abernathy --> Abernathyová	 pravidlo: N- --> N-ová
@? novy par: Abcház --> Abcházka	 pravidlo: N- --> N-ka
@ novy par: abolicionista --> abolicionismus	 pravidlo: N-ta --> N-mus
novy par: Abo --> Aboová	 pravidlo: N- --> N-ová
@ novy par: Aba --> Abo	 pravidlo: N-a --> N-o
@ novy par: Abrahám --> Abrahámek	 pravidlo: N- --> N-ek
novy par: Abrahamovič --> Abrahamovičová	 pravidlo: N- --> N-ová
novy par: Abrahamson --> Abrahamsonová	 pravidlo: N- --> N-ová
@ novy par: Abrahams --> Abrahamson	 pravidlo: N- --> N-on
novy par: Abrahamsson --> Abrahamssonová	 pravidlo: N- --> N-ová
novy par: Abramson --> Abramsonová	 pravidlo: N- --> N-ová
@ novy par: Abrams --> Abramson	 pravidlo: N- --> N-on
@ novy par: Abrams --> Abramson	 pravidlo: N- --> N-on
novy par: absint --> absintový	 pravidlo: N- --> A-ový
novy par: Absolín --> Absolínová	 pravidlo: N- --> N-ová
@ novy par: absolutista --> absolutismus	 pravidlo: N-ta --> N-mus
@ novy par: abstrakcionista --> abstrakcionismus	 pravidlo: N-ta --> N-mus
novy par: absurdistán --> absurdistánský	 pravidlo: N- --> A-ský
@ novy par: Ace --> Aceh	 pravidlo: N- --> N-h
@ novy par: Acker --> Ackerman	 pravidlo: N- --> N-man
@ novy par: Acton --> Actor	 pravidlo: N-n --> N-r
novy par: Áč --> Áčová	 pravidlo: N- --> N-ová
@ novy par: Adal --> Adalen	 pravidlo: N- --> N-en
novy par: Adamica --> Adamicová	 pravidlo: N-a --> N-ová
@ novy par: Adamička --> Adamičko	 pravidlo: N-a --> N-o
@ novy par: Adamka --> Adamko	 pravidlo: N-a --> N-o
novy par: Adamovsko --> Adamovský	 pravidlo: N-o --> N-ý
@ novy par: Adams --> Adamson	 pravidlo: N- --> N-on
@ novy par: Adda --> Addo	 pravidlo: N-a --> N-o
@ novy par: Adel --> Adelman	 pravidlo: N- --> N-man
novy par: Adera --> Aderová	 pravidlo: N-a --> N-ová
@ novy par: Áda --> Áder	 pravidlo: N-a --> N-er
novy par: adiktologie --> adiktologický	 pravidlo: N-e --> A-cký
@ novy par: Adla --> Adler	 pravidlo: N-a --> N-er
@ novy par: Adrian --> Adriano	 pravidlo: N- --> N-o
@ novy par: Adriana --> Adriano	 pravidlo: N-a --> N-o
novy par: Adriansen --> Adriansenová	 pravidlo: N- --> N-ová
@ novy par: Adriatic --> Adriatico	 pravidlo: N- --> N-o
novy par: aeromechanika --> aeromechanický	 pravidlo: N-ka --> A-cký
novy par: aerostatika --> aerostatický	 pravidlo: N-ka --> A-cký
@ novy par: Aerts --> Aertsen	 pravidlo: N- --> N-en
@? novy par: afghán --> afghánský	 pravidlo: N- --> A-ský
@ novy par: Afoňa --> Afoňka	 pravidlo: N-a --> N-ka
@? novy par: aforista --> aforismus	 pravidlo: N-ta --> N-mus
novy par: afrikanistika --> afrikanistický	 pravidlo: N-ka --> A-cký
@ novy par: Agan --> Agano	 pravidlo: N- --> N-o
@ novy par: Agana --> Agano	 pravidlo: N-a --> N-o
novy par: Agáta --> Agátka	 pravidlo: N-a --> N-ka
novy par: Agda --> Agder	 pravidlo: N-a --> N-er
novy par: Agga --> Agger	 pravidlo: N-a --> N-er
novy par: Agha --> Aghová	 pravidlo: N-a --> N-ová
novy par: agogika --> agogický	 pravidlo: N-ka --> A-cký
novy par: Agostin --> Agostinová	 pravidlo: N- --> N-ová
novy par: Agostino --> Agostinová	 pravidlo: N- --> N-vá
novy par: Aga --> Ago	 pravidlo: N-a --> N-o
novy par: Agri --> Agrio	 pravidlo: N- --> N-o
novy par: Agria --> Agrio	 pravidlo: N-a --> N-o
novy par: Agra --> Agro	 pravidlo: N-a --> N-o
novy par: Agrotec --> Agrotech	 pravidlo: N- --> N-h
novy par: Ahar --> Aharon	 pravidlo: N- --> N-on
novy par: Ah --> Ahman	 pravidlo: N- --> N-man
novy par: Ahman --> Ahmar	 pravidlo: N-n --> N-r
novy par: Ah --> Aho	 pravidlo: N- --> N-o
novy par: Aha --> Aho	 pravidlo: N-a --> N-o
novy par: Acher --> Acheron	 pravidlo: N- --> N-on
novy par: Aicha --> Aicher	 pravidlo: N-a --> N-er
novy par: Ai --> Aiman	 pravidlo: N- --> N-man
novy par: Aiman --> Aimar	 pravidlo: N-n --> N-r
novy par: Aim --> Aimo	 pravidlo: N- --> N-o
novy par: Ain --> Aino	 pravidlo: N- --> N-o
novy par: Ai --> Aion	 pravidlo: N- --> N-on
novy par: Aire --> Airey	 pravidlo: N- --> N-y
novy par: Ain --> Air	 pravidlo: N-n --> N-r
novy par: Air --> Airy	 pravidlo: N- --> N-y
novy par: Aiton --> Aitor	 pravidlo: N-n --> N-r
novy par: Aja --> Ajka	 pravidlo: N-a --> N-ka
novy par: Aj --> Ajman	 pravidlo: N- --> N-man
novy par: akant --> akantit	 pravidlo: N- --> N-it
novy par: Aa --> Aka	 pravidlo: N-a --> N-ka
novy par: Akers --> Akerson	 pravidlo: N- --> N-on
novy par: Aki --> Akio	 pravidlo: N- --> N-o
novy par: akordika --> akordický	 pravidlo: N-ka --> A-cký
novy par: akrobatika --> akrobatický	 pravidlo: N-ka --> A-cký
novy par: Akra --> Akro	 pravidlo: N-a --> N-o
novy par: akrostich --> akrostichon	 pravidlo: N- --> N-on
novy par: akryl --> akrylen	 pravidlo: N- --> N-en
novy par: aktin --> aktinon	 pravidlo: N- --> N-on
novy par: aktivista --> aktivismus	 pravidlo: N-ta --> N-mus
novy par: alabastr --> alabastron	 pravidlo: N- --> N-on
novy par: Ala --> Alaman	 pravidlo: N- --> N-man
novy par: Alamuddin --> Alamuddinová	 pravidlo: N- --> N-ová
novy par: Alari --> Alarich	 pravidlo: N- --> N-ch
novy par: Alari --> Alarika	 pravidlo: N- --> N-ka
novy par: alarmista --> alarmismus	 pravidlo: N-ta --> N-mus
novy par: Alan --> Alar	 pravidlo: N-n --> N-r
novy par: Alban --> Albano	 pravidlo: N- --> N-o
novy par: Alban --> Albany	 pravidlo: N- --> N-y
novy par: Alban --> Albar	 pravidlo: N-n --> N-r
novy par: Albert --> Alberto	 pravidlo: N- --> N-o
novy par: Albert --> Alberto	 pravidlo: N- --> N-o
novy par: Alberta --> Alberto	 pravidlo: N-a --> N-o
novy par: Alberts --> Albertsen	 pravidlo: N- --> N-en
novy par: Albia --> Albier	 pravidlo: N-a --> N-er
novy par: Albi --> Albich	 pravidlo: N- --> N-ch
novy par: Albin --> Albino	 pravidlo: N- --> N-o
novy par: Albina --> Albino	 pravidlo: N-a --> N-o
novy par: Albi --> Albion	 pravidlo: N- --> N-on
novy par: alba --> albový	 pravidlo: N-a --> A-ový
novy par: album --> albumen	 pravidlo: N- --> N-en
novy par: Alcan --> Alcar	 pravidlo: N-n --> N-r
novy par: Alcon --> Alcor	 pravidlo: N-n --> N-r
novy par: Alda --> Aldaman	 pravidlo: N- --> N-man
novy par: Alden --> Aldeno	 pravidlo: N- --> N-o
novy par: Alder --> Alderman	 pravidlo: N- --> N-man
novy par: Alda --> Alder	 pravidlo: N-a --> N-er
novy par: Alden --> Alder	 pravidlo: N-n --> N-r
novy par: Alda --> Aldo	 pravidlo: N-a --> N-o
