@@ Made by:
@ cp ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules.rules.tsv rules.txt
@ … edit rules.txt to your needs …
@ ../derivations/add_relations_from_automatic_rules.pl rules.txt derinet092.slex after-autorules.tsv > autorules.outlog 2> autorules.errlog
@ mv rules.txt morfflex-new-autorules-rules.txt
@ grep '^@' ../DerivMorpho/Block/CS/manual.AddManuallyConfirmedAutorules*.instances.tsv |sed 's/.*@[[:space:]]*//' |sort |uniq > negative_instances.txt
@ diff negative_instances.txt autorules.outlog | grep '^>' | sed 's/^>\ //' > morfflex-new-autorules-instances.txt
@ … edit morfflex-new-autorules-instances.txt and mark negative instances …
@ 
@ novy par: Aa --> Aka	 pravidlo: N-a --> N-ka
novy par: Aalto --> Aaltová	 pravidlo: N- --> N-vá
novy par: Abad --> Abadová	 pravidlo: N- --> N-ová
@ novy par: abaka --> kabaka	 pravidlo: N-a --> N-ka
novy par: Abakumov --> Abakumovová	 pravidlo: N- --> N-ová
novy par: abatyšský --> abatyšství	 pravidlo: A-ký --> N-tví
novy par: Abay --> Abayová	 pravidlo: N- --> N-ová
novy par: Abazovič --> Abazovičová	 pravidlo: N- --> N-ová
novy par: Abbas --> Abbasová	 pravidlo: N- --> N-ová
novy par: Abbás --> Abbásová	 pravidlo: N- --> N-ová
novy par: Abbate --> Abbateová	 pravidlo: N- --> N-ová
novy par: abbé --> abbéový	 pravidlo: N- --> A-ový
novy par: Abbey --> Abbeyová	 pravidlo: N- --> N-ová
novy par: Abd --> Abdová	 pravidlo: N- --> N-ová
novy par: Abegg --> Abeggův	 pravidlo: N- --> A-ův
novy par: Abell --> Abellová	 pravidlo: N- --> N-ová
novy par: aberace --> aberační	 pravidlo: N-ce --> A-ční
novy par: Ablajev --> Ablajevová	 pravidlo: N- --> N-ová
novy par: abolice --> aboliční	 pravidlo: N-ce --> A-ční
novy par: Abrahám --> Abrahámka	 pravidlo: N- --> N-ka
novy par: Abraham --> Abrahamová	 pravidlo: N- --> N-ová
novy par: Abrahamčík --> Abrahamčíková	 pravidlo: N- --> N-ová
@ novy par: Abrahámka --> Abrahámková	 pravidlo: N-a --> N-ová
novy par: Abrahams --> Abrahamsová	 pravidlo: N- --> N-ová
novy par: Abram --> Abramová	 pravidlo: N- --> N-ová
novy par: Abramčuk --> Abramčuková	 pravidlo: N- --> N-ová
novy par: Abramowský --> Abramowská	 pravidlo: N-ý --> N-á
novy par: Abramuszkin --> Abramuszkinová	 pravidlo: N- --> N-ová
novy par: Abrham --> Abrhamová	 pravidlo: N- --> N-ová
novy par: Abrman --> Abrmanová	 pravidlo: N- --> N-ová
novy par: Abrosimov --> Abrosimovová	 pravidlo: N- --> N-ová
novy par: absentér --> absentérský	 pravidlo: N- --> A-ský
novy par: absentérský --> absentérství	 pravidlo: A-ký --> N-tví
novy par: abstinent --> abstinentský	 pravidlo: N- --> A-ský
novy par: abstrakce --> abstrakční	 pravidlo: N-ce --> A-ční
novy par: absurdita --> absurditka	 pravidlo: N-a --> N-ka
novy par: Abt --> Abtová	 pravidlo: N- --> N-ová
novy par: abundance --> abundanční	 pravidlo: N-ce --> A-ční
novy par: Acalinovič --> Acalinovičová	 pravidlo: N- --> N-ová
novy par: Accola --> Accolaová	 pravidlo: N- --> N-ová
novy par: Accola --> Accolová	 pravidlo: N-a --> N-ová
novy par: acetylace --> acetylační	 pravidlo: N-ce --> A-ční
novy par: Acker --> Ackerová	 pravidlo: N- --> N-ová
novy par: acylace --> acylační	 pravidlo: N-ce --> A-ční
novy par: acylpyrin --> acylpyrinový	 pravidlo: N- --> A-ový
novy par: Adair --> Adairová	 pravidlo: N- --> N-ová
novy par: Adam --> Adamek	 pravidlo: N- --> N-ek
novy par: Adam --> Adamka	 pravidlo: N- --> N-ka
novy par: Adamča --> Adamčová	 pravidlo: N-a --> N-ová
novy par: Adamčák --> Adamčáková	 pravidlo: N- --> N-ová
novy par: Adamek --> Adameček	 pravidlo: N-k --> N-ček
