128 GROUPS FOR RULE COMBINATION: N-e --> A-ký, N-k --> A-cký				
				
beatnice	beatnický	N-e --> A-ký		
beatník	beatnický	N-k --> A-cký	CHANGE: í -> i	
				
blatnice	blatnický	N-e --> A-ký		
blatník	blatnický	N-k --> A-cký	CHANGE: í -> i	
				
bojovnice	bojovnický	N-e --> A-ký		
bojovník	bojovnický	N-k --> A-cký	CHANGE: í -> i	
				
brtnice	brtnický	N-e --> A-ký		
brtník	brtnický	N-k --> A-cký	CHANGE: í -> i	
				
bubenice	bubenický	N-e --> A-ký		
bubeník	bubenický	N-k --> A-cký	CHANGE: í -> i	
				
celnice	celnický	N-e --> A-ký		
celník	celnický	N-k --> A-cký	CHANGE: í -> i	
				
chalupnice	chalupnický	N-e --> A-ký		
chalupník	chalupnický	N-k --> A-cký	CHANGE: í -> i	
				
desátnice	desátnický	N-e --> A-ký		
desátník	desátnický	N-k --> A-cký	CHANGE: í -> i	
				
dlužnice	dlužnický	N-e --> A-ký		
dlužník	dlužnický	N-k --> A-cký	CHANGE: í -> i	
				
dobrovolnice	dobrovolnický	N-e --> A-ký		
dobrovolník	dobrovolnický	N-k --> A-cký	CHANGE: í -> i	
				
domovnice	domovnický	N-e --> A-ký		
domovník	domovnický	N-k --> A-cký	CHANGE: í -> i	
				
drátenice	drátenický	N-e --> A-ký		
dráteník	drátenický	N-k --> A-cký	CHANGE: í -> i	
				
dvojnice	dvojnický	N-e --> A-ký		
dvojník	dvojnický	N-k --> A-cký	CHANGE: í -> i	
				
důstojnice	důstojnický	N-e --> A-ký		
důstojník	důstojnický	N-k --> A-cký	CHANGE: í -> i	
				
důvěrnice	důvěrnický	N-e --> A-ký		
důvěrník	důvěrnický	N-k --> A-cký	CHANGE: í -> i	
				
falešnice	falešnický	N-e --> A-ký		
falešník	falešnický	N-k --> A-cký	CHANGE: í -> i	
				
granátnice	granátnický	N-e --> A-ký		
granátník	granátnický	N-k --> A-cký	CHANGE: í -> i	
				
hutnice	hutnický	N-e --> A-ký		
hutník	hutnický	N-k --> A-cký	CHANGE: í -> i	
				
kadeřnice	kadeřnický	N-e --> A-ký		
kadeřník	kadeřnický	N-k --> A-cký	CHANGE: í -> i	
				
kajícnice	kajícnický	N-e --> A-ký		
kajícník	kajícnický	N-k --> A-cký	CHANGE: í -> i	
				
kamenice	kamenický	N-e --> A-ký		
kameník	kamenický	N-k --> A-cký	CHANGE: í -> i	
				
karbanice	karbanický	N-e --> A-ký		
karbaník	karbanický	N-k --> A-cký	CHANGE: í -> i	
				
klenotnice	klenotnický	N-e --> A-ký		
klenotník	klenotnický	N-k --> A-cký	CHANGE: í -> i	
				
klevetnice	klevetnický	N-e --> A-ký		
klevetník	klevetnický	N-k --> A-cký	CHANGE: í -> i	
				
kloboučnice	kloboučnický	N-e --> A-ký		
kloboučník	kloboučnický	N-k --> A-cký	CHANGE: í -> i	
				
kněžice	kněžický	N-e --> A-ký		
kněžík	kněžický	N-k --> A-cký	CHANGE: í -> i	
				
kouzelnice	kouzelnický	N-e --> A-ký		
kouzelník	kouzelnický	N-k --> A-cký	CHANGE: í -> i	
				
kočovnice	kočovnický	N-e --> A-ký		
kočovník	kočovnický	N-k --> A-cký	CHANGE: í -> i	
				
kožešnice	kožešnický	N-e --> A-ký		
kožešník	kožešnický	N-k --> A-cký	CHANGE: í -> i	
				
králice	králický	N-e --> A-ký		
králík	králický	N-k --> A-cký	CHANGE: í -> i	
				
kyrysnice	kyrysnický	N-e --> A-ký		
kyrysník	kyrysnický	N-k --> A-cký	CHANGE: í -> i	
				
lazebnice	lazebnický	N-e --> A-ký		
lazebník	lazebnický	N-k --> A-cký	CHANGE: í -> i	
				
lesnice	lesnický	N-e --> A-ký		
lesník	lesnický	N-k --> A-cký	CHANGE: í -> i	
				
loupežnice	loupežnický	N-e --> A-ký		
loupežník	loupežnický	N-k --> A-cký	CHANGE: í -> i	
				
mladice	mladický	N-e --> A-ký		
mladík	mladický	N-k --> A-cký	CHANGE: í -> i	
				
mučednice	mučednický	N-e --> A-ký		
mučedník	mučednický	N-k --> A-cký	CHANGE: í -> i	
				
měřice	měřický	N-e --> A-ký		
měřík	měřický	N-k --> A-cký	CHANGE: í -> i	
				
nadporučice	nadporučický	N-e --> A-ký		
nadporučík	nadporučický	N-k --> A-cký	CHANGE: í -> i	
				
nevolnice	nevolnický	N-e --> A-ký		
nevolník	nevolnický	N-k --> A-cký	CHANGE: í -> i	
				
nádenice	nádenický	N-e --> A-ký		
nádeník	nádenický	N-k --> A-cký	CHANGE: í -> i	
				
nájemnice	nájemnický	N-e --> A-ký		
nájemník	nájemnický	N-k --> A-cký	CHANGE: í -> i	
				
nájezdnice	nájezdnický	N-e --> A-ký		
nájezdník	nájezdnický	N-k --> A-cký	CHANGE: í -> i	
				
námořnice	námořnický	N-e --> A-ký		
námořník	námořnický	N-k --> A-cký	CHANGE: í -> i	
				
následnice	následnický	N-e --> A-ký		
následník	následnický	N-k --> A-cký	CHANGE: í -> i	
				
následovnice	následovnický	N-e --> A-ký		
následovník	následovnický	N-k --> A-cký	CHANGE: í -> i	
				
nástupnice	nástupnický	N-e --> A-ký		
nástupník	nástupnický	N-k --> A-cký	CHANGE: í -> i	
				
návštěvnice	návštěvnický	N-e --> A-ký		
návštěvník	návštěvnický	N-k --> A-cký	CHANGE: í -> i	
				
náčelnice	náčelnický	N-e --> A-ký		
náčelník	náčelnický	N-k --> A-cký	CHANGE: í -> i	
				
obchodnice	obchodnický	N-e --> A-ký		
obchodník	obchodnický	N-k --> A-cký	CHANGE: í -> i	
				
odbornice	odbornický	N-e --> A-ký		
odborník	odbornický	N-k --> A-cký	CHANGE: í -> i	
				
odpadlice	odpadlický	N-e --> A-ký		
odpadlík	odpadlický	N-k --> A-cký	CHANGE: í -> i	
				
orlice	orlický	N-e --> A-ký		
orlík	orlický	N-k --> A-cký	CHANGE: í -> i	
				
osadnice	osadnický	N-e --> A-ký		
osadník	osadnický	N-k --> A-cký	CHANGE: í -> i	
				
panovnice	panovnický	N-e --> A-ký		
panovník	panovnický	N-k --> A-cký	CHANGE: í -> i	
				
pekelnice	pekelnický	N-e --> A-ký		
pekelník	pekelnický	N-k --> A-cký	CHANGE: í -> i	
				
plukovnice	plukovnický	N-e --> A-ký		
plukovník	plukovnický	N-k --> A-cký	CHANGE: í -> i	
				
poddůstojnice	poddůstojnický	N-e --> A-ký		
poddůstojník	poddůstojnický	N-k --> A-cký	CHANGE: í -> i	
				
podnájemnice	podnájemnický	N-e --> A-ký		
podnájemník	podnájemnický	N-k --> A-cký	CHANGE: í -> i	
				
podporučice	podporučický	N-e --> A-ký		
podporučík	podporučický	N-k --> A-cký	CHANGE: í -> i	
				
podvodnice	podvodnický	N-e --> A-ký		
podvodník	podvodnický	N-k --> A-cký	CHANGE: í -> i	
				
podílnice	podílnický	N-e --> A-ký		
podílník	podílnický	N-k --> A-cký	CHANGE: í -> i	
				
poručice	poručický	N-e --> A-ký		
poručík	poručický	N-k --> A-cký	CHANGE: í -> i	
				
poručnice	poručnický	N-e --> A-ký		
poručník	poručnický	N-k --> A-cký	CHANGE: í -> i	
				
požárnice	požárnický	N-e --> A-ký		
požárník	požárnický	N-k --> A-cký	CHANGE: í -> i	
				
praporčice	praporčický	N-e --> A-ký		
praporčík	praporčický	N-k --> A-cký	CHANGE: í -> i	
				
prostopášnice	prostopášnický	N-e --> A-ký		
prostopášník	prostopášnický	N-k --> A-cký	CHANGE: í -> i	
				
prostřednice	prostřednický	N-e --> A-ký		
prostředník	prostřednický	N-k --> A-cký	CHANGE: í -> i	
				
právnice	právnický	N-e --> A-ký		
