*	kopírovat	kupírování	V-at --> N-ání	CHANGE: o -> u	
*	kopírovat	kupírování	V-ovat --> N-ování	CHANGE: o -> u	
					
*	pokořovat	pokuřování	V-at --> N-ání	CHANGE: o -> u	
*	pokořovat	pokuřování	V-ovat --> N-ování	CHANGE: o -> u	
	pokuřovat	pokuřování	V-at --> N-ání		LINK ALREADY PRESENT
	pokuřovat	pokuřování	V-ovat --> N-ování		LINK ALREADY PRESENT
					
*	vybodovat	vybudování	V-at --> N-ání	CHANGE: o -> u	
*	vybodovat	vybudování	V-ovat --> N-ování	CHANGE: o -> u	
	vybudovat	vybudování	V-at --> N-ání		LINK ALREADY PRESENT
	vybudovat	vybudování	V-ovat --> N-ování		LINK ALREADY PRESENT
					
*	vylouhovat	vyluhování	V-at --> N-ání	CHANGE: ou -> u	
*	vylouhovat	vyluhování	V-ovat --> N-ování	CHANGE: ou -> u	
	vyluhovat	vyluhování	V-at --> N-ání		LINK ALREADY PRESENT
	vyluhovat	vyluhování	V-ovat --> N-ování		LINK ALREADY PRESENT
					
*	vystopovat	vystupování	V-at --> N-ání	CHANGE: o -> u	
*	vystopovat	vystupování	V-ovat --> N-ování	CHANGE: o -> u	
	vystupovat	vystupování	V-at --> N-ání		LINK ALREADY PRESENT
	vystupovat	vystupování	V-ovat --> N-ování		LINK ALREADY PRESENT
					
*	zabodovat	zabudování	V-at --> N-ání	CHANGE: o -> u	
*	zabodovat	zabudování	V-ovat --> N-ování	CHANGE: o -> u	
	zabudovat	zabudování	V-at --> N-ání		LINK ALREADY PRESENT
	zabudovat	zabudování	V-ovat --> N-ování		LINK ALREADY PRESENT
					
*	dopnout	dupnutí	V-nout --> N-nutí	CHANGE: o -> u	
*	dopnutý	dupnutí	A-ý --> N-í	CHANGE: o -> u	
	dupnout	dupnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	sloupnout	slupnutí	V-nout --> N-nutí	CHANGE: ou -> u	
*	sloupnutý	slupnutí	A-ý --> N-í	CHANGE: ou -> u	
	slupnout	slupnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	vybouchnout	vybuchnutí	V-nout --> N-nutí	CHANGE: ou -> u	
*	vybouchnutý	vybuchnutí	A-ý --> N-í	CHANGE: ou -> u	
	vybuchnout	vybuchnutí	V-nout --> N-nutí		LINK ALREADY PRESENT
					
*	bolený	bulení	A-ý --> N-í	CHANGE: o -> u	
*	bolet	bulení	V-et --> N-ení	CHANGE: o -> u	
					
*	bílený	bělení	A-ý --> N-í	CHANGE: í -> ě	
*	bělený	bělení	A-ý --> N-í		
	bělet	bělení	V-et --> N-ení		
					
*	osoušet	osušení	V-et --> N-ení	CHANGE: ou -> u	
*	osušený	osušení	A-ý --> N-í		
					
*	rozdílet	rozdělení	V-et --> N-ení	CHANGE: í -> ě	
*	rozdělený	rozdělení	A-ý --> N-í		
					
*	sdílený	sdělení	A-ý --> N-í	CHANGE: í -> ě	
*	sdílet	sdělení	V-et --> N-ení	CHANGE: í -> ě	
*	sdělený	sdělení	A-ý --> N-í		
					
*	skočený	skučení	A-ý --> N-í	CHANGE: o -> u	
*	skučený	skučení	A-ý --> N-í		
	skučet	skučení	V-et --> N-ení		
	skučet	skučení	V-et --> N-ení		LINK ALREADY PRESENT
					
*	udílený	udělení	A-ý --> N-í	CHANGE: í -> ě	
*	udílet	udělení	V-et --> N-ení	CHANGE: í -> ě	
*	udělený	udělení	A-ý --> N-í		
					
*	vysoušený	vysušení	A-ý --> N-í	CHANGE: ou -> u	
*	vysoušet	vysušení	V-et --> N-ení	CHANGE: ou -> u	
*	vysušený	vysušení	A-ý --> N-í		
					
*	zaskočený	zaskučení	A-ý --> N-í	CHANGE: o -> u	
	zaskučet	zaskučení	V-et --> N-ení		LINK ALREADY PRESENT
					
*	chroupat	chrupání	V-at --> N-ání	CHANGE: ou -> u	
	chrupat	chrupání	V-at --> N-ání		
	chrupat	chrupání	V-at --> N-ání		LINK ALREADY PRESENT
					
