A-ký	V-nout		vlhnout
A-ý	V-nout		blbnout, slábnout
A-ý	V-ět		hladovět
A-ý	V-et		divočet
A-ský	z-V-štět		zlidštět
A-ský	z-V-štit		zlidštit
A-rý	o-V-řet		osiřet
A-ý	o-V-ět		oněmět
A-ý	z-V-ět		zlakomět, zlacinět
A-í	z-V-ět		zvulgárnět
A-ý	o-V-it		oslabit
A-ký	V-čit		vlhčit
A-ný	V-it		chladit
A-ý	V-it		tvrdit
A-í	z-V-it		zhudebnit
A-rý	u-V-řit		udobřit
A-rý	V-řit		ostřit
A-chý	V-šit		tišit
A-chý	z-V-šit		zjednodušit
A-ský	po-V-štit		popolštit
A-ý	z-V-it		znecitlivit
A-í	od-V-it		odcizit
A-ý	V-at		zelenat
