absolutno 	 absolut-n-o 	 absolut-no
absolventi 	 ab-solv-ent-i 	 absolventi
abychom 	 a-by-chom 	 abychom
achronisticky 	 a-chron-ist-ic-k-y 	 achronist-ick-y
adaptabilní 	 adapt-abil-n-í 	 adaptabiln-í
adresátů 	 adres-át-ů 	 adresát-ů
advokát 	 advok-át 	 advokát
aeromagneticky 	 aero-magnet-ic-k-y 	 aeromagneticky
agovávat 	 agov-á-v-a-t 	 agová-v-a-t
akceptovat 	 akcept-ova-t 	 akcept-ovat
aktivitami 	 akt-iv-it-ami 	 aktiv-itami
aktovce 	 akt-ov-c-e 	 akt-ovc-e
aktuálního 	 akt-uál-n-ího 	 aktuálního
albigenský 	 albigen-sk-ý 	 albigensk-ý
aloise 	 alois-e 	 aloise
amerikanismem 	 amerik-an-ism-e-m 	 amerik-anismem
amerikánská 	 amerik-án-sk-á 	 amerik-ánsk-á
američanům 	 američ-an-ům 	 američan-ům
amplifikovat 	 ampli-fik-ova-t 	 amplifik-ovat
anatólii 	 anatól-i-i 	 anatólii
anglii 	 angl-i-i 	 angl-ii
anglosaskou 	 angl-o-sas-k-ou 	 anglosaskou
antala 	 antal-a 	 anta-l-a
anthony 	 anthony 	 anthon-y
anticipovat 	 anti-cip-ova-t 	 anticipovat
antidatujeme 	 anti-dat-uje-me 	 antidat-ujeme
architektury 	 archi-tekt-ur-y 	 architektury
arcilotras 	 arci-lotr-as 	 arcilotras
argentiny 	 argentin-y 	 argentiny
aristokratismu 	 aristo-krat-ism-u 	 aristokratismu
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 atamanem
austrálie 	 austrál-i-e 	 austrálie
autobazar 	 aut-o-bazar 	 autobazar
automobilka 	 automobil-k-a 	 aut-o-mobilka
autorská 	 autor-sk-á 	 autorsk-á
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bafnout 	 baf-nou-t 	 baf-nout
bakalářském 	 bakalář-sk-ém 	 bakalářském
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
balgarův 	 balgar-ův 	 balgarův
balit 	 bal-i-t 	 bali-t
bankovek 	 bank-ovek 	 bankovek
bankovním 	 bank-ovn-ím 	 bank-ov-n-ím
barikádovat 	 barik-ád-ova-t 	 barikád-ovat
bartoch 	 bartoch 	 bart-och
basovat 	 bas-ova-t 	 bas-ovat
batňovic 	 batňovic 	 bat-ň-ovic
bekem 	 bekem 	 bek-em
benediktýnů 	 benedikt-ýn-ů 	 benediktýnů
benzylchorid 	 benz-yl-chor-id 	 benzylchorid
beranit 	 beran-i-t 	 beran-it
berehovsky 	 bereh-ov-sk-y 	 berehovsk-y
bezesných 	 beze-sn-ých 	 bezesných
bezpečný 	 bezpeč-n-ý 	 bez-peč-n-ý
bezpředpokladová 	 bez-před-po-klad-ov-á 	 bez-před-pokladová
bečce 	 beč-c-e 	 bečc-e
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
biřmovat 	 biřm-ova-t 	 biřm-ovat
blahopřejeme 	 blah-o-pře-je-me 	 blahopřejeme
blechu 	 blech-u 	 blechu
blekotat 	 blek-ot-a-t 	 blekota-t
bloku 	 blok-u 	 bloku
blouznit 	 blouzn-i-t 	 blouz-ni-t
bludišti 	 blud-išt-i 	 blud-išti
bobek 	 bob-ek 	 bobek
bodiny 	 bod-in-y 	 bodin-y
bolení 	 bol-e-n-í 	 bol-en-í
bolest 	 bol-est 	 bolest
