absolventi 	 ab-solv-ent-i 	 absol-vent-i
abychom 	 a-by-chom 	 abychom
adami 	 adami 	 ad-ami
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
advokát 	 advok-át 	 advok-á-t
aeromagneticky 	 aero-magnet-ic-k-y 	 aeromagnet-ic-k-y
aktivitami 	 akt-iv-it-ami 	 aktiv-it-ami
aktuálního 	 akt-uál-n-ího 	 aktu-ál-n-ího
albigenský 	 albigen-sk-ý 	 albig-en-sk-ý
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
anglosaskou 	 angl-o-sas-k-ou 	 angl-o-sask-ou
antala 	 antal-a 	 ant-a-l-a
anthony 	 anthony 	 anthon-y
anticipovat 	 anti-cip-ova-t 	 anticip-ova-t
architektury 	 archi-tekt-ur-y 	 architekt-ur-y
arcilotras 	 arci-lotr-as 	 arcilotras
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
asistovat 	 asist-ova-t 	 a-sist-ova-t
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atle-t
autobazar 	 aut-o-bazar 	 auto-bazar
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
babulakův 	 babulak-ův 	 babul-ak-ův
bakalářském 	 bakalář-sk-ém 	 bakal-ář-sk-ém
bankovek 	 bank-ovek 	 bank-ov-ek
bankovním 	 bank-ovn-ím 	 bank-ov-n-ím
bartoch 	 bartoch 	 bart-och
batňovic 	 batňovic 	 batň-ovic
bekem 	 bekem 	 bek-em
benzylchorid 	 benz-yl-chor-id 	 benzylchor-id
bezesných 	 beze-sn-ých 	 bezes-n-ých
bezpečný 	 bezpeč-n-ý 	 bez-peč-n-ý
bezpředpokladová 	 bez-před-po-klad-ov-á 	 bezp-ředpoklad-o-v-á
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blahopř-eje-me
bludišti 	 blud-išt-i 	 blud-išti
bobek 	 bob-ek 	 bobek
bolení 	 bol-e-n-í 	 bol-en-í
bolest 	 bol-est 	 bolest
bolívie 	 bolív-i-e 	 bol-ív-i-e
brankář 	 bran-k-ář 	 brank-ář
brummellův 	 brummell-ův 	 brum-mell-ův
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
byla 	 by-l-a 	 byl-a
bytu 	 by-t-u 	 byt-u
bytě 	 by-t-ě 	 byt-ě
byznys 	 byznys 	 byz-nys
bázlivá 	 bá-z-l-iv-á 	 báz-l-iv-á
běláskové 	 běl-ás-k-ové 	 bělásk-ov-é
běžně 	 běž-ně 	 běž-n-ě
bříško 	 bříš-k-o 	 bříšk-o
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-vot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chtěli 	 cht-ě-l-i 	 chtě-l-i
chvalořečit 	 chval-o-řeč-i-t 	 chval-ořeč-i-t
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cimrmanovština 	 cimrman-ov-št-in-a 	 cimrman-ovšt-in-a
cizince 	 ciz-in-c-e 	 ciz-inc-e
colubrina 	 colubrin-a 	 colubr-in-a
cos 	 c-o-s 	 cos
ctihodnými 	 ct-i-hod-n-ý-m-i 	 cti-hod-n-ými
cácorka 	 các-or-k-a 	 cácor-k-a
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktyl-osk-op-i-e
dali 	 d-a-l-i 	 da-l-i
daly 	 d-a-l-y 	 dal-y
danost 	 d-a-n-ost 	 dan-ost
dané 	 d-a-n-é 	 dan-é
deklarována 	 de-klar-ová-n-a 	 deklar-ová-n-a
deklarováno 	 de-klar-ová-n-o 	 deklar-ová-n-o
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
dem 	 dem 	 d-em
demoralizovat 	 de-moral-iz-ova-t 	 demoral-iz-ova-t
denním 	 den-n-í-m 	 den-n-ím
desíti 	 desít-i 	 desí-ti
devět 	 devět 	 de-v-ě-t
dezinfikovat 	 dez-infik-ova-t 	 dezin-fik-ova-t
dezorganizovat 	 dez-organ-iz-ova-t 	 dezorgan-iz-ova-t
diavolo 	 diavolo 	 diavol-o
diskreditovat 	 dis-kred-it-ova-t 	 dis-kredit-ova-t
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dkp
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobrod-in-í
dobrozdání 	 dobr-o-zd-á-n-í 	 do-brozd-á-n-í
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dodacích 	 do-d-a-c-ích 	 do-d-ac-ích
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dosvědčíme 	 do-s-věd-č-í-me 	 do-svěd-č-í-me
dovnitř 	 do-v-nitř 	 do-v-n-itř
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dočtete 	 do-čt-e-te 	 do-čte-te
drožkář 	 drožk-ář 	 drož-k-ář
druhém 	 druh-é-m 	 druh-ém
durajková 	 durajk-ov-á 	 duraj-k-ov-á
dveřích 	 dveř-í-ch 	 dveř-ích
dvojit 	 dvoj-i-t 	 dv-oj-i-t
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-oustr-an-ě
dává 	 d-á-v-á 	 dáv-á
dávána 	 d-á-v-á-n-a 	 dá-v-á-n-a
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomové 	 eko-nom-ov-é 	 ekonom-ov-é
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
expansion 	 expansion 	 expan-sion
experimentaci 	 experi-ment-ac-i 	 experiment-ac-i
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 faktur-y
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
fastfood 	 fast-food 	 fastfood
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
formát 	 form-át 	 form-á-t
fosforeskovat 	 fosfor-esk-ova-t 	 fos-for-esk-ova-t
fošen 	 fošen 	 foš-en
franciska 	 francisk-a 	 franc-isk-a
francisku 	 francisk-u 	 franc-isk-u
francouzsky 	 franc-ouz-sk-y 	 francouz-sk-y
francouzského 	 franc-ouz-sk-ého 	 francouz-sk-ého
frotýrovat 	 frot-ýr-ova-t 	 frotýr-ova-t
ft 	 f-t 	 ft
fólie 	 fóli-e 	 fól-i-e
gastronomie 	 gastr-o-nom-i-e 	 gastronom-i-e
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
graessneriji 	 graessneriji 	 graessner-iji
greenwalda 	 green-wald-a 	 greenwald-a
greenwaldovi 	 green-wald-ovi 	 greenwald-ovi
haló 	 haló 	 hal-ó
hejkavec 	 hejkavec 	 hejk-av-ec
hematologického 	 hemat-o-log-ick-ého 	 hemat-o-log-ic-k-ého
hladověli 	 hlad-ov-ě-l-i 	 hlad-ově-l-i
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnedle 	 hned-le 	 hnedl-e
hnutí 	 h-nu-t-í 	 hnu-t-í
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodinou 	 hodin-ou 	 hod-in-ou
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holandsku 	 holand-sk-u 	 holandsk-u
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horol-ez-c-i
horoucně 	 hor-ou-c-n-ě 	 horouc-n-ě
horálek 	 horálek 	 horál-ek
hra 	 hr-a 	 hra
hroznou 	 hrozn-ou 	 hroz-n-ou
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hudeb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
hřbitov 	 hřbitov 	 hřbit-ov
identifikační 	 identi-fik-ač-n-í 	 identifik-ač-n-í
imigraci 	 i-migr-ac-i 	 imigr-ac-i
imunoenzymatický 	 imun-o-enzym-at-ick-ý 	 imun-o-enzym-at-ic-k-ý
indikátorem 	 in-dik-át-or-em 	 indik-át-or-em
inovace 	 inov-ace 	 inov-ac-e
inspektor 	 in-spekt-or 	 inspektor
instrumentů 	 instru-ment-ů 	 in-strument-ů
invalidní 	 in-valid-n-í 	 invalid-n-í
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
irkutsku 	 irkutsk-u 	 irkut-sk-u
ivančic 	 ivan-č-ic 	 ivanč-ic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jakob-y
jakoupak 	 jak-ou-pak 	 jak-oupak
jakého 	 jak-é-ho 	 jak-ého
jakéhokoliv 	 jak-é-ho-koliv 	 jak-éhokoliv
jakže 	 jak-že 	 jakže
janků 	 jan-k-ů 	 jank-ů
javelin 	 javelin 	 javel-in
jazejček 	 jazejč-ek 	 jaz-ejč-ek
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednom 	 jedn-o-m 	 jedn-om
jednomotorových 	 jedn-o-motor-ov-ých 	 jedno-motor-ov-ých
jednomu 	 jedn-o-mu 	 jedn-omu
jednorázové 	 jedn-o-ráz-ov-é 	 jedn-oráz-ov-é
jejích 	 je-j-í-ch 	 jej-ích
jela 	 je-l-a 	 jel-a
jenjen 	 jen-jen 	 jenjen
jenže 	 jen-že 	 jenže
jeskyni 	 jeskyn-i 	 jesk-yn-i
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 jim-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jinon-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
juránkův 	 jur-ánk-ův 	 jur-án-k-ův
jídlo 	 jí-dl-o 	 jídl-o
kadidlo 	 kad-i-dl-o 	 kadidl-o
kalkulovat 	 kalk-ul-ova-t 	 kalkul-ova-t
kamera 	 kamera 	 kamer-a
kapesníček 	 kapes-níč-ek 	 kapes-n-íč-ek
kapitální 	 kapitál-n-í 	 kapit-ál-n-í
kapitána 	 kapitán-a 	 kapit-án-a
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kdovíkd-o
kg 	 k-g 	 kg
klasifikaci 	 klasi-fik-ac-i 	 klasifik-ac-i
kliniky 	 klinik-y 	 klin-ik-y
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-e-te
kocouří 	 koc-ouř-í 	 kocouř-í
koho 	 k-o-ho 	 koho
koleno 	 kolen-o 	 kol-en-o
kompetence 	 kompetenc-e 	 kompet-enc-e
komu 	 k-o-mu 	 kom-u
koncertem 	 koncert-em 	 kon-cert-em
koncertní 	 koncert-n-í 	 kon-cert-n-í
koncipováním 	 kon-cip-ová-n-ím 	 koncip-ová-n-ím
kondenzátor 	 kondenz-átor 	 kondenzátor
konkretizovat 	 kon-kret-iz-ova-t 	 konkret-iz-ova-t
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontaminovat 	 kon-tamin-ova-t 	 kontamin-ova-t
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraind-ik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontrolovaná 	 kontrol-ova-n-á 	 kon-trol-ova-n-á
konvenovat 	 konven-ova-t 	 kon-ven-ova-t
konviktem 	 kon-vikt-e-m 	 kon-vikt-em
konírny 	 kon-ír-n-y 	 kon-írn-y
korespondenčními 	 ko-re-spond-enč-n-ími 	 ko-respond-enč-n-ími
kosmického 	 kosm-ic-k-é-ho 	 kosm-ic-k-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
kostýmy 	 kostým-y 	 kost-ým-y
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
kožiše 	 kož-iš-e 	 kožiš-e
krakově 	 krakov-ě 	 krak-ov-ě
kristapána 	 krist-a-pán-a 	 kristap-án-a
krumlesco 	 krumlesco 	 krumlesc-o
krumlova 	 krumlov-a 	 kruml-ov-a
krytý 	 kry-t-ý 	 kryt-ý
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kyčel 	 kyčel 	 kyč-e-l
křestním 	 křest-n-í-m 	 křest-n-ím
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kůzlátek 	 kůzl-át-ek 	 kůzlát-ek
lavina 	 lav-in-a 	 lavin-a
lavírovat 	 lav-ír-ova-t 	 lavír-ova-t
lecčems 	 lec-č-e-m-s 	 lec-č-ems
ledna 	 led-n-a 	 ledn-a
lehkým 	 leh-k-ý-m 	 leh-k-ým
letadlech 	 let-a-dl-ech 	 let-adl-ech
letošní 	 letoš-n-í 	 let-oš-n-í
lidem 	 lid-e-m 	 lid-em
ligni 	 ligni 	 lign-i
limit 	 limit 	 lim-i-t
linkovat 	 lin-k-ova-t 	 link-ova-t
londýně 	 londýn-ě 	 lon-dýn-ě
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
loupežníkovi 	 loup-ež-n-ík-ovi 	 loupež-n-ík-ovi
loupežníku 	 loup-ež-n-ík-u 	 loupež-ník-u
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lázní 	 lázn-í 	 láz-n-í
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
maiden 	 maid-en 	 maiden
majíce 	 m-aj-íc-e 	 maj-íc-e
makrokonvertor 	 makro-kon-ver-t-or 	 makro-konver-tor
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
mamlasovi 	 maml-as-ovi 	 mamlas-ovi
manager 	 manag-er 	 manager
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
marrackův 	 marrack-ův 	 marrac-k-ův
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ick-ých
metafyziku 	 meta-fyz-ik-u 	 metafyzik-u
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezit-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mezku 	 mezk-u 	 mez-k-u
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorgan-ism-y
milionů 	 mili-on-ů 	 milion-ů
milostpane 	 mil-ost-pan-e 	 mil-ostp-ane
mimoškolními 	 mimo-škol-n-ími 	 mimo-š-kol-n-ími
minulý 	 min-ul-ý 	 minu-l-ý
