absolventi 	 ab-solv-ent-i 	 absolv-ent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
aktivitami 	 akt-iv-it-ami 	 akt-ivit-ami
albigenský 	 albigen-sk-ý 	 albig-en-sk-ý
aloise 	 alois-e 	 aloise
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
anatólii 	 anatól-i-i 	 ana-tól-i-i
antala 	 antal-a 	 anta-l-a
architektury 	 archi-tekt-ur-y 	 architekt-ur-y
argaláš 	 argaláš 	 argalá-š
argentiny 	 argentin-y 	 argent-in-y
aristokratismu 	 aristo-krat-ism-u 	 aris-to-krat-ism-u
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
autorská 	 autor-sk-á 	 aut-or-sk-á
avšak 	 a-však 	 avš-ak
babičku 	 bab-ič-k-u 	 bab-ičk-u
bankovním 	 bank-ovn-ím 	 bank-ovn-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
bekem 	 bekem 	 bek-em
bezesných 	 beze-sn-ých 	 bezesn-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
božínku 	 bož-ín-k-u 	 bož-ínk-u
brummellův 	 brummell-ův 	 brum-mell-ův
budiáf 	 budiáf 	 bud-iáf
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
bázlivá 	 bá-z-l-iv-á 	 báz-l-iv-á
bývávaly 	 bý-v-á-v-a-l-y 	 bý-v-á-va-l-y
běláskové 	 běl-ás-k-ové 	 běl-ásk-ové
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ové
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-ž-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chudší 	 chud-š-í 	 chud-ší
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
citlivostí 	 cit-l-iv-ost-í 	 cit-liv-ost-í
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktyloskop-i-e
dané 	 d-a-n-é 	 da-n-é
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
delonovsky 	 delon-ov-sk-y 	 de-lon-ov-sk-y
devizové 	 deviz-ov-é 	 de-viz-ov-é
disciplíny 	 disciplín-y 	 dis-cipl-ín-y
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
divocí 	 div-oc-í 	 div-o-cí
divoši 	 div-oš-i 	 div-oši
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobr-o-d-in-í
dobytek 	 do-byt-ek 	 do-by-t-ek
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dolnolužický 	 doln-o-luž-ick-ý 	 dol-n-oluž-ick-ý
dotazníky 	 do-taz-ník-y 	 do-taz-n-ík-y
dozvíte 	 do-z-v-í-te 	 do-zví-te
drožkář 	 drožk-ář 	 drož-k-ář
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-str-a-n-ě
dynamická 	 dynam-ic-k-á 	 dyna-mic-k-á
dynamika 	 dynam-ik-a 	 dyna-mik-a
dálkové 	 dál-k-ov-é 	 dál-k-ové
dívají 	 dív-aj-í 	 dív-ají
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dělení 	 děl-en-í 	 děl-e-n-í
děti 	 dět-i 	 děti
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
důchod 	 dů-chod 	 důchod
ekonomové 	 eko-nom-ov-é 	 eko-nom-ové
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 epo-ch-a
faktorů 	 fakt-or-ů 	 faktor-ů
faktury 	 fakt-ur-y 	 faktur-y
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finesami 	 fines-ami 	 finesami
finálním 	 fin-ál-n-ím 	 fináln-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fosforeskovat 	 fosfor-esk-ova-t 	 fosforesk-ova-t
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
fólie 	 fóli-e 	 fól-i-e
generace 	 gener-ac-e 	 generac-e
generál 	 gener-ál 	 generál
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessner-i-i
gurkhský 	 gurkh-sk-ý 	 gur-kh-sk-ý
haló 	 haló 	 hal-ó
hergot 	 hergot 	 her-got
hledám 	 hled-á-m 	 hled-ám
hlubší 	 hlub-š-í 	 hlub-ší
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodinou 	 hodin-ou 	 hod-in-ou
hodláte 	 hodl-á-te 	 hod-l-á-te
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holandsku 	 holand-sk-u 	 holandsk-u
holiči 	 hol-i-č-i 	 hol-iči
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
honkat 	 honk-a-t 	 hon-k-a-t
hra 	 hr-a 	 hra
hromková 	 hrom-k-ov-á 	 hromk-ov-á
hry 	 hr-y 	 hry
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
identifikační 	 identi-fik-ač-n-í 	 identi-fik-ačn-í
imigraci 	 i-migr-ac-i 	 imigr-ac-i
informačním 	 in-form-ač-n-ím 	 in-form-ač-n-í-m
inspektor 	 in-spekt-or 	 in-spektor
invalidní 	 in-valid-n-í 	 in-va-lid-n-í
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
ivančic 	 ivan-č-ic 	 ivanč-ic
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednoosý 	 jedn-o-os-ý 	 jedn-oosý
jednotlivina 	 jedn-ot-liv-in-a 	 jedn-ot-liv-ina
jedním 	 jedn-í-m 	 jedn-ím
jejích 	 je-j-í-ch 	 jej-ích
jeseníkách 	 jesen-ík-ách 	 jeseník-ách
jethro 	 jethro 	 jethr-o
jimž 	 j-i-m-ž 	 jim-ž
jindy 	 jin-d-y 	 jind-y
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jí-d-l-o
kanadském 	 kanad-sk-ém 	 kan-ad-sk-ém
kanadě 	 kanad-ě 	 kan-ad-ě
kapely 	 kapel-y 	 kape-l-y
kapesníček 	 kapes-níč-ek 	 kapes-níč-e-k
kapli 	 kapl-i 	 kap-l-i
kardašovy 	 kardašov-y 	 kardaš-ov-y
karlík 	 karl-ík 	 karlík
kavalírem 	 kaval-ír-e-m 	 kavalír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-o-víkd-o
kdož 	 kdo-ž 	 k-d-o-ž
kg 	 k-g 	 kg
klesne 	 kles-ne 	 kles-n-e
kliniky 	 klinik-y 	 klin-ik-y
kličku 	 klič-k-u 	 kličk-u
klášterem 	 klášter-e-m 	 klášter-em
knížete 	 kníž-et-e 	 kníž-ete
koho 	 k-o-ho 	 koho
kompetence 	 kompetenc-e 	 kompet-enc-e
komu 	 k-o-mu 	 k-omu
konceptem 	 koncept-em 	 kon-cept-em
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontil-it-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontraind-ik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontro-lor-ů
kontroloři 	 kontrol-oř-i 	 kontro-loř-i
konviktem 	 kon-vikt-e-m 	 kon-vikt-em
kopřivnická 	 kopřiv-n-ic-k-á 	 kopřivn-ic-k-á
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
kostní 	 kost-n-í 	 kost-ní
koupací 	 koup-ac-í 	 koup-a-c-í
koutcíc 	 kout-c-íc 	 kout-cíc
koňských 	 koň-sk-ý-ch 	 koň-ských
krumlesco 	 krumlesco 	 krumlesc-o
krytý 	 kry-t-ý 	 kryt-ý
krádeže 	 krád-ež-e 	 krád-eže
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kupující 	 kup-uj-íc-í 	 kup-ujíc-í
kuriozity 	 kurioz-it-y 	 kuriozit-y
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kůzlátek 	 kůzl-át-ek 	 kůzlát-ek
lecčems 	 lec-č-e-m-s 	 lec-č-ems
lehkým 	 leh-k-ý-m 	 leh-k-ým
letadel 	 let-a-del 	 let-a-de-l
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
