absolventi 	 ab-solv-ent-i 	 absol-v-ent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
antala 	 antal-a 	 anta-l-a
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
babulakův 	 babulak-ův 	 babul-ak-ův
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bania 	 bani-a 	 bania
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
budweiserová 	 budweiser-ov-á 	 bud-weiser-ov-á
bulletinu 	 bulletin-u 	 bullet-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-znys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celo-ži-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chcíplá 	 chcíp-l-á 	 chcípl-á
chutnání 	 chut-n-á-n-í 	 chut-ná-n-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dané 	 d-a-n-é 	 dan-é
degradovat 	 de-grad-ova-t 	 degrad-ova-t
deklarují 	 de-klar-uj-í 	 deklar-uj-í
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
devizové 	 deviz-ov-é 	 de-viz-ov-é
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dkp
dobrodiní 	 dobr-o-di-n-í 	 dobrod-in-í
docentů 	 docent-ů 	 do-cent-ů
dodacích 	 do-d-a-c-ích 	 do-da-c-ích
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dostavil 	 do-stav-i-l 	 do-sta-v-i-l
dosvědčíme 	 do-s-věd-č-í-me 	 do-svědč-í-me
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dočtete 	 do-čt-e-te 	 do-čte-te
druhém 	 druh-é-m 	 druh-ém
dubnové 	 dubn-ov-é 	 dubn-ové
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-násob-ek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-stra-n-ě
dynamická 	 dynam-ic-k-á 	 dynamic-k-á
dynamika 	 dynam-ik-a 	 dynamik-a
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
dřevěný 	 dřev-ě-n-ý 	 dřev-ěn-ý
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 epo-ch-a
expansion 	 expansion 	 ex-pans-ion
experimentaci 	 experi-ment-ac-i 	 experiment-ac-i
faktorů 	 fakt-or-ů 	 faktor-ů
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-í-m
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
gestikulovat 	 gestik-ul-ova-t 	 gestikul-ova-t
graessnerii 	 graessnerii 	 graessneri-i
haló 	 haló 	 hal-ó
hergot 	 hergot 	 her-got
hmotného 	 hmot-n-é-ho 	 hmot-n-ého
hnízdech 	 hnízd-e-ch 	 hnízd-ech
hochschule 	 hoch-schule 	 hochschul-e
hodnotím 	 hod-n-ot-í-m 	 hod-not-í-m
hodnotíte 	 hodn-ot-í-te 	 hod-n-ot-í-te
holandsku 	 holand-sk-u 	 holandsk-u
holiči 	 hol-i-č-i 	 hol-ič-i
holčičkou 	 hol-č-ič-k-ou 	 hol-č-ičk-ou
horolezci 	 hor-o-lez-c-i 	 horolez-c-i
hra 	 hr-a 	 hra
hry 	 hr-y 	 hry
hudebníci 	 hud-eb-níc-i 	 hud-eb-n-íc-i
husími 	 hus-í-m-i 	 hus-ími
huti 	 hut-i 	 huti
hvězdičky 	 hvězd-ič-k-y 	 hvězd-ičk-y
imigraci 	 i-migr-ac-i 	 imigr-ac-i
indikátorem 	 in-dik-át-or-em 	 indikátor-em
inspektor 	 in-spekt-or 	 in-spek-tor
inzerátech 	 inzer-át-e-ch 	 inzerát-ech
inženýrském 	 inženýr-sk-ém 	 inžen-ýr-sk-ém
ivančic 	 ivan-č-ic 	 ivanč-ic
jaa 	 jaa 	 ja-a
jablíčko 	 jablíč-k-o 	 jabl-íčk-o
jakoby 	 jak-o-by 	 jak-ob-y
jakého 	 jak-é-ho 	 jak-ého
javelin 	 javelin 	 javel-in
jednak 	 jednak 	 jedn-ak
jednatelem 	 jedn-a-tel-e-m 	 jedn-a-tel-em
jednorázové 	 jedn-o-ráz-ov-é 	 jedn-oráz-ov-é
jednotlivými 	 jedn-ot-liv-ými 	 jedn-ot-l-iv-ými
jejích 	 je-j-í-ch 	 jej-ích
jimž 	 j-i-m-ž 	 j-im-ž
jindy 	 jin-d-y 	 jind-y
jinonice 	 jinonic-e 	 jin-on-ic-e
jmenují 	 jmen-u-j-í 	 jmen-uj-í
jídlo 	 jí-dl-o 	 jídl-o
kanady 	 kanad-y 	 kanady
kanadě 	 kanad-ě 	 kana-d-ě
kapli 	 kapl-i 	 kap-l-i
kavalírem 	 kaval-ír-e-m 	 kaval-ír-em
každému 	 každ-é-mu 	 každ-ému
kdovíkdo 	 kd-o-v-í-kd-o 	 kd-ovíkd-o
kdož 	 kdo-ž 	 kd-o-ž
klesly 	 kles-l-y 	 klesl-y
klesne 	 kles-ne 	 klesne
klášterem 	 klášter-e-m 	 klášter-em
kocouří 	 koc-ouř-í 	 kocouř-í
koho 	 k-o-ho 	 koho
kompetence 	 kompetenc-e 	 kompet-enc-e
komu 	 k-o-mu 	 k-omu
konkrétního 	 konkrét-n-ího 	 kon-krét-n-ího
konkrétnímu 	 kon-krét-n-í-mu 	 kon-krét-n-ímu
kontilití 	 konti-li-t-í 	 kontilit-í
kontraindikace 	 kontra-in-dik-ac-e 	 kontra-indik-ac-e
kontrolorů 	 kontrol-or-ů 	 kontrolor-ů
kontroloři 	 kontrol-oř-i 	 kontr-o-l-oř-i
konviktem 	 kon-vikt-e-m 	 konvikt-em
kosmického 	 kosm-ic-k-é-ho 	 kosm-ick-ého
kostička 	 kost-ič-k-a 	 kost-ičk-a
koupací 	 koup-ac-í 	 koup-a-c-í
koupete 	 koup-e-te 	 koup-et-e
koňských 	 koň-sk-ý-ch 	 koň-sk-ých
krakově 	 krakov-ě 	 krak-ově
krumlesco 	 krumlesco 	 kruml-esc-o
krumlova 	 krumlov-a 	 kruml-ov-a
krásným 	 krás-n-ý-m 	 krás-n-ým
kterého 	 kter-é-ho 	 kter-ého
kunovice 	 kun-ovic-e 	 kunov-ic-e
kuriozity 	 kurioz-it-y 	 kuriozit-y
křestním 	 křest-n-í-m 	 křestn-í-m
křivkami 	 křiv-k-a-m-i 	 křiv-k-ami
křídlem 	 kří-dl-e-m 	 křídl-em
kůzlátek 	 kůzl-át-ek 	 kůz-lát-ek
ledna 	 led-n-a 	 ledn-a
lehkým 	 leh-k-ý-m 	 leh-k-ým
lesním 	 les-n-ím 	 les-n-í-m
lhostejnět 	 lhostej-n-ě-t 	 lhostejn-ě-t
lidem 	 lid-e-m 	 lid-em
limit 	 limit 	 lim-i-t
loupežníkem 	 loup-ež-n-ík-e-m 	 loup-ež-n-ík-em
ltd 	 l-t-d 	 ltd
luděk 	 luděk 	 lud-ěk
lukách 	 luk-á-ch 	 luk-ách
lékařem 	 lék-ař-e-m 	 lék-ař-em
lékem 	 lék-e-m 	 lék-em
lékárnám 	 lék-ár-n-ám 	 lék-ár-n-á-m
maiden 	 maid-en 	 maiden
maličkosti 	 mal-ič-k-ost-i 	 mal-ičk-ost-i
maličký 	 mal-ič-k-ý 	 mal-ičk-ý
malkovského 	 malkovsk-ého 	 malk-ov-sk-ého
manager 	 manag-er 	 manager
manažerovi 	 manažer-ovi 	 manaž-er-ovi
manýrám 	 manýr-á-m 	 manýr-ám
mariánských 	 mari-án-sk-ých 	 marián-sk-ých
materialisty 	 mater-i-al-ist-y 	 materi-al-ist-y
materiálu 	 mater-i-ál-u 	 materi-ál-u
metafyzických 	 meta-fyz-ic-k-ý-ch 	 meta-fyz-ic-k-ých
metodologicky 	 metodo-log-ic-k-y 	 metod-o-log-ick-y
mezitím 	 mezi-t-ím 	 mezit-í-m
meziříčí 	 mezi-říč-í 	 meziř-íč-í
mečení 	 meč-e-n-í 	 meč-en-í
mikroorganismy 	 mikro-organ-ism-y 	 mikroorganism-y
mil 	 mil 	 mi-l
mimoškolními 	 mimo-škol-n-ími 	 mimo-š-kol-n-ími
minulý 	 min-ul-ý 	 mi-nu-l-ý
mladého 	 mlad-é-ho 	 mlad-ého
moderního 	 modern-í-ho 	 modern-ího
moje 	 moj-e 	 mo-je
monopolu 	 mon-o-pol-u 	 mono-pol-u
motorlet 	 motor-let 	 motorl-e-t
motorletu 	 motor-let-u 	 motorlet-u
možnostech 	 možn-ost-ech 	 mož-n-ost-ech
mužského 	 muž-sk-é-ho 	 muž-sk-ého
mésti 	 mést-i 	 més-ti
míli 	 míl-i 	 mí-l-i
mých 	 m-ý-ch 	 m-ých
měli 	 mě-l-i 	 m-ě-l-i
měřítka 	 měř-í-tk-a 	 měř-ít-k-a
měřítku 	 měř-í-tk-u 	 měř-ít-k-u
nabitý 	 na-bi-t-ý 	 na-bit-ý
nadindividuálního 	 nad-in-divid-u-ál-n-í-ho 	 nad-individ-u-ál-n-ího
nadějemi 	 na-děj-e-m-i 	 na-dějemi
nadřaděného 	 nad-řad-ěn-é-ho 	 nad-řad-ěn-ého
nadšení 	 na-dš-en-í 	 nad-šen-í
nadšením 	 na-dš-en-í-m 	 nad-šen-ím
najatí 	 na-j-a-t-í 	 na-j-at-í
namésti 	 na-mést-i 	 na-més-ti
nebrání 	 ne-brán-í 	 ne-br-á-n-í
nechtěj 	 ne-cht-ě-j 	 ne-chtě-j
nedaleko 	 ne-dal-ek-o 	 ne-da-l-ek-o
nedefinovatelné 	 ne-de-fin-ova-teln-é 	 nede-fin-ova-telné
nedávají 	 ne-d-á-v-aj-í 	 ned-á-vaj-í
negativními 	 negat-iv-n-ími 	 neg-at-iv-n-ími
nejaktivnější 	 nej-akt-iv-n-ějš-í 	 ne-jakt-iv-n-ěj-š-í
nejcitlivějším 	 nej-cit-liv-ějš-ím 	 nej-cit-l-iv-ěj-š-ím
nejdivočejší 	 nej-div-oč-ej-š-í 	 nej-div-oč-ejš-í
nejkrásnějších 	 nej-krás-n-ěj-š-í-ch 	 nej-krás-n-ěj-š-ích
nejpovolanějšímu 	 nej-po-vol-a-n-ějš-ímu 	 nej-po-volan-ějš-ímu
nejsladšího 	 nej-slad-š-í-ho 	 nej-slad-š-ího
nejvzdálenější 	 nej-vz-dál-e-n-ěj-š-í 	 nej-vz-dál-en-ějš-í
nejzřetelněji 	 nej-zř-e-tel-n-ěji 	 nej-zře-teln-ěji
nejčastějších 	 nej-čast-ěj-š-í-ch 	 nej-čast-ěj-š-ích
nekvete 	 ne-kvet-e 	 ne-kve-te
nemálo 	 ne-mál-o 	 ne-m-á-l-o
nepotřebujete 	 ne-po-třeb-u-j-e-te 	 ne-po-třeb-uje-te
neprodejným 	 ne-pro-dej-n-ým 	 ne-pro-dejn-ým
nepředepisují 	 ne-přede-pis-uj-í 	 ne-pře-depis-uj-í
nepředpokládám 	 ne-před-po-klád-á-m 	 ne-před-poklád-á-m
nereálný 	 ne-reál-n-ý 	 nereál-n-ý
neumožňuje 	 ne-u-možň-uje 	 ne-u-mož-ň-uje
nezaměstnanosti 	 ne-za-měst-n-an-ost-i 	 ne-za-měst-n-an-osti
nezapsané 	 ne-za-ps-a-n-é 	 ne-za-psa-n-é
nezačínej 	 ne-za-č-ín-ej 	 ne-za-čí-n-ej
neznámého 	 ne-zn-á-m-é-ho 	 ne-zn-á-m-ého
neztratitelnost 	 ne-z-trat-i-tel-n-ost 	 ne-z-trat-i-teln-ost
nitěných 	 nit-ěn-ý-ch 	 nit-ěn-ých
norem 	 norem 	 nor-em
nosem 	 nos-e-m 	 nos-em
novinám 	 nov-in-á-m 	 nov-in-ám
nula 	 nul-a 	 nu-l-a
nuly 	 nul-y 	 nu-l-y
nykláku 	 nyklák-u 	 ny-klák-u
nymburka 	 nymburk-a 	 nymbur-k-a
nábytek 	 ná-by-tek 	 ná-byt-ek
náramného 	 ná-ram-n-é-ho 	 ná-ram-n-ého
nás 	 n-á-s 	 nás
nějakém 	 ně-jak-é-m 	 ně-jak-ém
něm 	 n-ě-m 	 n-ěm
