absolventi 	 ab-solv-ent-i 	 abs-olvent-i
agnoston 	 agnoston 	 a-gnoston
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
arcilotras 	 arci-lotr-as 	 arci-lotras
argentiny 	 argentin-y 	 argent-in-y
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bankovním 	 bank-ovn-ím 	 bank-ov-n-í-m
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-přeje-me
bojíme 	 boj-í-me 	 bo-j-í-me
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
budoucím 	 bud-ouc-ím 	 bud-ou-c-ím
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-z-nys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celníky 	 cel-n-ík-y 	 cel-ník-y
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cenov-k-y
ceník 	 cen-ík 	 ceník
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-t-e
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
daktyloskopie 	 daktylo-skopi-e 	 daktyl-o-skop-i-e
dali 	 d-a-l-i 	 da-l-i
dana 	 dan-a 	 da-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
devizové 	 deviz-ov-é 	 de-viz-ov-é
diavolo 	 diavolo 	 diavol-o
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 dist-anč-n-í
dkp 	 d-k-p 	 dkp
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobrod-in-í
dobudovat 	 do-bud-ova-t 	 dobud-ova-t
dobytí 	 do-by-tí 	 do-by-t-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
dopřávat 	 do-přá-v-a-t 	 do-př-á-v-a-t
dosvědčíme 	 do-s-věd-č-í-me 	 do-svěd-č-í-me
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dočtete 	 do-čt-e-te 	 do-č-te-te
druhém 	 druh-é-m 	 druh-ém
duchovně 	 duch-ov-n-ě 	 duch-ovn-ě
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-n-á-sob-ek
dvojí 	 dv-oj-í 	 dvoj-í
dvouměsíční 	 dv-ou-měsíč-n-í 	 dvou-měsíč-n-í
dynamická 	 dynam-ic-k-á 	 dy-namic-k-á
dynamika 	 dynam-ik-a 	 dy-namik-a
dřeně 	 dřen-ě 	 dř-en-ě
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
ekologické 	 eko-log-ick-é 	 eko-log-ic-k-é
ekologického 	 eko-log-ick-ého 	 eko-log-ic-k-ého
ekonomové 	 eko-nom-ov-é 	 ekonom-ov-é
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
eva 	 ev-a 	 eva
expansion 	 expansion 	 ex-pan-s-ion
fanoušků 	 fan-oušk-ů 	 fanouš-k-ů
farmaceutické 	 farmac-eut-ick-é 	 farmaceut-ic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-ím
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
fyzický 	 fyz-ic-k-ý 	 fyzi-c-k-ý
