absolventi 	 ab-solv-ent-i 	 absolvent-i
adaptabilní 	 adapt-abil-n-í 	 adaptabil-n-í
adresátů 	 adres-át-ů 	 adresát-ů
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
anglii 	 angl-i-i 	 angl-ii
antala 	 antal-a 	 anta-l-a
architektury 	 archi-tekt-ur-y 	 architekt-ur-y
argaláš 	 argaláš 	 argal-áš
argentiny 	 argentin-y 	 argent-in-y
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
asistentů 	 asist-ent-ů 	 asistent-ů
atamanem 	 ataman-e-m 	 ataman-em
automobilka 	 automobil-k-a 	 auto-mobil-k-a
avšak 	 a-však 	 avšak
babičku 	 bab-ič-k-u 	 bab-ičk-u
balený 	 bal-en-ý 	 balen-ý
balených 	 bal-en-ých 	 balen-ých
bankovek 	 bank-ovek 	 bank-ov-ek
bezesných 	 beze-sn-ých 	 bezes-n-ých
bionaftu 	 bio-naft-u 	 bionaft-u
bionafty 	 bio-naft-y 	 bionaft-y
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-př-eje-me
bojíme 	 boj-í-me 	 bo-j-í-me
budova 	 bud-ova 	 bud-ov-a
byznys 	 byznys 	 by-z-nys
běžně 	 běž-ně 	 běž-n-ě
celkovou 	 cel-k-ov-ou 	 celk-ov-ou
celková 	 cel-k-ov-á 	 celk-ov-á
celkové 	 cel-k-ov-é 	 celk-ov-é
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-iv-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chvílích 	 chvíl-í-ch 	 chvíl-ích
cigarety 	 cigar-et-y 	 cigaret-y
cizince 	 ciz-in-c-e 	 ciz-inc-e
ctihodnými 	 ct-i-hod-n-ý-m-i 	 ct-i-hod-n-ými
cílem 	 cíl-e-m 	 cíl-em
dadat 	 dad-a-t 	 da-d-a-t
daktyloskopie 	 daktylo-skopi-e 	 daktylo-skop-i-e
dali 	 d-a-l-i 	 da-l-i
dana 	 dan-a 	 d-a-n-a
dané 	 d-a-n-é 	 dan-é
delikátnostem 	 delikát-n-ost-e-m 	 delikát-n-ost-em
denním 	 den-n-í-m 	 den-n-ím
devizové 	 deviz-ov-é 	 de-viz-ov-é
disciplíny 	 disciplín-y 	 dis-ciplín-y
distanční 	 dis-tanč-n-í 	 distanč-n-í
dkp 	 d-k-p 	 dkp
dober 	 do-ber 	 dober
dobrodiní 	 dobr-o-di-n-í 	 dobr-od-in-í
docentů 	 docent-ů 	 do-cent-ů
dokonalého 	 do-kon-a-l-é-ho 	 do-kon-a-l-ého
domáknout 	 do-mák-nou-t 	 dom-ák-nou-t
dotazníky 	 do-taz-ník-y 	 do-taz-n-ík-y
dozvíte 	 do-z-v-í-te 	 do-zv-í-te
dočtete 	 do-čt-e-te 	 do-čtet-e
druhém 	 druh-é-m 	 druh-ém
dveřích 	 dveř-í-ch 	 dveř-ích
dvojnásobek 	 dv-oj-ná-sob-ek 	 dvoj-ná-sob-ek
dvouměsíční 	 dv-ou-měsíč-n-í 	 dv-ou-měs-íč-n-í
dvoustraně 	 dv-ou-stran-ě 	 dv-ou-stra-n-ě
dědečkův 	 děd-eč-k-ův 	 děd-ečk-ův
děti 	 dět-i 	 děti
dřívějších 	 dřív-ějš-ích 	 dřív-ěj-š-ích
empirických 	 empir-ic-k-ý-ch 	 empir-ic-k-ých
epocha 	 epoch-a 	 epo-ch-a
expansion 	 expansion 	 expan-sion
fanoušků 	 fan-oušk-ů 	 fanoušk-ů
farmaceutické 	 farmac-eut-ick-é 	 farm-ac-eutic-k-é
filozofické 	 filo-zof-ic-k-é 	 fil-o-zof-ic-k-é
finálním 	 fin-ál-n-ím 	 finál-n-ím
fondem 	 fondem 	 fond-em
formosu 	 formos-u 	 form-os-u
