abbé 	 abb-é 	 ab-b-é
absolventi 	 ab-solv-ent-i 	 absolvent-i
abychom 	 a-by-chom 	 abychom
achronisticky 	 a-chron-ist-ic-k-y 	 a-chro-n-ist-ic-k-y
adresátů 	 adres-át-ů 	 adre-sát-ů
advokát 	 advok-át 	 adv-ok-á-t
agnoston 	 agnoston 	 a-gnost-on
agovávat 	 agov-á-v-a-t 	 ag-ová-v-a-t
akcií 	 akci-í 	 akc-i-í
aktuálního 	 akt-uál-n-ího 	 akt-u-ál-n-ího
alfou 	 alf-ou 	 alfou
amerikanismem 	 amerik-an-ism-e-m 	 amerik-an-ism-em
američanům 	 američ-an-ům 	 amer-ič-an-ům
anglosaskou 	 angl-o-sas-k-ou 	 angl-o-sa-sk-ou
aniž 	 aniž 	 an-iž
antala 	 antal-a 	 ant-a-l-a
anthony 	 anthony 	 anthon-y
anticipovat 	 anti-cip-ova-t 	 ant-icip-ova-t
antidatujeme 	 anti-dat-uje-me 	 ant-id-at-uje-me
architektury 	 archi-tekt-ur-y 	 arch-i-t-ekt-ur-y
arcilotras 	 arci-lotr-as 	 arc-il-o-tras
argentiny 	 argentin-y 	 argent-in-y
aristokratismu 	 aristo-krat-ism-u 	 arist-o-krat-ism-u
asekurovat 	 a-sekur-ova-t 	 asekur-ova-t
atamanem 	 ataman-e-m 	 ataman-em
atlet 	 atlet 	 atl-e-t
automobilka 	 automobil-k-a 	 aut-o-mob-il-k-a
avšak 	 a-však 	 avšak
badenu 	 baden-u 	 bad-en-u
bakalářském 	 bakalář-sk-ém 	 bakal-ář-sk-ém
balených 	 bal-en-ých 	 balen-ých
bania 	 bani-a 	 ban-i-a
bankovním 	 bank-ovn-ím 	 bank-ov-n-ím
barikádovat 	 barik-ád-ova-t 	 barikád-ova-t
barona 	 baron-a 	 bar-on-a
bartoch 	 bartoch 	 bart-och
batňovic 	 batňovic 	 bat-ň-ov-ic
bekem 	 bekem 	 bek-em
benediktýnů 	 benedikt-ýn-ů 	 bene-diktýn-ů
berehovsky 	 bereh-ov-sk-y 	 berehov-sk-y
betlémské 	 betlém-sk-é 	 bet-l-ém-sk-é
bezesných 	 beze-sn-ých 	 beze-s-n-ých
blahopřejeme 	 blah-o-pře-je-me 	 blah-o-př-e-je-me
bludišti 	 blud-išt-i 	 blud-iš-t-i
bolení 	 bol-e-n-í 	 bol-en-í
božínku 	 bož-ín-k-u 	 božín-k-u
brečeli 	 breč-e-l-i 	 bre-č-e-l-i
brožura 	 brožur-a 	 brož-ur-a
brummellův 	 brummell-ův 	 brum-mell-ův
budoucnosti 	 bud-ou-c-n-ost-i 	 bud-ouc-n-ost-i
budoucím 	 bud-ouc-ím 	 bud-ouc-í-m
budova 	 bud-ova 	 bud-ov-a
bulletinu 	 bulletin-u 	 bullet-in-u
bych 	 by-ch 	 bych
bytu 	 by-t-u 	 byt-u
byznys 	 byznys 	 by-z-n-ys
bázlivá 	 bá-z-l-iv-á 	 báz-l-iv-á
běláskové 	 běl-ás-k-ové 	 bělás-k-ov-é
běžně 	 běž-ně 	 běž-n-ě
castrogiovanni 	 castrogiovanni 	 castrogi-ovan-n-i
celoživotní 	 cel-o-ži-v-ot-n-í 	 celož-i-v-ot-n-í
cenovky 	 cen-ovk-y 	 cen-ov-k-y
cephalocereus 	 cephalocereus 	 ceph-alocere-us
cestující 	 cest-uj-í-c-í 	 cest-uj-íc-í
chcete 	 chc-e-te 	 chce-te
chcíplá 	 chcíp-l-á 	 chcí-p-l-á
chovají 	 chov-aj-í 	 chovaj-í
