rank	lemma	freq	ipm	derivational family	deriavational family 2	root of DeriNet tree id	root from DeriNet	slovesná třída	vzor	prefix 4	prefix 3	prefix 2	prefix 1	foreign prefix 2	foreign prefix 1	odprefixované slovo	prefix-Jarka souhlasí se Slavíčkovou	morph segm Slavickova	morph segm DeriNet	morph segm FlatCat	ammel	foreign	odprefigované sloveso segmentované	bez KS	bez iterativních S	kandidát na kořen	derivační S	derivační S 2	derivační S 3	iterativní S	iterativní S 2	iterativní S 3	iterativní S 4	KS	number of frames	Derinet parent	note	compos 1	interfix	prefix 3	prefix 2	prefix	suffix	compos 2	comb form 1	comb form 2
1	být	3417944	28268796	být		být#V???---??-??I??	(bý)t	3	kryje							býti	Y	bý t	b ý t	bý t	týb	0	bý t	bý	bý	bý									20	None										
2	mít	635661	5257363	mít		mít#V???---??-??I??		5	dělá							míti	Y	m í t	mí t	mít	tím	0	m í t	m	m	m								í	23	None										
3	moci	332012	2745972	moci		moci#V???---??-??I??		1	peče							moci	Y	moc i	m o ci	moc i	icom	0	moc i	moc	moc	moc									2	None										
4	muset	164585	1361233	muset		muset#V???---??-??I??		4	trpí							museti	Y	mus e t	mus e t	mus e t	tesum	0	mus e t	mus	mus	mus								e	2	None										
5	říci	156302	1292727	říct		říct#Vf--------A----	(říc)i	2	tiskne							říci	Y	říc i	ří ci	říc i	icíř	0	říc i	říc	říc	říc									10	říct#Vf--------A----										
6	chtít	144422	1194471	chtít		chtít#V????--??-??I??	(cht)ít	1	tře							chtíti	Y	cht í t	chtí t	cht í t	títhc	0	cht í t	cht	cht	cht								í	5	None										
7	jít	124064	1026096	jít		jít#V???---??-??I??	(jí)t	1	nese							jíti	Y	jí t	j í t	jí t	tíj	0	jí t	jí	jí	jí									16	None										
8	stát	109076	902135	stát		stát#V???---??-??I??		3#2	začne#kryje							státi	Y	stá t	stá t	stá t	táts	0	stá t	stá	stá	stá																				
9	vědět	94822	784244	vědět		vědět#V????--??-??I??	(věd)ět	4	trpí							věděti	Y	věd ě t	vě d ě t	věd ě t	těděv	0	věd ě t	věd	věd	věd								ě	3	None										
10	dát	91262	754801	dát		dát#V????--??-??P??		5	dělá							dáti	Y	dá t	d á t	d á t	tád	0	dá t	dá	dá	dá									35											
11	začít	75149	621535	začít		začít#V????--??-??P??		3#2	začne#kryje				za			číti	Y	za č í t	začí t	za čít	tíčaz	0	č í t	č	č	č								í	5											
12	dostat	69685	576344	stát		stát#V???---??-??I??		2	začne				do			stati	Y	do sta t	dosta t	do sta t	tatsod	0	sta t	sta	sta	sta									19	stát#NNI??-----?---?										
