depth	word	etymology
2	abnormální	['něm.', ' lat.']
2	abstinent	['lat.']
3	agnosticismus	['ř.', ' ř.']
2	agregát	['lat.', ' lat.']
2	amazonka	['lat.', ' ř.', ' šp.']
2	andulka	['lat.']
2	antikoncepce	['lat.']
2	apatyka	['něm.', ' střlat.', ' lat.', ' ř.']
2	archaismus	['něm.', ' střlat.', ' ř.']
2	architekt	['něm.', ' lat.', ' ř.']
2	asistent	['lat.']
2	ateismus	['ř.']
2	atestace	['lat.']
2	autochtonní	['ř.']
2	bagatelizovat	['č.', ' fr.', ' it.', ' lat.']
2	bandita	['it.', ' germ.', ' něm.', ' stfr.']
2	bandurská	['maď.']
2	barborka	['ř.']
2	barvínek	['něm.', ' lat.']
2	báseň	['luž.', ' r.', ' stsl.', ' psl.']
2	beduín	['fr.', ' ar.']
2	berně	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' arm.', ' av.', ' sti.', ' ie.', ' slov.']
3	berně	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' arm.', ' av.', ' sti.', ' ie.', ' slov.']
2	bílkovina	['všesl.', ' p.', ' r.', ' ch.', ' stsl.', ' psl.', ' kelt.', ' ř.', ' lit.', ' ie.']
2	bláhový	['č.']
3	blažený	['lat.', ' ř.', ' p.', ' stsl.', ' vsl.', ' psl.', ' lot.', ' lat.', ' sti.', ' ie.', ' av.']
2	bod	['č.', ' slk.', ' pozdnělat.', ' lat.']
2	borovice	['všesl.', ' p.', ' r.', ' psl.', ' germ.', ' stangl.', ' stisl.', ' ie.']
2	botulismus	['lat.']
2	brčko	['č.', ' slk.', ' sln.', ' psl.', ' ie.']
2	buřič	['všesl.', ' p.', ' stsl.', ' psl.', ' lot.', ' nor.', ' stir.', ' lat.']
2	buzerant	['něm.', ' severoit.', ' pozdnělat.']
2	certifikát	['střlat.', ' lat.']
2	ctít	['stč.', ' psl.']
2	čabajka	['maď.']
2	čedič	['všesl.', ' p.', ' r.', ' sln.']
2	čekanka	['lat.', ' něm.']
2	čerchovaný	['stč.']
2	černobýl	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stpr.', ' sti.', ' ie.']
2	černokněžník	['č.', ' slk.', ' p.', ' č.', ' něm.', ' střlat.', ' ř.']
3	čest	['stč.']
2	čpavek	['stč.']
2	čuchat	['stč.']
2	dabing	['angl.']
3	deformace	['lat.', ' angl.']
2	degradovat	['pozdnělat.']
2	dehydratace	['ř.']
2	delimitovat	['střlat.', ' lat.']
2	demaskovat	['fr.']
2	designovat	['lat.']
2	dešifrovat	['fr.']
2	děvka	['stč.']
2	dezinformace	['fr.']
2	dezintegrace	['fr.']
2	dezorientovat	['fr.']
2	diákon	['střhn.', ' lat.', ' ř.', ' č.']
2	diskreditovat	['fr.']
2	dišputát	['lat.']
2	dobrodiní	['stč.', ' všesl.', ' p.', ' r.', ' ch.', ' stsl.', ' psl.', ' lit.', ' něm.', ' angl.', ' lat.', ' ř.', ' sti.', ' ie.']
2	dobytek	['všesl.', ' p.', ' str.', ' b.', ' psl.', ' č.', ' slk.', ' mak.', ' lat.']
4	doličný	['č.']
2	dolomit	['fr.']
2	dolomit	['fr.']
2	dospělý	['č.', ' stč.']
3	dospělý	['č.', ' stč.']
2	dramaturg	['něm.', ' střlat.', ' ř.', 'lat.']
2	drkotat	['všesl.', ' p.', ' r.', ' psl.', ' lit.', ' stangl.', ' něm.', 'č.', ' slk.', ' sln.', ' vsl.', ' ie.', ' slov.']
2	drogerie	['něm.', ' fr.']
2	drůbky	['p.', ' sln.', ' vsl.']
2	druh	['č.']
2	duplikát	['něm.', ' lat.']
2	důstojný	['všesl.', ' psl.']
2	důtka	['všesl.', ' psl.', ' ie.', ' něm.', ' angl.', ' ř.', 'stč.', ' p.', ' r.', ' csl.', ' lot.', ' sthn.']
3	důtky	['č.']
2	dynamický	['něm.', ' fr.', ' ř.']
2	dysfunkce	['ř.']
2	efemérní	['něm.', ' ř.']
2	egoismus	['fr.', ' lat.']
3	ekumenismus	['střlat.', ' ř.']
3	emigrant	['něm.', ' lat.']
3	erotický	['fr.', ' ř.']
2	estét	['fr.']
2	etnický	['ř.']
2	etyl	['lat.', ' ř.', 'něm.', ' fr.']
2	explikace	['lat.']
2	expresionismus	['fr.', ' lat.']
2	extenzivní	['lat.']
2	fantaz	['fr.', ' ř.']
2	fanynka	['angl.']
2	fekálie	['něm.', ' fr.', ' lat.']
2	feudalismus	['něm.', ' střlat.', ' germ.']
2	figurína	['it.']
2	formalita	['střlat.', ' lat.']
2	formulář	['lat.']
2	garance	['něm.', ' fr.', ' stfr.', ' germ.', ' něm.']
2	generální	['lat.']
3	germanismus	['germ.']
2	gotika	['pozdnělat.', ' germ.', ' it.', ' fr.', ' angl.']
2	gradace	['lat.']
2	grafém	['ř.', ' it.']
2	háčkovat	['něm.']
2	hbitý	['č.', ' r.', ' psl.']
2	hegemonie	['ř.']
2	hlomozit	['stč.', ' stč.']
2	hoblík	['něm.']
2	hokuspokus	['něm.', ' střlat.']
2	honorace	['něm.', ' lat.']
2	honorář	['lat.']
2	houfnice	['stč.', ' něm.']
2	hovězí	['psl.']
2	hřebíček	['stč.']
2	chůdy	['stč.']
2	imigrace	['lat.']
2	impresionismus	['fr.', ' lat.']
3	indispozice	['lat.']
2	infiltrovat	['střlat.', ' lat.']
2	infúze	['lat.']
2	iniciála	['lat.', ' lat.']
2	internacionální	['fr.']
2	internát	['něm.', ' fr.', ' lat.']
3	intoxikace	['střlat.', ' lat.']
2	iracionální	['pozdnělat.']
2	irelevantní	['lat.', ' něm.', ' ř.']
2	izomorfní	['ř.']
2	jazz	['am.-angl.', ' angl.']
2	jedle	['stč.', ' všesl.', ' p.', ' r.', ' psl.', ' balt.', ' stpr.', ' lit.', ' lot.', ' lat.', ' ie.']
2	jeřábek	['p.', ' r.', ' psl.', ' lot.', ' něm.', ' slk.', ' p.', ' stsl.', ' stpr.', ' gót.', ' arm.', ' ie.']
2	jezulátko	['střlat.']
3	ježíšek	['lat.', ' ř.', ' hebr.']
2	jízda	['psl.']
2	kálet	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' ř.', ' lat.']
2	kaňka	['r.', ' stsl.', ' psl.', ' č.', 'všesl.', ' slk.', ' p.', ' r.']
2	kašpárek	['něm.']
3	klasicismus	['něm.', ' fr.', ' lat.']
3	klekánice	['p.', ' stsl.', ' vsl.', ' psl.', ' lit.', ' lot.', ' něm.', ' lat.', ' ie.']
2	klestí	['p.', ' sln.', ' stsl.', ' psl.', ' lit.', ' sti.', ' ie.']
2	klimakterium	['ř.', ' ř.']
2	koedukace	['střlat.', ' lat.']
2	koexistence	['lat.']
2	kolaborovat	['lat.', ' fr.']
2	kombinačky	['lat.']
2	kombinát	['r.', ' lat.']
2	komický	['lat.', ' ř.']
2	komunismus	['něm.', ' lat.']
2	končetina	['stč.']
2	končina	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
3	kónický	['fr.', ' lat.', ' ř.']
2	koníček	['něm.']
2	koníček	['něm.']
2	kontingent	['něm.', ' fr.', ' lat.']
2	konzervatoř	['it.']
3	koprodukce	['angl.', ' lat.']
2	kornatět	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stisl.', ' lat.', ' alb.', ' arm.', ' ie.']
2	kosatec	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lat.', ' střir.', ' ř.', ' sti.', ' ie.', ' slov.']
2	kosatka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lat.', ' střir.', ' ř.', ' sti.', ' ie.', ' slov.']
2	kosmopolitismus	['fr.', ' ř.']
2	košíková	['angl.']
2	kozelec	['č.', 'všesl.', ' p.', ' r.', ' stsl.', ' lit.', ' stper.', ' sti.', ' ie.', ' slov.', ' ttat.']
2	kozlík	['něm.']
2	koželuh	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', 'stč.', ' sthn.', ' střhn.', ' lat.']
2	králíček	['lat.']
2	krapet	['č.', ' stč.', ' psl.']
2	krápník	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lat.', ' sti.', ' csl.']
2	krášlit	['stč.']
2	krejčí	['stč.']
3	krkavec	['všesl.', ' ie.', ' lit.', ' lat.', ' r.', ' stsl.', ' č.']
2	křesťan	['sthn.', ' lat.']
2	křičet	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' lit.']
2	křižník	['něm.']
2	kubatura	['něm.', ' lat.']
3	kubismus	['lat.']
2	kůlna	['zsl.', ' psl.']
2	kultivovat	['střlat.', ' pozdnělat.', ' lat.']
2	kutna	['něm.', ' střlat.', ' germ.', ' něm.', ' angl.', ' port.']
2	lama	['šp.']
3	laminát	['lat.']
2	lazaret	['něm.', ' it.']
3	ledňáček	['něm.', ' sthn.']
2	legitimace	['střlat.', ' něm.', ' lat.']
2	leklý	['p.']
2	lesbický	['r.']
2	leštit	['stč.', ' r.', ' sln.', ' psl.', ' ie.', ' slov.']
2	leták	['am.-angl.', ' něm.']
3	ležet	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' sthn.', ' angl.', ' stir.', ' lat.', ' ř.', ' toch.', ' chet.', ' ie.']
2	líčit	['stč.', ' stč.', ' str.', ' stsl.', ' psl.', ' lit.', ' ie.']
3	lítice	['p.st.', ' r.', ' stsl.', ' psl.', ' wal.', ' ie.', ' ř.']
2	litina	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' sthn.', ' wal.', ' lat.', ' sti.', ' ie.']
2	lítý	['p.st.', ' r.', ' stsl.', ' psl.', ' wal.', ' ie.', ' ř.']
2	lokace	['lat.']
4	lože	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' předsl.', ' ie.']
3	lupenka	['všesl.', ' p.', ' r.', ' psl.', ' lit.', ' ie.', ' něm.', ' angl.', ' lat.', ' alb.']
2	lupina	['něm.', ' lat.']
2	luxace	['lat.', ' něm.', ' lat.']
5	lůžko	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' předsl.', ' ie.']
2	madona	['it.']
2	málem	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' stir.', ' ie.']
2	maraton	['ř.', ' ř.']
2	markrabě	['střhn.']
2	markrabě	['střhn.']
2	mašlovačka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
2	matěj	['slk.', ' stsl.', ' psl.', ' lit.', ' sti.', ' ie.']
2	mektat	['r.', ' psl.', ' lit.', ' ř.', ' všesl.', ' p.', ' r.', ' sln.', ' stsl.', ' něm.', ' sti.', ' ie.']
2	melírovaný	['něm.', ' fr.', ' stfr.', ' střlat.', ' lat.']
3	mesianismus	['střlat.', ' aram.']
2	metabolismus	['ř.']
2	metafyzika	['střlat.', ' ř.']
3	metál	['fr.', ' it.', ' něm.']
3	metateze	['ř.']
2	metyl	['něm.', ' fr.', ' ř.']
2	militarismus	['něm.', ' fr.', ' lat.']
2	mírný	['všesl.', ' stp.', ' r.', ' stsl.', ' psl.', ' ie.', ' alb.', ' stlit.', ' lot.', ' slov.']
2	mlází	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stpr.', ' stangl.', ' wal.', ' lat.', ' ř.', ' sti.', ' ie.']
2	mobilizovat	['fr.', ' fr.', ' lat.']
2	močál	['č.', ' slk.', ' p.', ' sln.', ' psl.']
2	modulace	['pozdnělat.', ' lat.']
2	mohamedán	['něm.']
2	monotónní	['něm.', ' fr.', ' pozdnělat.', ' ř.']
2	monstrózní	['lat.']
2	morek	['něm.']
2	moždíř	['střhn.', ' lat.', ' ie.', ' č.']
2	mršina	['stč.', ' č.', ' stp.', ' stluž.', ' sln.']
2	mudrc	['stč.', ' lat.']
2	muka	['všesl.', ' p.', ' r.', ' stsl.', ' psl.']
2	myslivec	['č.', ' p.']
2	mýval	['něm.']
2	náboj	['č.', ' něm.', ' stpr.', ' sti.', ' č.']
3	nábor	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' arm.', ' av.', ' sti.', ' ie.', ' slov.']
3	nábytek	['stč.', ' p.']
2	nácek	['něm.']
2	náčiní	['č.', ' p.', ' stč.']
2	nadávat	['č.', ' stč.']
2	nadchnout	['psl.', ' č.', ' slk.', ' jsl.']
2	nádor	['stč.']
3	nadšení	['psl.', ' č.', ' slk.', ' jsl.']
2	náhrada	['p.', ' r.']
2	nájem	['csl.']
3	námaha	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' stpr.', ' lit.', ' ie.', ' gót.', ' něm.', ' angl.', ' ř.', ' av.', ' sti.']
2	nápor	['všesl.', ' p.', ' r.', ' ch.', ' stsl.', ' psl.', ' ie.', ' lat.']
2	napospas	['it.']
2	náramek	['stč.', ' stč.']
3	národ	['lat.']
3	nářadí	['p.']
2	nářečí	['r.']
3	nastražit	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', 'č.']
3	navinulý	['stč.']
2	návladní	['něm.']
2	názor	['všesl.', ' p.st.', ' r.', ' stsl.', ' psl.', ' lit.']
2	nekrofilie	['ř.', ' lat.']
2	nemovitost	['psl.', ' lat.']
3	neohrabaný	['p.', ' psl.', ' lit.', ' lot.', ' gót.', ' sti.', ' ie.', ' ř.']
3	nerudný	['stč.', ' hl.', ' sln.', ' stsl.']
2	nervózní	['něm.', ' fr.', ' lat.', ' evr.']
2	nesmírný	['stč.', ' stč.']
5	nestvůra	['r.', ' p.', 'č.', ' r.', ' gót.', ' stangl.', ' č.']
4	nesvár	['hl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' stisl.', ' stangl.', ' osk.', ' sti.', ' ie.', ' slov.']
2	netečný	['všesl.', ' p.', ' r.', ' csl.', ' psl.', ' lot.', ' sthn.', ' ř.', ' ie.']
5	netřesk	['všesl.', ' slk.', ' p.', ' r.', ' sln.', ' csl.', ' psl.', ' román.', ' germ.', ' vlat.', ' něm.', ' niz.', ' angl.', ' lat.', ' ř.']
3	netýkavka	['všesl.', ' p.', ' r.', ' csl.', ' psl.', ' lot.', ' sthn.', ' ř.', ' ie.']
2	neutrální	['střlat.', ' lat.']
3	nonkonformismus	['angl.']
2	novic	['lat.']
2	nudismus	['lat.']
2	nůše	['stč.', ' r.', ' sln.', ' psl.']
3	obdélník	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.']
2	oběsit	['p.', ' sln.', ' stsl.']
2	obezřetný	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.', ' p.st.']
2	obchod	['č.', ' slk.', ' p.']
2	obinadlo	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.', 'stč.']
3	obleva	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.', 'č.', ' lot.', ' gót.', ' stangl.']
2	obličej	['p.', ' sln.', ' stsl.', ' r.', ' psl.']
2	obloha	['stč.']
2	obluda	['č.', ' stč.']
4	obor	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' arm.', ' av.', ' sti.', ' ie.', ' slov.']
2	obratel	['všesl.']
2	obrnit	['stč.', ' slk.', ' r.', ' b.', ' stsl.', ' psl.', ' germ.', ' sthn.', ' kelt.', ' ir.']
3	obrtlík	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.', 'p.', ' ch.', ' s.']
3	obřad	['všesl.', ' p.', ' r.', ' psl.']
3	obvyklý	['stč.']
2	obzor	['všesl.', ' slk.', ' mak.', ' p.', ' r.', ' stsl.', ' psl.', ' ie.', ' sti.', ' lat.', ' sthn.', ' angl.', ' stir.', ' ř.', ' lit.', ' p.st.']
4	obžerství	['stč.']
4	očistec	['pozdnělat.', ' lat.']
4	odbor	['všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' gót.', ' angl.', ' lat.', ' ř.', ' arm.', ' av.', ' sti.', ' ie.', ' slov.']
2	oděv	['stč.']
2	odpor	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' gót.', ' stir.', ' lat.', ' sti.', ' ie.', 'všesl.', ' ch.']
2	odpustit	['stč.', ' všesl.', ' p.', ' r.', ' stsl.', ' psl.', ' lit.', ' lot.', ' gót.', ' stir.', ' lat.', ' sti.', ' ie.', 'všesl.', ' ch.', ' č.']
