# derivations that will be added to DeriNet based on Etym dict derivations list
# there is intermediate node between the derivation and the new parent its connected to
# in the etym dict there is a derivation between parent and intermediate node but intermediate node isnt root
# so insted of connecting this derivation to the parent we connect root of the intermediate node (derivation column)

# flaged by human, meanings:
# * probably incorrect
# @ possible incorrect
# others are probably correct

# There are cca 341 probably correct new derivations, cca 75 % precision

derivation	parent	intermediate_node
*řvát#V????--??-??I??	hurónský#AA???----??---?	řev#NNI??-----A---?  
Silvestrov#NNM??-----A---?	silvestr#NNI??-----A---?	silvestrovský#AA???----??---?
abstrahovat#V????--??-??B??	abstraktní#AA???----??---?	abstrakce#NNF??-----A---?
agentura#NNF??-----A---?	agent#NNM??-----A---?	agenturní#AA???----??---?
aktiv#NNI??-----A---?	aktivní#AA???----??---?	aktivovat#V????--??-??I??
anonym#NNM??-----A---?	anonym#NNI??-----A---?	anonymita#NNF??-----A---?
antikva#NNF??-----A---?	antikvariát#NNI??-----A---?	antikvář#NNM??-----A---?
apologet#NNM??-----A---?	apologie#NNF??-----A---?	apologeta#NNM??-----A---?
*síla#NNF??-----A---?	asfalt#NNI??-----A---?	asfaltka#NNF??-----A---?
aspirovat#V????--??-??I??	aspiráta#NNF??-----A---?	aspirace#NNF??-----A---?
auto#NNN??-----A---?	aut#NNI??-----A---?	autový#AA???----??---?
bacil#NNI??-----A---?	bacil#NNM??-----A---?	bacilonosič#NNM??-----A---?
*pustý#AA???----??---?	bandurská#NNF??-----A---?	spustit#V????--??-??P??
batolit#V????--??-??I??	batolit#NNI??-----A---?	batole#NNN??-----A---?
bačkora#NNF??-----A---?	bačkora#NNM??-----A---?	bačkorka#NNF??-----A---?
bažant#NNM??-----A---?	bažant#NNI??-----A---?	bažantí#AA???----1?---?
beletristika#NNF??-----A---?	beletrie#NNF??-----A---?	beletristický#AA???----??---?
biografie#NNF??-----A---?	biograf#NNM??-----A---?	biografický#AA???----??---?
zablešit#V????--??-??P??	blecha#NNF??-----A---?	zablešený#AA???----??---?
zbledat#V????--??-??I??	bledý#A????----??---?	zblednout#V????--??-??P??
rozblátit#V????--??-??P??	bláto#NNN??-----A---?	rozblácený#AA???----??---?
blížit#V????--??-??I??	blízký#A????----??---?	blíženec#NNM??-----A---?
bochan#NNI??-----A---?	bochník#NNI??-----A---?	bochánek#NNI??-----A---?
brož#NNF??-----A---?	brožura#NNF??-----A---?	brožovat#V????--??-??I??
