Aachenová	Aachen
Aboriginka	Aboriginec
Absolut	absolutní
Acháj	Achaj
Adani	Adana
Adano	Adana
Admiral	admirál
Adrianova	Adrian
Adrián	Adrian
Aksamite	aksamit
Aksamít	aksamit
Alan	Alán
Alan	Alán
Albane	Albany
Albano	Albany
Albina	albína
Albino	albína
Alejo	alej
Alemán	Aleman
Alexandre	Alexandr
Alexandrovci	Alexandrov
Alexandrovič	Alexandrov
Alexandrovský	Alexandrov
Amazonia	Amazonie
Ambrozy	Ambroz
Ambrůz	Ambroz
Amina	amin
Amina	amin
Amine	amin
Anas	ananas
Andrejevský	Andrejev
Andrys	Andrýs
Anne	Anna
Anno	Anna
Antena	anténa
Antonik	Antoník
Antonínka	Antonín
Antonínov	Antonín
Ararat	arat
Archangelsko	Archangel
Argenti	Argentina
Aronin	aron
Arpad	Arpád
Atlante	Atlanta
Atletiko	atletika
Attica	attika
Augustine	Augustin
Augusto	August
Augustýnek	Augustýn
Augustýnka	Augustýn
Azerbajdžan	Ázerbajdžán
Azerbajdžán	Ázerbajdžán,Ázerbájdžán
Ašanink	Ašanin
Ašantsko	ašant
Baban	Babán
Babe	baba
Babe	baba
Babica	Babice
Babický	Babice
Babina	Babice
Babinec	Babice
Babiny	Babice
Babiná	Babice
Babičková	babičkovat
Bachora	bachor
Badyan	badyán
Bagdadí	Bagdád
Bagdádí	Bagdád
Bahmann	Bahman
Bakelite	bakelit
Balakovo	Balakov
Balaďa	balada
Balkan	Balkán
Balšan	Balšán
Ban	bán,báň
Banana	banát
Banovec	Bánovec
Barda	bard
Bardo	bard
Bardo	bard
Barin	Barina
Baroň	baron
Bartak	Barták
Bartolomějová	Bartoloměj
Barton	Bartoň
Bastardo	bastard
Batman	Batmanov
Bauda	baud
Baudo	baud
Bače	bača
Beate	beat
Bechyňa	Bechyně
Bednář	Bednár
Benak	Benák
Benin	Ben
Benát	Benátky
Beranov	beran
Bergenia	Bergen
Bergmann	Bergman
Berl	berle
Bermuda	Bermudy
Bermudez	Bermudy
Bernardo	bernardýn
Bernardy	bernardýn
Bernardí	bernardýn
Betonova	beton
Bezručka	Bezruč
Bezručko	Bezruč
Bečko	bečka
Beň	Ben
Bimbác	bimbat
Birte	Birt
Bizoň	bizon
Blabol	blábol
Blank	Blanka
Blanke	Blanka
Blatno	Blatný
Bledy	bledý
Bochníček	bochník
Bohdanovský	Bohdan
Bohuslavský	Bohuslav
Bohuslávková	Bohuslav
Bohuslávky	Bohuslav
Bojo	boj
Boleslavsko	Boleslav
Bondo	Bondy
Bondone	Bondy
Borodino	Borodin
Bosnay	Bosna
Bostone	Boston
Botana	botanika
Bořice	bořit
Bořita	bořit
Brahma	Bráhma
Brambory	brambor
Brandejský	Brandejs
Brandys	Brandýs
Brandýsko	Brandýs
Brdo	Brdy
Brito	Brit
Brtnička	brtník
Brtníky	brtník
Brtníček	brtník
Brunete	brunet
Brunát	brunátný
Brusnický	brusnice
Bránice	bránit
Brýl	brýle
Bubáček	bubák
Buchan	Buchanan
Buchar	Buchár
Buchář	Buchár
Budínka	Budín
Budínský	Budín
Bukovák	bukovat
Bulgakovová	Bulgakov
Bulíček	bulík
Bumbác	bumbat
Bumbálka	Bumbál
Bunia	Bunin
Buranov	buran
Burián	Burian
Burlák	burlak
Buráň	buran
Buďa	Buda
Bystřický	Bystřice
Bystřina	Bystřice
Bystřina	Bystřice
Bábá	bába,Bába
Běle	Běla
Bělovov	Bělov
Bělský	běl
Břevnice	břevno
Březiny	Březina
Bříza	Březa
Bříza	Březa
Carraro	Carrara
Casanová	Casanova
Ce	cé
Celestica	Celesta
Celestina	Celesta
Ceni	cena
Chalco	Chalch
Chalupný	chalupa
Chan	chán
Chan	chán
Charvat	Charvát
Charvátce	Charvát
Charvátek	Charvát
Charváty	Charvát
Chatt	chata
Chilina	Chile
Chlád	chlad
Chmelka	chmel
Chochole	chochol
Chrastice	Chrasta
Chrastina	Chrasta
Christian	Christián
Christiania	Christián
Chrobáček	chrobák
Chrástecko	Chrástek
Chrástecký	Chrástek
Chrástecký	Chrástek
Chvíla	chvíle
Chábera	Chabera
Chánov	chán
Cichlidae	cichlida
Cigan	Cigán
Cimbal	cimbál
Commodore	Commodor
Commodore	Commodor
Cuc	cucek
Cyrani	Cyrano
Cílka	cíl
Dacán	dacan
Dal	dál
Dalek	daleký
Dalmacie	Dalmácie
Dalmatinec	dalmatin
Danove	Dan
Dauphine	dauphin
Davidovič	Davidov
Dačický	Dačice
Dehtáře	dehtář
Diamantina	diamant
Dietrichsteinský	Dietrichstein
Digital	digitál
Dimitrovka	Dimitrov
Dimitrovo	Dimitrov
Divo	divý
Dlabáč	Dlabač
Dol	důl
Dolana	Dolany
Dolejší	Dolejš
Dolejší	Dolejš
Dolejší	Dolejš
Dolin	Dolina
Dolina	dolinář
Dolinek	doliňák
Domingos	Domingo
Dominick	Dominic
Donate	donace
Dostal	Dostál
Draháň	Drahan
Drobek	drobeček
Drozda	drozd
Drož	drožka
Druide	druid
Dual	duál
Ducati	ducat
Ducato	ducat
Duchač	Ducháč
Durán	Duran
Dynamite	dynamit
Dítě	dít
Dědice	dědina
Dříň	dřín
Eduardo	Eduard
Eliott	Eliot
Elite	elita
Elitka	elita
Empiria	empirie
Ergometrin	ergometrie
Eschauer	Schauer
Extréme	extrém
Eštok	štok
Falk	Falc,falc
Fausto	Faust
Femina	feminní
Ferrari	Ferrara
Ferrari	Ferrara
Ferraro	Ferrara
Fichte	Ficht
Fidelio	Fidel
Filipe	Filip
Filipína	Filipíny
Fiskali	fiskál
Fišera	Fišer
Fleky	flek
Florec	Florena
Florenc	Florencie
Florence	Florencie
Florencia	Florencie
Florenciin	Florencie
Florencio	Florencie
Florenský	Florena
Florent	Florentina
Florentin	Florentina
Florentino	Florentina
Florey	Florena
Floria	Florena
Floriano	Florena,Florian
Florin	Florena
Floriánek	Florian
Foltyn	Foltýn
Fontaine	fontána
Fontana	fontána
Fontana	fontána
Fontane	fontána
Fontani	fontána
Fotografia	fotografie
Frajerová	frajer
Franc	frank,Francie
Franca	Francie
Francaise	Francie
France	Francie
France	Francie
Franci	Francie
Francin	Francie
Francina	Francie
Francine	Francie
Francioni	Francie
Francis	Francie
Francisci	Francie
Francisco	Francie
Francisco	Francie
Francisko	Francie
Franck	frank,Francie
Francke	Francie
Franco	Francie
Franců	frank
Franců	frank
Franka	Franky,Franke,frank
Frankia	Franky
Frankie	Franke,Franky
Franko	Franky
Frantic	František
Frantice	František
Franče	Franke
Frick	Fric
Fryštak	Fryšták
Fryštácko	Fryšták
Fryštáček	Fryšták
Fára	fara
Galanta	galantní
Galante	galantní
Gale	Gal
Gale	Gal
Gale	Gal
Galera	galéra
Galicia	Galicie
Galicin	Galicie
Galileo	Galilea
Galileo	Galilea
Galileo	Galilea
Galén	Galen
Gamina	gamin
Gandhí	Gándhí
Gellnar	Gellner
General	generál
General	generál
Genova	gen
Geodézie	geodezie
Georgievský	Georgiev
Georgijev	Georgij
Gerlache	Gerlach
Germaina	Germain
Germaine	Germain
German	Germán
Gestvík	gesto
Gete	Get
Ghaní	Ghana
Ghání	Ghana
Gilk	Gil
Gira	giro
Glajchová	glajchovat
Grado	grad
Grafite	grafit
Granat	granát
Granite	granit
Greenville	Grenville
Gráf	graf
Gudžarátec	Gudžarát
Gulaš	guláš
Gumotextilka	gumotextil
Gurdžár	Gurdžar
Habánov	habán
Habáň	habán
Habřinka	habřina
Hajduček	hajdučit
Haját	hajat
Haldane	halda
Hale	hala
Hale	hala
Hanna	Hana
Harcovna	harcovat
Hare	Harare
Harmonit	harmonie
Hasištejnský	Hasištejn
Hastrmanová	hastrman
Haussman	Haussmann
Havraň	havran
Haňa	Hana,Haná
Heck	hec
Hecová	hecovat
Heine	Hein
Heini	Hein
Heino	Hein
Hejna	Hejnice,hejno
Hejný	Hejnice,hejno
Hekaté	hekat
Helene	Helena
