Aachenová	Aachen
Abanda	abandovat
Abbas	Abbás
Abbásí	Abbás
Abcházka	Abcház
Aboriginka	Aboriginec
Absolut	absolutní
Absolute	absolutní
Acháj	Achaj
Adamik	Adamík
Adamička	Adamík
Adamičko	Adamík
Adani	Adana
Adano	Adana
Admiral	admirál
Adriano	Adrian
Adrianova	Adrian
Adrián	Adrian
Agen	gen
Agrega	agregovat
Aj	oj
Ajar	Jar
Ajúb	Ajjúb
Aksamite	aksamit
Aksamít	aksamit
Alan	Alán
Alan	Alán
Albane	Albany
Albani	Albany
Albano	Albany
Albat	Albany
Albert	Alberta
Albert	Alberta
Albertina	Alberta
Alberto	Alberta
Albin	albín,albína
Albina	albína
Albini	albína
Albino	albína
Albrechtičky	Albrecht
Albán	Albánie,albánský
Albín	albína
Alejo	alej
Alemán	Aleman
Alexandre	Alexandr
Alexandrovci	Alexandrov,Alexandr
Alexandrovič	Alexandrov
Alexandrovský	Alexandrov
Alexejevič	Alexejev
Alexey	Alexej
Alfredo	Alfréd
Alfrédov	Alfréd
Alterová	alterovat
Altmann	Altman
Amann	Aman
Amazon	Amazonie
Amazonia	Amazonie
Ambrosio	Ambros
Ambrosios	Ambros
Ambrozi	Ambroz
Ambrozy	Ambroz
Ambrůz	Ambroz
Amina	amin
Amina	amin
Amine	amin
Amini	amin
Amnesty	amnestie
Amádeus	Amadeus
Anas	ananas
Anatole	Anatol
Anders	Andersen
Andreja	Andrej
Andrejevič	Andrejev
Andrejevský	Andrejev
Andrij	Andrej
Andronik	Andronikov
Andrys	Andrýs
Andráško	Andráš
Andělice	anděl
Ann	Annan
Annan	Annen
Anne	Anna
Anni	Anna
Anno	Anna
Anta	anténa
Ante	anténa
Antena	anténa
Anton	Antoník
Antoni	Antoník
Antonický	Antoník
Antonik	Antoník
Antonina	Antoník
Antonino	Antoník
Antonio	Antoník
Antonínka	Antonín
Antonínov	Antonín
Antoněnko	Antonín
Antoňák	Antoník
Apolloni	Apollon
Appa	Zappa
Ararat	arat
Arbess	Arbes
Archangelsko	Archangel
Ardea	Ardeny
Arena	aréna
Arena	aréna
Argent	Argentina
Argenti	Argentina
Arménec	Armén
Armín	Armén
Arno	Arnošt
Aronin	aron
Arpad	Arpád
Arto	art
Astra	strast
Atamanová	ataman
Atlante	Atlanta
Atlantic	Atlantik
Atlantic	Atlantik
Atletiko	atletika
Atta	attika
Attica	attika
Aténa	Atény
Augusta	August
Augusta	August
Auguste	August
Augustine	Augustin
Augusto	August
Augustýnek	Augustýn
Augustýnka	Augustýn
Azerbajdžan	Ázerbajdžán,Ázerbájdžán
Azerbajdžán	Ázerbajdžán,Ázerbájdžán
Ašanink	Ašanin
