Abraham	Abrahám
Abrahám	Abraham
Adam	Adamík
Alexandr	Alexandrov
Alexej	Alexejev
Aleš	Leš
Almohada	Almohád
Andrej	Andrejs,Andrejev
Andrejs	Andrej
Anna	Annan,Annen,ananas,antika,Antily
Antily	antika
Antonín	Antoník
Apollón	Apollon
Argos	argot
Astrachaň	astrachán
Asýrie	Sýrie,Assyr
Avila	vila
Bach	bachař
Barbora	barbar
Bardot	bard
Barma	barman,baryum,barbar,bard,Bardejov
Baťa	Baťka
Blatný	blata,Blatnice,bláto
Bolívar	Bolívie
Bond	Bondy
Boole	boule
Borat	borec
Bosna	bos
Brno	brnět
Brod	brodit
Brook	brok
Brooker	broker
Broum	Broumov
Brunej	brunet
Brusel	brusle
Buda	budovat
Bury	burza,jury,urbura,Burjat,Burda
Bába	baba
Bárt	Bárta
Bárta	Bárt
Bój	bóje
Běla	Bělina,běl
Bělov	běl
Břehov	břeh
Březa	bříza,březí
Champagne	Žampach
Chile	chinin,chýlit,Chelm,chiliasmus
Chrasta	chrastit
Cibula	cibule
Dan	Dán,daň
David	Davidov
Davidov	David
Dolina	dolinář
Dominik	Dominic
Dora	Sura,vzdor
Drda	Drdák
Duša	duše
Dán	Dan
Dárí	dar,dařit
Dírná	díra
Ela	clo,alt
Erós	šos,kros,xerox
Etrurie	retrahovat
Eva	Evans
Fikar	fikat
Florencie	Florentina,Florena,Florian
Francie	frank,Franke,Franky,František,Franic,frankismus
Franke	Franky
Franky	frank,Franke,frankismus,Francie
František	frank,Francie,Franky,Franic,frankismus,Franke
Fryg	Frýg
Frýg	Fryg
Gajda	gajdy
Gal	Gál
Gent	agent
Gota	Gott,Gotha
Gotha	Gota
Gott	Gota
Gál	Gal
Halič	halit,halit
Hana	Haná,hanit
Haná	Hana
Hašek	hašiš,hašovat
Hašler	hašlerka
Hejnice	hejno
Henoch	Henry
Herakleitos	Hérakleitos
Hispanie	Hispánie
Hispánie	Hispanie
Hlava	Hlaváč
Hlinsko	Hlinka
Hora	horor,horna,hůra,horký,horovat,Horác,Horka,hoře,hornatý
Horka	horký
Hověz	hovězí
Hrab	hrabě
Hroza	hrůza
Hus	husa
Hérakleitos	Herakleitos
Hřebeč	hřebec
Ikar	kar,Oskar
Izrael	izraelita
Jan	Ján,Janečka
Janoš	Jánoš
Jar	jarý
Java	Jáva
Jelena	jelenář,jelen
Jesus	jas,jesen,jez,jeskyně,jistý,jezovita,jed,jezíd,jeseter,Jesenin,jíst,bas,jednička,bestie,Njasa,ves,Jersey,jizva,jezero,jesle,visnout,eses,jasan,ježek,jak,předjezd,převis,jezeďák,visovat,jediný,jíška,Hess,jikra,projekt,jevit,zjasnit,viset,pojezd,jet,Jinek,deismus,vosa,Jidáš,řasa,Jasper,viks,jih,jam,losos,Java,visatý,přesný,pas,bez,whisky,zjízvit
Jiljí	jiný,jíní,jíl,Jinek,jinačit,vila,víla,bit,obilí,vilný,jít,jih,zajínit,vina,bílý,slina
Jinek	jiný,jíní
Jirous	Jirout
Jirout	Jirous
Jiří	jiřina
Joga	jóga
Joyce	oj
Juda	judo,Judea
Judea	Juda,judo,Judita
Just	justice,justovat
Jáma	Jamajka,jam
Ján	Jan
Jánoš	Janoš
Jáva	Java,jatky
Kamený	Kamenec
Kanaán	kanec,kanovník,kanál
Kant	kanout
Karel	Karen,Karela,kar,Karlik,kára,kariéra
Karela	Karel,Karen
Kartágo	kartáč,karta,Karter,kartotéka
Kladno	kladný,kláda,kládat
Klíma	klima,klímat
Kohl	Kohlík
Kongo	konec,konat,koncese,konev,kůň,koňařit,koncil,Koňařík,konto,koncesovat,koňak,kontinuovat,kontinent,ikona,košt,konsul,Koniáš,koncedovat,kůže,kondice,nést,Kott,kongres,konsola,zátinek,Kůst,Nikon,kost,kontovat,úkon,kontakt,King,Koperník,Kopernik,koště,neón,kontejner,kontoár,necky,kynik,konsonovat,kolo,konvář,kongrua,Kunc,zezákonit,křeček,kostkář,oko,sonet,přezka,koncept,Kunka,překovit,neřest,konšel,zinek,koza,skunk,koncert,kontura,kontrovat
Konstantin	konstanta
Kopač	Kopáč
Kopernik	Koperník
Koperník	Kopernik
Kopáč	Kopač
Korea	korec
Kosovo	kos
Kott	kotník
Kovač	Kováč
Kováč	Kovač
Kozár	koza
Koč	kočí,kočka
Košice	Košík
Košta	koště
Krakonoš	nakrakonošovat,dokrakonošovat
Krejčík	krejčí
Krn	Krnov
Krnov	Krn
Králik	Králík
Královák	Králík,Král,král
Králík	Králik,Královák
Krč	krk,krčit
Kuba	Kubák,Kubač
Kuchar	Kuchár
Kuchyňa	kuchyně
Kuchár	Kuchar
Kypr	kyprý,kypřit,kopr,zkypřet
Kysela	kyselý
Křepela	křepelka
Křiva	křivý,Křivák
Křivák	Křiva,křivý
Kůst	kost
Labe	lábat
Ladislav	Vladislav
Lange	lano,Laník
Laník	Láník
Laura	lazura
Lena	len
Lenin	lenit,len,Lena
Leona	Leontina
Leontina	Leona
Levit	levý
Leš	lešení
Lhota	Lhotka,lhůta
Liba	Libý,libý,Libye
Libye	Libý,libý,Liba
Libérie	Liberec,liberovat,libý,Libý
Libý	Libye,Liba
Litva	litec
Lojza	lůj
Lombardie	lombard
Louny	Loun
Loučka	loučit
Lucern	lucerna,Lucie,Lucián,Luter,luterán
Ludvík	Ludvíkov
Lyko	lýko
Láník	Laník
Lída	lid,Ledeč,led
Lízal	lízat
Lýd	Lýdie
Lýdie	Lýd
Magdalena	Magdaléna
Magdaléna	Magdalena
Mali	malý,malina
Malta	maltárna
Malát	malátný
Manet	man
Mann	man
Mansfeld	Mansfield
Mansfield	Mansfeld
Mao	May,mat,Mání,mávat,mnout,mast,mák,sedma,mást,mazat,máj,Masný,Máša,mošt
Marathon	Marathón,Marátha
Marathón	Marathon,Marátha
Marek	Mareček
Mareček	Marek
Maria	Marija,Marie,mariáš
